Datetime,VHM0,VMDR,VTPK,CardinalDirection
2012-01-01 00:00:00,1.18,257.0,13.4,W
2012-01-01 03:00:00,1.17,284.18,12.759999,W
2012-01-01 06:00:00,1.1,277.19,12.62,W
2012-01-01 09:00:00,1.06,275.22998,12.63,W
2012-01-01 12:00:00,1.0699999,280.81,12.559999,W
2012-01-01 15:00:00,1.0799999,290.89,12.38,W
2012-01-01 18:00:00,0.95,301.66998,11.49,NW
2012-01-01 21:00:00,1.05,320.22998,11.99,NW
2012-01-02 00:00:00,1.12,325.13,12.16,NW
2012-01-02 03:00:00,1.13,322.32,12.2,NW
2012-01-02 06:00:00,1.12,306.16998,12.259999,NW
2012-01-02 09:00:00,1.0799999,285.79,12.42,W
2012-01-02 12:00:00,1.05,276.47,12.509999,W
2012-01-02 15:00:00,1.0699999,276.97,12.559999,W
2012-01-02 18:00:00,1.09,281.97998,12.5199995,W
2012-01-02 21:00:00,1.11,292.76,12.49,NW
2012-01-03 00:00:00,1.16,308.55,12.61,NW
2012-01-03 03:00:00,1.17,308.32,10.33,NW
2012-01-03 06:00:00,1.16,303.1,10.4,NW
2012-01-03 09:00:00,1.2099999,335.14,10.55,NW
2012-01-03 12:00:00,1.24,347.39,10.679999,N
2012-01-03 15:00:00,1.37,6.4400024,10.69,N
2012-01-03 18:00:00,1.5,11.940002,5.5299997,N
2012-01-03 21:00:00,1.52,13.730011,5.66,N
2012-01-04 00:00:00,1.42,12.37001,10.309999,N
2012-01-04 03:00:00,1.37,2.5599976,10.3,N
2012-01-04 06:00:00,1.23,5.7700043,9.34,N
2012-01-04 09:00:00,1.48,5.720001,5.31,N
2012-01-04 12:00:00,1.61,1.699997,5.8399997,N
2012-01-04 15:00:00,1.5699999,5.8099976,5.47,N
2012-01-04 18:00:00,1.66,10.050003,5.48,N
2012-01-04 21:00:00,1.67,11.400009,5.66,N
2012-01-05 00:00:00,1.5699999,2.9199982,9.889999,N
2012-01-05 03:00:00,1.49,354.0,9.849999,N
2012-01-05 06:00:00,1.48,348.96,9.849999,N
2012-01-05 09:00:00,1.5,350.38,9.83,N
2012-01-05 12:00:00,1.4399999,348.87,9.73,N
2012-01-05 15:00:00,1.4,349.66,9.559999,N
2012-01-05 18:00:00,1.38,354.16998,9.41,N
2012-01-05 21:00:00,1.3399999,353.62,9.32,N
2012-01-06 00:00:00,1.26,349.59,9.24,N
2012-01-06 03:00:00,1.16,341.16,9.0199995,N
