Datetime,VHM0,VMDR,VTPK,CardinalDirection
2022-01-01 00:00:00,1.15,209.45,16.07,SW
2022-01-01 03:00:00,1.18,209.41,15.95,SW
2022-01-01 06:00:00,1.1899999,210.06,15.75,SW
2022-01-01 09:00:00,1.1999999,209.99,15.5199995,SW
2022-01-01 12:00:00,1.22,209.3,15.33,SW
2022-01-01 15:00:00,1.26,207.38,15.549999,SW
2022-01-01 18:00:00,1.28,206.54,15.37,SW
2022-01-01 21:00:00,1.28,206.37,14.889999,SW
2022-01-02 00:00:00,1.29,206.53,14.62,SW
2022-01-02 03:00:00,1.27,206.51,14.38,SW
2022-01-02 06:00:00,1.24,206.59,14.34,SW
2022-01-02 09:00:00,1.1999999,206.34,14.23,SW
2022-01-02 12:00:00,1.27,206.16,14.0,SW
2022-01-02 15:00:00,1.27,204.17,14.45,SW
2022-01-02 18:00:00,1.2099999,201.25,15.299999,S
2022-01-02 21:00:00,1.15,204.48,14.36,SW
2022-01-03 00:00:00,1.25,203.23,14.17,SW
2022-01-03 03:00:00,1.28,207.05,14.29,SW
2022-01-03 06:00:00,1.27,207.85,14.469999,SW
2022-01-03 09:00:00,1.25,207.87,14.23,SW
2022-01-03 12:00:00,1.22,207.54,13.509999,SW
2022-01-03 15:00:00,1.2099999,207.89,13.23,SW
2022-01-03 18:00:00,1.23,207.2,14.07,SW
2022-01-03 21:00:00,1.22,206.35,14.36,SW
2022-01-04 00:00:00,1.2099999,204.64,14.07,SW
2022-01-04 03:00:00,1.24,203.89,13.79,SW
2022-01-04 06:00:00,1.18,203.36,13.24,SW
2022-01-04 09:00:00,1.17,202.53,13.009999,SW
2022-01-04 12:00:00,1.11,202.5,12.599999,SW
2022-01-04 15:00:00,1.0799999,201.63,12.38,S
2022-01-04 18:00:00,1.09,200.59,12.48,S
2022-01-04 21:00:00,1.0699999,200.07,12.42,S
2022-01-05 00:00:00,1.02,200.57,12.099999,S
2022-01-05 03:00:00,0.96,201.72,11.7699995,S
2022-01-05 06:00:00,0.95,202.87,11.71,SW
2022-01-05 09:00:00,0.96999997,202.35,11.67,S
2022-01-05 12:00:00,0.97999996,204.99,11.759999,SW
2022-01-05 15:00:00,1.0,206.55,11.61,SW
2022-01-05 18:00:00,1.01,208.87,11.29,SW
2022-01-05 21:00:00,1.03,209.36,11.23,SW
2022-01-06 00:00:00,1.05,210.27,14.549999,SW
2022-01-06 03:00:00,1.0799999,211.15,14.44,SW
2022-01-06 06:00:00,1.04,214.36,13.65,SW
2022-01-06 09:00:00,1.05,213.73,14.25,SW
2022-01-06 12:00:00,1.0699999,212.91,14.259999,SW
2022-01-06 15:00:00,1.09,211.05,14.17,SW
2022-01-06 18:00:00,1.0699999,209.64,13.74,SW
