Datetime,VHM0,VMDR,VTPK,CardinalDirection
2007-01-01 00:00:00,0.82,174.64,13.5,S
2007-01-01 03:00:00,0.81,177.06,13.429999,S
2007-01-01 06:00:00,0.79999995,188.47,13.32,S
2007-01-01 09:00:00,0.76,191.2,13.219999,S
2007-01-01 12:00:00,0.72999996,187.71,12.969999,S
2007-01-01 15:00:00,0.75,173.14,12.639999,S
2007-01-01 18:00:00,0.78999996,162.08,5.9,S
2007-01-01 21:00:00,0.81,156.92,5.83,SE
2007-01-02 00:00:00,0.82,157.63,5.75,S
2007-01-02 03:00:00,0.72999996,167.0,12.36,S
2007-01-02 06:00:00,0.71999997,191.25,12.41,S
2007-01-02 09:00:00,0.72999996,210.31,12.84,SW
2007-01-02 12:00:00,0.78999996,224.98,12.65,SW
2007-01-02 15:00:00,0.90999997,232.76,10.719999,SW
2007-01-02 18:00:00,1.05,230.98,10.09,SW
2007-01-02 21:00:00,1.06,226.01,9.559999,SW
2007-01-03 00:00:00,1.05,216.48999,9.19,SW
2007-01-03 03:00:00,1.03,211.81,8.559999,SW
2007-01-03 06:00:00,1.0,207.33,9.76,SW
2007-01-03 09:00:00,1.0,192.47,7.52,S
2007-01-03 12:00:00,1.09,168.34,6.62,S
2007-01-03 15:00:00,1.23,158.1,6.62,S
2007-01-03 18:00:00,1.1899999,157.62,6.64,S
2007-01-03 21:00:00,1.11,165.33,6.66,S
2007-01-04 00:00:00,1.03,177.2,14.07,S
2007-01-04 03:00:00,0.98999995,186.95,14.0,S
2007-01-04 06:00:00,0.98999995,185.6,13.87,S
2007-01-04 09:00:00,1.0699999,168.6,13.67,S
2007-01-04 12:00:00,1.1999999,156.71,10.49,SE
2007-01-04 15:00:00,1.15,155.9,6.2799997,SE
2007-01-04 18:00:00,1.0699999,160.79001,6.19,S
2007-01-04 21:00:00,1.0,169.42,9.76,S
2007-01-05 00:00:00,0.93,179.86,12.599999,S
2007-01-05 03:00:00,0.81,193.75,12.88,S
2007-01-05 06:00:00,0.76,209.0,13.2699995,SW
2007-01-05 09:00:00,0.72999996,216.41,13.13,SW
2007-01-05 12:00:00,0.74,209.12,12.679999,SW
2007-01-05 15:00:00,0.79999995,191.21,12.2,S
2007-01-05 18:00:00,0.87,179.58,12.11,S
2007-01-05 21:00:00,0.89,176.31,12.08,S
2007-01-06 00:00:00,0.87,178.53,11.969999,S
2007-01-06 03:00:00,0.83,183.39,11.7699995,S
2007-01-06 06:00:00,0.78,189.22,11.49,S
2007-01-06 09:00:00,0.75,193.22,11.23,S
2007-01-06 12:00:00,0.72999996,194.6,11.03,S
2007-01-06 15:00:00,0.66999996,193.02,10.38,S
2007-01-06 18:00:00,0.66999996,189.17,12.639999,S
2007-01-06 21:00:00,0.7,185.64,12.94,S
2007-01-07 00:00:00,0.74,184.39,13.15,S
2007-01-07 03:00:00,0.77,186.41,13.21,S
2007-01-07 06:00:00,0.77,188.6,13.179999,S
2007-01-07 09:00:00,0.81,188.12,13.41,S
2007-01-07 12:00:00,0.84,184.1,13.49,S
2007-01-07 15:00:00,1.0,174.02,14.009999,S
2007-01-07 18:00:00,1.0699999,165.59,6.8399997,S
2007-01-07 21:00:00,1.0699999,163.96,6.71,S
2007-01-08 00:00:00,1.03,167.59,10.23,S
2007-01-08 03:00:00,0.94,174.33,12.32,S
2007-01-08 06:00:00,0.88,183.7,12.08,S
2007-01-08 09:00:00,0.84999996,189.91,11.99,S
2007-01-08 12:00:00,0.85999995,184.35,11.96,S
2007-01-08 15:00:00,0.95,168.02,11.83,S
2007-01-08 18:00:00,0.96,162.44,9.32,S
2007-01-08 21:00:00,0.96999997,162.18,6.12,S
2007-01-09 00:00:00,0.96999997,164.23,8.21,S
2007-01-09 03:00:00,0.90999997,172.66,10.75,S
2007-01-09 06:00:00,0.93,188.18,10.639999,S
2007-01-09 09:00:00,0.98999995,194.04,10.16,S
2007-01-09 12:00:00,1.14,178.17,9.69,S
2007-01-09 15:00:00,1.3199999,177.24,9.61,S
2007-01-09 18:00:00,1.3399999,198.41,9.69,S
2007-01-09 21:00:00,1.3299999,210.93,9.63,SW
2007-01-10 00:00:00,1.28,218.59,9.41,SW
2007-01-10 03:00:00,1.18,230.78,9.16,SW
2007-01-10 06:00:00,1.3399999,258.86,9.599999,W
2007-01-10 09:00:00,1.3199999,263.99,9.349999,W
2007-01-10 12:00:00,1.27,215.03,8.83,SW
2007-01-10 15:00:00,1.3,191.91,8.29,S
2007-01-10 18:00:00,1.3,208.69,8.559999,SW
2007-01-10 21:00:00,1.28,235.59,10.13,SW
2007-01-11 00:00:00,1.26,249.01999,10.16,W
2007-01-11 03:00:00,1.2099999,255.78,9.99,W
2007-01-11 06:00:00,1.1999999,265.12,9.79,W
2007-01-11 09:00:00,1.22,257.76,9.38,W
2007-01-11 12:00:00,1.31,172.02,8.15,S
2007-01-11 15:00:00,1.35,155.6,7.5699997,SE
2007-01-11 18:00:00,1.29,155.45,7.4199996,SE
2007-01-11 21:00:00,1.2099999,159.32,7.48,S
2007-01-12 00:00:00,1.12,166.76,7.87,S
2007-01-12 03:00:00,1.17,177.31,8.5199995,S
2007-01-12 06:00:00,1.1,186.32,8.41,S
2007-01-12 09:00:00,1.1,161.18,8.08,S
2007-01-12 12:00:00,1.17,134.52,7.33,SE
2007-01-12 15:00:00,1.17,137.84,6.94,SE
2007-01-12 18:00:00,1.1999999,145.52,7.2,SE
2007-01-12 21:00:00,1.09,154.51,7.1299996,SE
2007-01-13 00:00:00,1.0,160.99,7.18,S
2007-01-13 03:00:00,0.91999996,168.97,7.29,S
2007-01-13 06:00:00,0.9,170.51,7.45,S
2007-01-13 09:00:00,1.0,151.51,18.85,SE
2007-01-13 12:00:00,1.11,138.55,6.27,SE
2007-01-13 15:00:00,1.12,142.84,6.3799996,SE
2007-01-13 18:00:00,1.0799999,151.34,11.07,SE
2007-01-13 21:00:00,1.04,160.41,17.3,S
2007-01-14 00:00:00,1.0,169.57,17.26,S
2007-01-14 03:00:00,0.96999997,179.23,17.13,S
2007-01-14 06:00:00,0.96,187.21,16.96,S
2007-01-14 09:00:00,0.98999995,188.41,16.75,S
2007-01-14 12:00:00,1.0799999,178.92,16.52,S
2007-01-14 15:00:00,1.16,171.16,16.289999,S
2007-01-14 18:00:00,1.16,174.81,16.15,S
2007-01-14 21:00:00,1.12,181.02,15.92,S
2007-01-15 00:00:00,1.0799999,186.15,15.679999,S
2007-01-15 03:00:00,1.09,191.17,15.65,S
2007-01-15 06:00:00,1.0699999,196.05,15.28,S
2007-01-15 09:00:00,1.09,187.56,14.75,S
2007-01-15 12:00:00,1.1999999,170.25,14.45,S
2007-01-15 15:00:00,1.22,165.6,14.259999,S
2007-01-15 18:00:00,1.28,168.35,14.71,S
2007-01-15 21:00:00,1.1899999,169.63,14.29,S
2007-01-16 00:00:00,1.11,171.2,13.7699995,S
2007-01-16 03:00:00,1.0799999,174.27,13.759999,S
2007-01-16 06:00:00,1.0,178.49,13.41,S
2007-01-16 09:00:00,0.96999997,184.32,13.549999,S
2007-01-16 12:00:00,0.95,184.6,13.49,S
2007-01-16 15:00:00,1.01,175.11,13.599999,S
2007-01-16 18:00:00,1.03,170.56,13.62,S
2007-01-16 21:00:00,0.98999995,172.5,13.46,S
2007-01-17 00:00:00,0.95,175.88,13.25,S
2007-01-17 03:00:00,0.95,172.44,13.15,S
2007-01-17 06:00:00,1.15,144.27,13.5199995,SE
2007-01-17 09:00:00,1.1899999,138.63,13.389999,SE
2007-01-17 12:00:00,1.18,143.59,13.059999,SE
2007-01-17 15:00:00,1.18,150.06,6.68,SE
2007-01-17 18:00:00,1.1999999,163.9,6.81,S
2007-01-17 21:00:00,1.24,185.48,10.32,S
2007-01-18 00:00:00,1.24,213.25,10.01,SW
2007-01-18 03:00:00,1.26,230.0,9.889999,SW
2007-01-18 06:00:00,1.3,241.25,9.719999,SW
2007-01-18 09:00:00,1.3199999,227.69,9.57,SW
2007-01-18 12:00:00,1.3399999,173.94,9.32,S
2007-01-18 15:00:00,1.3299999,152.9,7.2599998,SE
2007-01-18 18:00:00,1.26,164.95,7.0499997,S
2007-01-18 21:00:00,1.1899999,181.82,9.58,S
2007-01-19 00:00:00,1.12,191.14,9.49,S
2007-01-19 03:00:00,0.96999997,201.62,8.74,S
2007-01-19 06:00:00,1.04,204.94,8.71,SW
2007-01-19 09:00:00,1.17,140.39,7.73,SE
2007-01-19 12:00:00,1.37,131.33,7.2,SE
2007-01-19 15:00:00,1.4499999,134.43,7.25,SE
2007-01-19 18:00:00,1.3399999,145.07,7.16,SE
2007-01-19 21:00:00,1.25,157.82,10.63,S
2007-01-20 00:00:00,1.18,168.31,14.799999,S
2007-01-20 03:00:00,1.12,179.12,14.5199995,S
2007-01-20 06:00:00,1.12,183.88,14.309999,S
2007-01-20 09:00:00,1.14,176.35,13.309999,S
2007-01-20 12:00:00,1.1899999,163.35,12.95,S
2007-01-20 15:00:00,1.22,160.49,13.15,S
2007-01-20 18:00:00,1.2099999,165.06,13.32,S
2007-01-20 21:00:00,1.1899999,169.81,13.29,S
2007-01-21 00:00:00,1.18,173.25,13.03,S
2007-01-21 03:00:00,1.16,177.49,12.73,S
2007-01-21 06:00:00,1.13,180.53,12.37,S
2007-01-21 09:00:00,1.12,182.27,12.099999,S
2007-01-21 12:00:00,1.11,181.83,11.92,S
2007-01-21 15:00:00,1.1899999,177.82,12.19,S
2007-01-21 18:00:00,1.2099999,171.64,12.09,S
2007-01-21 21:00:00,1.18,169.7,11.75,S
2007-01-22 00:00:00,1.11,171.35,11.58,S
2007-01-22 03:00:00,1.09,174.22,11.78,S
2007-01-22 06:00:00,1.02,174.75,11.4,S
2007-01-22 09:00:00,0.96999997,175.57,11.059999,S
2007-01-22 12:00:00,0.93,177.31,11.15,S
2007-01-22 15:00:00,1.16,175.08,15.58,S
2007-01-22 18:00:00,1.1899999,164.63,7.16,S
2007-01-22 21:00:00,1.16,162.64,6.8799996,S
2007-01-23 00:00:00,1.1,165.92,13.75,S
2007-01-23 03:00:00,1.04,172.71,13.48,S
2007-01-23 06:00:00,1.02,185.12,13.4,S
2007-01-23 09:00:00,0.97999996,192.28,13.44,S
2007-01-23 12:00:00,0.95,195.28,13.46,S
2007-01-23 15:00:00,0.94,197.31,13.45,S
2007-01-23 18:00:00,0.94,197.38,13.389999,S
2007-01-23 21:00:00,0.94,196.68,13.25,S
2007-01-24 00:00:00,0.94,195.55,13.08,S
2007-01-24 03:00:00,0.95,195.96,12.9,S
2007-01-24 06:00:00,0.94,198.28,12.719999,S
2007-01-24 09:00:00,0.96,206.08,12.46,SW
2007-01-24 12:00:00,0.95,208.01,12.2699995,SW
2007-01-24 15:00:00,0.95,202.16,12.07,S
2007-01-24 18:00:00,0.98999995,189.83,11.91,S
2007-01-24 21:00:00,1.03,180.25,11.63,S
2007-01-25 00:00:00,1.03,177.94,11.23,S
2007-01-25 03:00:00,1.0699999,186.44,11.17,S
2007-01-25 06:00:00,1.04,192.54,15.65,S
2007-01-25 09:00:00,0.98999995,194.35,15.4,S
2007-01-25 12:00:00,0.95,193.87,14.79,S
2007-01-25 15:00:00,0.90999997,192.02,14.19,S
2007-01-25 18:00:00,0.97999996,183.07,14.25,S
2007-01-25 21:00:00,1.06,175.6,14.0199995,S
2007-01-26 00:00:00,1.0699999,176.17,13.7699995,S
2007-01-26 03:00:00,1.06,181.45,13.67,S
2007-01-26 06:00:00,1.06,188.95,13.65,S
2007-01-26 09:00:00,1.06,198.74,13.53,S
2007-01-26 12:00:00,1.1,207.51,13.389999,SW
2007-01-26 15:00:00,1.15,212.20999,13.19,SW
2007-01-26 18:00:00,1.15,212.34,12.889999,SW
2007-01-26 21:00:00,1.18,203.89,12.46,SW
2007-01-27 00:00:00,1.2099999,194.37,12.11,S
2007-01-27 03:00:00,1.18,192.37,11.91,S
2007-01-27 06:00:00,1.14,191.04,11.809999,S
2007-01-27 09:00:00,1.14,187.66,11.98,S
2007-01-27 12:00:00,1.24,175.44,6.8399997,S
2007-01-27 15:00:00,1.3299999,166.04,6.7999997,S
2007-01-27 18:00:00,1.3399999,164.19,6.73,S
2007-01-27 21:00:00,1.29,166.37,6.6,S
2007-01-28 00:00:00,1.23,170.54,9.95,S
2007-01-28 03:00:00,1.11,176.28,14.13,S
2007-01-28 06:00:00,1.12,181.35,14.11,S
2007-01-28 09:00:00,1.0699999,182.42,13.83,S
2007-01-28 12:00:00,1.03,184.4,13.559999,S
2007-01-28 15:00:00,0.96999997,184.33,12.98,S
2007-01-28 18:00:00,0.97999996,176.21,12.54,S
2007-01-28 21:00:00,1.09,163.69,12.21,S
2007-01-29 00:00:00,1.15,159.93,12.05,S
2007-01-29 03:00:00,1.13,161.8,8.61,S
2007-01-29 06:00:00,1.09,165.78,8.62,S
2007-01-29 09:00:00,1.04,169.74,11.96,S
2007-01-29 12:00:00,1.05,168.8,6.6,S
2007-01-29 15:00:00,1.1999999,159.34,6.99,S
2007-01-29 18:00:00,1.3199999,155.19,7.0699997,SE
2007-01-29 21:00:00,1.43,155.73,7.08,SE
2007-01-30 00:00:00,1.4499999,158.47,7.14,S
2007-01-30 03:00:00,1.43,164.83,7.35,S
2007-01-30 06:00:00,1.3199999,170.59,7.39,S
2007-01-30 09:00:00,1.22,177.07,7.3199997,S
2007-01-30 12:00:00,1.1899999,176.85,7.0099998,S
2007-01-30 15:00:00,1.23,165.2,6.8199997,S
2007-01-30 18:00:00,1.23,162.05,6.73,S
2007-01-30 21:00:00,1.1899999,164.93,6.66,S
2007-01-31 00:00:00,1.15,168.33,6.6,S
2007-01-31 03:00:00,1.11,172.47,6.62,S
2007-01-31 06:00:00,1.09,179.63,9.58,S
2007-01-31 09:00:00,1.04,180.49,13.66,S
