Datetime,VHM0,VMDR,VTPK,CardinalDirection
2001-01-01 00:00:00,1.28,31.669998,12.509999,NE
2001-01-01 03:00:00,1.24,30.240005,12.5,NE
2001-01-01 06:00:00,1.15,23.820007,12.46,NE
2001-01-01 09:00:00,1.09,19.529999,11.94,N
2001-01-01 12:00:00,1.09,20.449997,11.91,N
2001-01-01 15:00:00,1.09,21.410004,11.889999,N
2001-01-01 18:00:00,1.1,22.699997,11.87,NE
2001-01-01 21:00:00,1.12,25.600006,11.86,NE
2001-01-02 00:00:00,1.13,27.199997,11.83,NE
2001-01-02 03:00:00,1.0799999,25.240005,11.809999,NE
2001-01-02 06:00:00,1.03,22.199997,11.7699995,N
2001-01-02 09:00:00,1.03,17.990005,11.8,N
2001-01-02 12:00:00,0.96999997,15.779999,11.679999,N
2001-01-02 15:00:00,0.96999997,18.279999,11.08,N
2001-01-02 18:00:00,1.02,24.570007,10.69,NE
2001-01-02 21:00:00,1.06,30.940002,10.09,NE
2001-01-03 00:00:00,1.09,33.809998,9.849999,NE
2001-01-03 03:00:00,1.04,30.720001,9.71,NE
2001-01-03 06:00:00,0.97999996,27.089996,9.65,NE
2001-01-03 09:00:00,0.93,25.210007,9.61,NE
2001-01-03 12:00:00,0.9,25.350006,9.59,NE
2001-01-03 15:00:00,0.88,26.190002,9.559999,NE
2001-01-03 18:00:00,0.90999997,29.279999,9.51,NE
2001-01-03 21:00:00,1.03,37.300003,9.71,NE
2001-01-04 00:00:00,1.15,42.15001,9.94,NE
2001-01-04 03:00:00,1.14,40.65001,10.059999,NE
2001-01-04 06:00:00,1.0699999,34.47,10.07,NE
2001-01-04 09:00:00,0.98999995,29.850006,9.88,NE
2001-01-04 12:00:00,0.96,29.36,9.639999,NE
2001-01-04 15:00:00,0.95,30.589996,9.36,NE
2001-01-04 18:00:00,0.9,27.37001,9.16,NE
2001-01-04 21:00:00,0.88,28.220001,9.0199995,NE
2001-01-05 00:00:00,0.85999995,28.90001,8.929999,NE
2001-01-05 03:00:00,0.83,27.630005,8.86,NE
2001-01-05 06:00:00,0.81,27.15001,10.389999,NE
2001-01-05 09:00:00,0.85999995,28.800003,10.66,NE
2001-01-05 12:00:00,0.96,31.809998,11.219999,NE
2001-01-05 15:00:00,0.89,30.720001,12.5199995,NE
2001-01-05 18:00:00,0.95,32.690002,10.8,NE
2001-01-05 21:00:00,1.02,36.78,9.309999,NE
2001-01-06 00:00:00,1.01,36.380005,9.12,NE
2001-01-06 03:00:00,1.02,36.26001,11.179999,NE
2001-01-06 06:00:00,0.98999995,33.199997,13.219999,NE
2001-01-06 09:00:00,0.96,31.630005,13.16,NE
2001-01-06 12:00:00,0.96,34.550003,13.12,NE
2001-01-06 15:00:00,0.95,33.53,13.059999,NE
2001-01-06 18:00:00,1.12,33.270004,13.95,NE
2001-01-06 21:00:00,1.11,38.320007,12.929999,NE
2001-01-07 00:00:00,1.15,38.160004,12.87,NE
2001-01-07 03:00:00,1.12,35.04001,12.71,NE
2001-01-07 06:00:00,1.11,29.309998,12.73,NE
2001-01-07 09:00:00,1.05,27.15001,12.53,NE
2001-01-07 12:00:00,1.04,28.779999,12.429999,NE
2001-01-07 15:00:00,1.1,35.990005,12.36,NE
2001-01-07 18:00:00,1.13,38.229996,11.809999,NE
2001-01-07 21:00:00,1.12,37.64,11.809999,NE
2001-01-08 00:00:00,1.09,35.37001,11.13,NE
2001-01-08 03:00:00,1.05,32.490005,11.11,NE
2001-01-08 06:00:00,1.02,29.910004,11.08,NE
2001-01-08 09:00:00,1.0,28.910004,11.059999,NE
2001-01-08 12:00:00,1.0699999,30.160004,11.099999,NE
2001-01-08 15:00:00,1.03,29.740005,11.03,NE
2001-01-08 18:00:00,1.05,29.330002,11.01,NE
2001-01-08 21:00:00,1.11,31.290009,11.01,NE
2001-01-09 00:00:00,1.13,31.130005,11.0,NE
2001-01-09 03:00:00,1.0699999,28.550003,9.11,NE
2001-01-09 06:00:00,1.03,26.839996,8.95,NE
2001-01-09 09:00:00,0.97999996,25.39,8.8,NE
2001-01-09 12:00:00,0.96,26.910004,8.67,NE
2001-01-09 15:00:00,0.96,27.070007,8.599999,NE
2001-01-09 18:00:00,0.97999996,28.100006,8.53,NE
2001-01-09 21:00:00,1.01,30.479996,8.49,NE
2001-01-10 00:00:00,1.1,32.309998,8.7699995,NE
2001-01-10 03:00:00,1.01,27.320007,8.72,NE
