Datetime,VHM0,VMDR,VTPK,CardinalDirection
2022-01-01 00:00:00,1.7099999,284.72998,12.679999,W
2022-01-01 03:00:00,1.5999999,285.09,12.75,W
2022-01-01 06:00:00,1.55,285.12,13.19,W
2022-01-01 09:00:00,1.67,285.33,13.65,W
2022-01-01 12:00:00,1.54,284.54,12.92,W
2022-01-01 15:00:00,1.5899999,287.16998,13.15,W
2022-01-01 18:00:00,1.74,288.96,13.45,W
2022-01-01 21:00:00,1.8,289.56,13.25,W
2022-01-02 00:00:00,1.9399999,289.09,13.28,W
2022-01-02 03:00:00,1.93,288.27,13.009999,W
2022-01-02 06:00:00,1.9,288.28,12.7,W
2022-01-02 09:00:00,1.89,288.66998,12.45,W
2022-01-02 12:00:00,1.8399999,288.66,12.349999,W
2022-01-02 15:00:00,1.81,288.58,12.259999,W
2022-01-02 18:00:00,1.79,290.57,12.19,W
2022-01-02 21:00:00,1.79,292.51,12.17,NW
2022-01-03 00:00:00,1.78,292.89,12.219999,NW
2022-01-03 03:00:00,1.75,292.19,12.28,W
2022-01-03 06:00:00,1.7099999,291.38,12.25,W
2022-01-03 09:00:00,1.68,291.26,12.24,W
2022-01-03 12:00:00,1.65,291.41,12.2,W
2022-01-03 15:00:00,1.61,291.61,12.12,W
2022-01-03 18:00:00,1.51,291.97998,11.87,W
2022-01-03 21:00:00,1.4,292.66,11.48,NW
2022-01-04 00:00:00,1.3199999,294.33,11.09,NW
2022-01-04 03:00:00,1.3,296.91998,10.87,NW
2022-01-04 06:00:00,1.3,300.35,10.82,NW
2022-01-04 09:00:00,1.3199999,304.68,10.84,NW
2022-01-04 12:00:00,1.35,309.44,11.05,NW
2022-01-04 15:00:00,1.39,313.19,11.78,NW
2022-01-04 18:00:00,1.41,316.58002,16.96,NW
2022-01-04 21:00:00,1.3399999,321.39,15.089999,NW
2022-01-05 00:00:00,1.53,328.32,15.549999,NW
2022-01-05 03:00:00,1.78,334.13,15.5199995,NW
2022-01-05 06:00:00,2.06,339.69,15.44,N
2022-01-05 09:00:00,2.32,342.61,15.259999,N
2022-01-05 12:00:00,2.3999999,343.53,14.4,N
2022-01-05 15:00:00,2.6,345.32,14.21,N
2022-01-05 18:00:00,2.81,347.76,13.86,N
2022-01-05 21:00:00,2.73,347.38,13.29,N
2022-01-06 00:00:00,2.52,346.14,13.0199995,N
2022-01-06 03:00:00,2.29,344.12,12.74,N
2022-01-06 06:00:00,2.1,341.94,12.309999,N
2022-01-06 09:00:00,1.99,340.97,12.04,N
2022-01-06 12:00:00,1.9599999,340.4,11.92,N
2022-01-06 15:00:00,1.9399999,341.41998,11.61,N
2022-01-06 18:00:00,2.03,343.55,11.05,N
2022-01-06 21:00:00,2.1399999,344.27,10.78,N
2022-01-07 00:00:00,2.3,343.97,15.4,N
2022-01-07 03:00:00,2.46,344.28998,14.79,N
2022-01-07 06:00:00,2.49,344.81,14.4,N
2022-01-07 09:00:00,2.59,344.22998,14.46,N
2022-01-07 12:00:00,2.7,340.7,14.7,N
2022-01-07 15:00:00,2.6699998,338.96,15.309999,N
2022-01-07 18:00:00,2.61,338.13,16.199999,N
2022-01-07 21:00:00,2.9099998,337.47998,17.68,NW
2022-01-08 00:00:00,3.1299999,334.43,18.08,NW
2022-01-08 03:00:00,3.3799999,330.53998,17.67,NW
2022-01-08 06:00:00,3.61,328.64,17.51,NW
2022-01-08 09:00:00,3.76,327.66998,18.05,NW
2022-01-08 12:00:00,3.9399998,327.33002,18.029999,NW
