Datetime,VHM0,VMDR,VTPK,CardinalDirection
1993-01-01 00:00:00,0.98999995,316.13,12.38,NW
1993-01-01 03:00:00,0.45999998,347.3,5.48,N
1993-01-01 06:00:00,0.45,13.480011,5.46,N
1993-01-01 09:00:00,0.45999998,58.61,2.78,NE
1993-01-01 12:00:00,0.44,72.630005,3.03,E
1993-01-01 15:00:00,0.35,30.910004,5.4,NE
1993-01-01 18:00:00,0.29999998,333.37,5.37,NW
1993-01-01 21:00:00,0.32999998,322.01,5.42,NW
1993-01-02 00:00:00,0.35999998,319.81,7.69,NW
1993-01-02 03:00:00,0.93,321.47998,11.67,NW
1993-01-02 06:00:00,1.01,326.11,12.65,NW
1993-01-02 09:00:00,0.95,329.03,11.259999,NW
1993-01-02 12:00:00,0.93,330.86,10.78,NW
1993-01-02 15:00:00,0.94,332.41,10.66,NW
1993-01-02 18:00:00,0.98999995,332.78998,10.599999,NW
1993-01-02 21:00:00,1.12,333.2,10.37,NW
1993-01-03 00:00:00,1.29,333.03,16.34,NW
1993-01-03 03:00:00,1.42,331.58002,18.109999,NW
1993-01-03 06:00:00,1.53,330.37,17.44,NW
1993-01-03 09:00:00,1.5999999,328.55,16.82,NW
1993-01-03 12:00:00,1.62,325.82,16.18,NW
1993-01-03 15:00:00,1.75,325.02002,15.799999,NW
1993-01-03 18:00:00,1.9,325.24,15.48,NW
1993-01-03 21:00:00,1.89,324.55,15.059999,NW
1993-01-04 00:00:00,1.79,323.38,14.759999,NW
1993-01-04 03:00:00,1.7099999,322.0,14.549999,NW
1993-01-04 06:00:00,1.63,319.51,14.41,NW
1993-01-04 09:00:00,1.55,317.07,14.25,NW
1993-01-04 12:00:00,1.7099999,315.24,15.0,NW
1993-01-04 15:00:00,1.55,313.56,14.34,NW
1993-01-04 18:00:00,1.41,311.71,13.639999,NW
1993-01-04 21:00:00,1.3,310.58002,13.16,NW
1993-01-05 00:00:00,1.23,309.97998,12.83,NW
1993-01-05 03:00:00,1.17,309.44,12.44,NW
1993-01-05 06:00:00,1.14,308.66998,12.19,NW
1993-01-05 09:00:00,1.13,307.54,12.059999,NW
1993-01-05 12:00:00,1.13,306.96,12.08,NW
1993-01-05 15:00:00,1.15,306.97998,12.3,NW
1993-01-05 18:00:00,1.1899999,307.57,12.54,NW
1993-01-05 21:00:00,1.23,308.49,12.69,NW
1993-01-06 00:00:00,1.24,309.05,12.87,NW
1993-01-06 03:00:00,1.25,309.26,13.13,NW
1993-01-06 06:00:00,1.24,309.15,13.219999,NW
1993-01-06 09:00:00,1.23,308.51,13.13,NW
1993-01-06 12:00:00,1.23,307.61,13.0199995,NW
1993-01-06 15:00:00,1.24,306.33,12.96,NW
1993-01-06 18:00:00,1.3,305.06,13.0199995,NW
1993-01-06 21:00:00,1.37,304.69,13.44,NW
1993-01-07 00:00:00,1.43,303.94,14.54,NW
1993-01-07 03:00:00,1.49,302.72998,14.9,NW
1993-01-07 06:00:00,1.54,301.76,14.83,NW
1993-01-07 09:00:00,1.55,301.12,14.589999,NW
1993-01-07 12:00:00,1.63,300.65,14.63,NW
1993-01-07 15:00:00,1.64,300.38,14.57,NW
1993-01-07 18:00:00,1.5899999,300.91998,14.33,NW
1993-01-07 21:00:00,1.4699999,302.31,13.809999,NW
1993-01-08 00:00:00,1.52,303.85,14.059999,NW
1993-01-08 03:00:00,1.4699999,306.41998,13.87,NW
1993-01-08 06:00:00,1.38,307.19,13.5,NW
1993-01-08 09:00:00,1.3,307.7,13.139999,NW
1993-01-08 12:00:00,1.23,308.71,12.889999,NW
1993-01-08 15:00:00,1.2099999,309.66,12.79,NW
1993-01-08 18:00:00,1.16,310.47998,12.57,NW
1993-01-08 21:00:00,1.14,311.7,12.36,NW
1993-01-09 00:00:00,1.06,312.16,12.07,NW
1993-01-09 03:00:00,1.01,312.46,11.87,NW
1993-01-09 06:00:00,0.97999996,312.84998,11.67,NW
1993-01-09 09:00:00,0.96999997,313.11,11.59,NW
1993-01-09 12:00:00,0.97999996,313.52002,11.65,NW
1993-01-09 15:00:00,1.0,314.19,11.759999,NW
1993-01-09 18:00:00,1.03,315.21,11.94,NW
1993-01-09 21:00:00,1.0699999,317.05,12.639999,NW
1993-01-10 00:00:00,1.1,318.7,13.04,NW
1993-01-10 03:00:00,1.13,320.12,13.07,NW
1993-01-10 06:00:00,1.15,321.45,14.24,NW
1993-01-10 09:00:00,1.17,322.64,14.12,NW
1993-01-10 12:00:00,1.22,323.44,14.09,NW
1993-01-10 15:00:00,1.25,323.81,16.46,NW
1993-01-10 18:00:00,1.29,323.72998,16.13,NW
1993-01-10 21:00:00,1.3299999,323.59998,15.83,NW
1993-01-11 00:00:00,1.36,323.22,15.53,NW
1993-01-11 03:00:00,1.36,322.36,15.0199995,NW
1993-01-11 06:00:00,1.35,321.05,14.589999,NW
1993-01-11 09:00:00,1.3,319.55,14.08,NW
1993-01-11 12:00:00,1.23,318.4,13.469999,NW
1993-01-11 15:00:00,1.17,317.37,13.11,NW
1993-01-11 18:00:00,1.13,316.45,12.809999,NW
1993-01-11 21:00:00,1.11,316.21,12.45,NW
1993-01-12 00:00:00,1.04,316.49,11.88,NW
1993-01-12 03:00:00,1.0699999,317.05,11.78,NW
1993-01-12 06:00:00,1.15,318.05,12.83,NW
1993-01-12 09:00:00,1.29,319.49,14.559999,NW
1993-01-12 12:00:00,1.4499999,320.84,15.059999,NW
1993-01-12 15:00:00,1.5999999,321.68,15.19,NW
1993-01-12 18:00:00,1.7199999,322.12,15.049999,NW
1993-01-12 21:00:00,1.8399999,322.53,14.86,NW
1993-01-13 00:00:00,1.9799999,322.97,14.95,NW
1993-01-13 03:00:00,2.1499999,323.51,17.3,NW
1993-01-13 06:00:00,2.31,323.83002,17.5,NW
1993-01-13 09:00:00,2.3999999,323.7,17.21,NW
1993-01-13 12:00:00,2.46,323.31,16.93,NW
1993-01-13 15:00:00,2.46,322.89,16.6,NW
1993-01-13 18:00:00,2.45,322.55,16.55,NW
1993-01-13 21:00:00,2.45,322.31,16.68,NW
1993-01-14 00:00:00,2.53,321.88,17.109999,NW
1993-01-14 03:00:00,2.3799999,320.97998,16.71,NW
1993-01-14 06:00:00,2.25,320.14,16.3,NW
1993-01-14 09:00:00,2.1499999,319.75,16.029999,NW
1993-01-14 12:00:00,2.06,319.63,15.79,NW
1993-01-14 15:00:00,2.02,319.56,15.559999,NW
1993-01-14 18:00:00,2.0,319.55,15.349999,NW
1993-01-14 21:00:00,1.9499999,319.45,15.139999,NW
1993-01-15 00:00:00,1.89,319.01,14.929999,NW
1993-01-15 03:00:00,1.8199999,318.66998,14.719999,NW
1993-01-15 06:00:00,1.74,318.41998,14.53,NW
1993-01-15 09:00:00,1.66,318.22998,14.33,NW
1993-01-15 12:00:00,1.56,317.91998,14.049999,NW
1993-01-15 15:00:00,1.4599999,317.34998,13.65,NW
1993-01-15 18:00:00,1.35,316.66998,13.259999,NW
1993-01-15 21:00:00,1.26,316.06,12.929999,NW
1993-01-16 00:00:00,1.17,315.36,12.5,NW
1993-01-16 03:00:00,1.11,314.7,12.21,NW
1993-01-16 06:00:00,1.06,314.28,12.07,NW
1993-01-16 09:00:00,1.01,314.05,11.98,NW
1993-01-16 12:00:00,0.96999997,313.77002,11.94,NW
1993-01-16 15:00:00,0.94,313.44,11.889999,NW
1993-01-16 18:00:00,0.96999997,314.38,11.809999,NW
1993-01-16 21:00:00,0.95,314.8,11.7,NW
1993-01-17 00:00:00,0.91999996,314.16,11.54,NW
1993-01-17 03:00:00,0.9,313.81,11.509999,NW
1993-01-17 06:00:00,0.89,313.91998,11.66,NW
1993-01-17 09:00:00,0.9,313.96,11.969999,NW
1993-01-17 12:00:00,0.93,313.31,12.349999,NW
1993-01-17 15:00:00,0.96999997,311.8,12.429999,NW
1993-01-17 18:00:00,1.0699999,310.59998,18.26,NW
1993-01-17 21:00:00,1.18,308.59998,17.59,NW
1993-01-18 00:00:00,1.3299999,306.78,17.06,NW
1993-01-18 03:00:00,1.5,305.66998,16.42,NW
1993-01-18 06:00:00,1.66,305.03,16.05,NW
1993-01-18 09:00:00,1.78,304.76,15.759999,NW
1993-01-18 12:00:00,1.88,304.65,15.559999,NW
1993-01-18 15:00:00,1.91,304.96,15.12,NW
1993-01-18 18:00:00,1.92,305.76,14.79,NW
1993-01-18 21:00:00,1.91,306.84,14.5199995,NW
1993-01-19 00:00:00,1.87,306.97,14.29,NW
1993-01-19 03:00:00,1.8,307.18,13.929999,NW
1993-01-19 06:00:00,1.74,307.75,13.75,NW
1993-01-19 09:00:00,1.6899999,308.59,13.639999,NW
1993-01-19 12:00:00,1.62,309.59,13.5,NW
1993-01-19 15:00:00,1.54,310.38,13.309999,NW
1993-01-19 18:00:00,1.49,312.41998,13.08,NW
1993-01-19 21:00:00,1.4399999,314.36,12.84,NW
1993-01-20 00:00:00,1.35,314.78,12.53,NW
1993-01-20 03:00:00,1.27,315.11,12.29,NW
1993-01-20 06:00:00,1.2099999,315.47998,12.12,NW
1993-01-20 09:00:00,1.15,316.05,11.98,NW
1993-01-20 12:00:00,1.37,316.66998,13.2,NW
1993-01-20 15:00:00,1.16,316.33002,12.4,NW
1993-01-20 18:00:00,1.12,317.45,12.059999,NW
1993-01-20 21:00:00,1.11,318.61,11.91,NW
1993-01-21 00:00:00,1.0799999,318.22998,11.78,NW
1993-01-21 03:00:00,1.0699999,317.59998,11.62,NW
1993-01-21 06:00:00,1.09,316.88,11.41,NW
1993-01-21 09:00:00,1.12,315.94,18.84,NW
1993-01-21 12:00:00,1.1899999,314.97998,17.96,NW
1993-01-21 15:00:00,1.27,314.26,17.369999,NW
1993-01-21 18:00:00,1.36,313.87,16.66,NW
1993-01-21 21:00:00,1.62,313.59,17.21,NW
1993-01-22 00:00:00,1.5999999,313.09998,16.16,NW
1993-01-22 03:00:00,1.55,312.68,15.46,NW
1993-01-22 06:00:00,1.5,312.16998,14.79,NW
1993-01-22 09:00:00,1.4599999,311.83002,14.469999,NW
1993-01-22 12:00:00,1.43,311.52002,14.25,NW
1993-01-22 15:00:00,1.41,311.25,14.04,NW
1993-01-22 18:00:00,1.38,311.11,13.759999,NW
1993-01-22 21:00:00,1.36,311.25,13.53,NW
1993-01-23 00:00:00,1.3399999,311.59998,13.34,NW
1993-01-23 03:00:00,1.3299999,312.33002,13.17,NW
1993-01-23 06:00:00,1.31,313.52002,12.99,NW
1993-01-23 09:00:00,1.3199999,315.18,14.139999,NW
1993-01-23 12:00:00,1.29,316.46,15.969999,NW
1993-01-23 15:00:00,1.36,317.34,15.75,NW
1993-01-23 18:00:00,1.5,317.66,15.75,NW
1993-01-23 21:00:00,1.5799999,317.44,15.53,NW
1993-01-24 00:00:00,1.73,316.77002,15.67,NW
1993-01-24 03:00:00,1.68,316.41,15.179999,NW
1993-01-24 06:00:00,1.5899999,315.89,14.66,NW
1993-01-24 09:00:00,1.5,315.86,14.299999,NW
1993-01-24 12:00:00,1.41,315.63,13.929999,NW
1993-01-24 15:00:00,1.3299999,315.38,13.549999,NW
1993-01-24 18:00:00,1.3,316.5,13.2699995,NW
1993-01-24 21:00:00,1.26,317.34998,13.059999,NW
1993-01-25 00:00:00,1.1899999,316.89,12.87,NW
1993-01-25 03:00:00,1.13,316.09,12.62,NW
1993-01-25 06:00:00,1.0799999,315.08002,12.45,NW
1993-01-25 09:00:00,1.06,314.49,12.46,NW
1993-01-25 12:00:00,1.04,313.96,13.7,NW
1993-01-25 15:00:00,1.05,313.7,14.24,NW
1993-01-25 18:00:00,1.1,314.87,14.08,NW
1993-01-25 21:00:00,1.15,317.56,13.7,NW
1993-01-26 00:00:00,1.1899999,319.18,13.44,NW
1993-01-26 03:00:00,1.1899999,319.52002,13.2699995,NW
1993-01-26 06:00:00,1.14,319.31,13.11,NW
1993-01-26 09:00:00,1.09,319.26,12.95,NW
1993-01-26 12:00:00,1.09,319.66,12.889999,NW
1993-01-26 15:00:00,1.1,320.64,12.67,NW
1993-01-26 18:00:00,1.22,322.77002,12.4,NW
1993-01-26 21:00:00,1.28,324.62,12.12,NW
1993-01-27 00:00:00,1.3399999,325.78,12.17,NW
1993-01-27 03:00:00,1.1999999,326.21,13.15,NW
1993-01-27 06:00:00,1.15,327.86,12.809999,NW
1993-01-27 09:00:00,1.16,329.95,16.039999,NW
1993-01-27 12:00:00,1.18,331.34,15.75,NW
1993-01-27 15:00:00,1.17,331.75,15.15,NW
1993-01-27 18:00:00,1.16,331.52,14.58,NW
1993-01-27 21:00:00,1.13,331.01,14.2,NW
