Datetime,VHM0,VMDR,VTPK,CardinalDirection
2021-01-01 00:00:00,0.84999996,201.0,12.0,S
2021-01-01 03:00:00,0.84999996,201.4,12.19,S
2021-01-01 06:00:00,0.84999996,201.84,12.2699995,S
2021-01-01 09:00:00,0.85999995,202.5,12.349999,SW
2021-01-01 12:00:00,0.87,203.33,12.57,SW
2021-01-01 15:00:00,0.9,204.0,12.799999,SW
2021-01-01 18:00:00,0.93,203.97,12.84,SW
2021-01-01 21:00:00,0.95,203.59,12.87,SW
2021-01-02 00:00:00,0.96999997,203.7,12.849999,SW
2021-01-02 03:00:00,0.96,204.29,12.74,SW
2021-01-02 06:00:00,0.95,205.4,12.73,SW
2021-01-02 09:00:00,0.94,206.12,12.639999,SW
2021-01-02 12:00:00,0.93,206.55,12.48,SW
2021-01-02 15:00:00,0.9,206.75,12.0199995,SW
2021-01-02 18:00:00,0.90999997,206.78,12.36,SW
2021-01-02 21:00:00,0.96,203.81,12.469999,SW
2021-01-03 00:00:00,1.0,200.32,12.38,S
2021-01-03 03:00:00,1.0,199.28,12.2699995,S
2021-01-03 06:00:00,0.96999997,199.31,12.11,S
2021-01-03 09:00:00,0.95,199.05,11.94,S
2021-01-03 12:00:00,0.94,198.52,11.74,S
2021-01-03 15:00:00,0.93,197.88,11.509999,S
2021-01-03 18:00:00,0.93,197.29,11.23,S
2021-01-03 21:00:00,0.94,196.7,11.03,S
2021-01-04 00:00:00,0.94,196.34,10.889999,S
2021-01-04 03:00:00,0.91999996,195.8,10.349999,S
2021-01-04 06:00:00,0.94,195.45,10.4,S
2021-01-04 09:00:00,0.91999996,195.81,10.349999,S
2021-01-04 12:00:00,0.89,195.81,10.389999,S
2021-01-04 15:00:00,0.84999996,197.39,10.34,S
2021-01-04 18:00:00,0.84999996,197.55,10.34,S
2021-01-04 21:00:00,0.85999995,198.52,10.309999,S
2021-01-05 00:00:00,0.87,199.53,10.3,S
2021-01-05 03:00:00,0.85999995,200.57,10.309999,S
2021-01-05 06:00:00,0.82,201.84,10.21,S
2021-01-05 09:00:00,0.81,202.83,10.23,SW
2021-01-05 12:00:00,0.81,203.75,10.25,SW
2021-01-05 15:00:00,0.82,202.62,10.59,SW
2021-01-05 18:00:00,0.83,202.92,12.929999,SW
2021-01-05 21:00:00,0.84999996,203.85,13.0199995,SW
2021-01-06 00:00:00,0.87,204.09,13.07,SW
2021-01-06 03:00:00,0.85999995,204.68,12.94,SW
2021-01-06 06:00:00,0.89,205.74,13.03,SW
2021-01-06 09:00:00,0.90999997,205.59,12.99,SW
2021-01-06 12:00:00,1.06,201.16,13.07,S
2021-01-06 15:00:00,1.06,201.2,13.009999,S
2021-01-06 18:00:00,1.0699999,201.65,12.99,S
2021-01-06 21:00:00,1.0699999,201.92,12.96,S
2021-01-07 00:00:00,1.09,201.7,12.92,S
2021-01-07 03:00:00,1.1,201.36,12.9,S
2021-01-07 06:00:00,1.09,201.98,12.86,S
2021-01-07 09:00:00,1.0699999,202.77,12.799999,SW
2021-01-07 12:00:00,1.05,203.63,12.759999,SW
2021-01-07 15:00:00,1.03,204.33,12.75,SW
2021-01-07 18:00:00,0.97999996,204.8,12.21,SW
2021-01-07 21:00:00,1.03,203.22,12.74,SW
2021-01-08 00:00:00,1.06,201.77,12.7699995,S
2021-01-08 03:00:00,1.06,201.92,12.759999,S
2021-01-08 06:00:00,1.02,202.48,12.309999,S
2021-01-08 09:00:00,1.23,201.97,13.349999,S
2021-01-08 12:00:00,1.14,199.35,12.759999,S
2021-01-08 15:00:00,1.0799999,198.05,11.84,S
2021-01-08 18:00:00,1.12,197.47,11.969999,S
2021-01-08 21:00:00,1.15,196.31,11.809999,S
2021-01-09 00:00:00,1.1899999,194.94,11.87,S
2021-01-09 03:00:00,1.1999999,193.99,11.969999,S
2021-01-09 06:00:00,1.1999999,193.73,11.9,S
2021-01-09 09:00:00,1.1899999,193.74,11.73,S
2021-01-09 12:00:00,1.18,194.1,11.48,S
2021-01-09 15:00:00,1.16,194.48,11.3,S
2021-01-09 18:00:00,1.15,194.53,11.21,S
2021-01-09 21:00:00,1.15,194.21,11.3,S
2021-01-10 00:00:00,1.16,194.06,11.32,S
2021-01-10 03:00:00,1.14,194.18,11.349999,S
2021-01-10 06:00:00,1.14,194.52,11.389999,S
2021-01-10 09:00:00,1.15,195.14,11.9,S
2021-01-10 12:00:00,1.1,196.25,11.509999,S
2021-01-10 15:00:00,1.11,196.93,12.74,S
2021-01-10 18:00:00,1.09,196.81,12.73,S
2021-01-10 21:00:00,1.12,195.69,12.7699995,S
2021-01-11 00:00:00,1.13,195.02,12.74,S
2021-01-11 03:00:00,1.12,195.58,12.78,S
2021-01-11 06:00:00,1.11,196.41,12.9,S
2021-01-11 09:00:00,1.11,197.13,13.0199995,S
2021-01-11 12:00:00,1.13,196.70999,13.34,S
2021-01-11 15:00:00,1.13,199.59,13.179999,S
2021-01-11 18:00:00,1.22,200.28,13.139999,S
2021-01-11 21:00:00,1.28,198.85,13.12,S
2021-01-12 00:00:00,1.28,197.8,13.139999,S
2021-01-12 03:00:00,1.26,197.54,13.15,S
2021-01-12 06:00:00,1.23,198.01,13.139999,S
2021-01-12 09:00:00,1.24,198.7,13.2,S
2021-01-12 12:00:00,1.22,199.03,13.13,S
2021-01-12 15:00:00,1.4,199.66,14.11,S
2021-01-12 18:00:00,1.31,198.63,13.139999,S
2021-01-12 21:00:00,1.3299999,197.37,13.11,S
2021-01-13 00:00:00,1.55,196.42,14.25,S
2021-01-13 03:00:00,1.35,195.93,13.059999,S
2021-01-13 06:00:00,1.3,196.61,13.009999,S
2021-01-13 09:00:00,1.26,197.4,12.98,S
2021-01-13 12:00:00,1.25,198.07,12.96,S
2021-01-13 15:00:00,1.25,198.25,12.96,S
2021-01-13 18:00:00,1.28,197.79,12.98,S
2021-01-13 21:00:00,1.31,196.95,13.0,S
2021-01-14 00:00:00,1.3299999,195.73,13.0199995,S
2021-01-14 03:00:00,1.42,195.44,13.21,S
2021-01-14 06:00:00,1.37,195.3,13.049999,S
2021-01-14 09:00:00,1.39,195.24,13.09,S
2021-01-14 12:00:00,1.4,195.19,13.13,S
2021-01-14 15:00:00,1.4,194.98,13.12,S
2021-01-14 18:00:00,1.42,194.65,13.099999,S
2021-01-14 21:00:00,1.4499999,193.76,13.09,S
2021-01-15 00:00:00,1.4699999,192.59,13.059999,S
2021-01-15 03:00:00,1.49,192.3,13.08,S
2021-01-15 06:00:00,1.4599999,192.43,13.03,S
2021-01-15 09:00:00,1.4399999,192.48,13.0199995,S
2021-01-15 12:00:00,1.43,192.69,13.03,S
2021-01-15 15:00:00,1.42,192.78,12.99,S
2021-01-15 18:00:00,1.39,192.9,12.95,S
2021-01-15 21:00:00,1.36,192.85,12.88,S
2021-01-16 00:00:00,1.3399999,192.3,12.809999,S
2021-01-16 03:00:00,1.31,192.73,12.7,S
2021-01-16 06:00:00,1.27,193.83,12.389999,S
2021-01-16 09:00:00,1.23,194.92,12.179999,S
2021-01-16 12:00:00,1.18,196.15,12.0,S
2021-01-16 15:00:00,1.15,197.74,11.82,S
2021-01-16 18:00:00,1.11,198.79,11.57,S
2021-01-16 21:00:00,1.0799999,199.4,11.3,S
2021-01-17 00:00:00,1.05,196.74,10.94,S
2021-01-17 03:00:00,1.02,197.91,10.88,S
2021-01-17 06:00:00,0.98999995,198.95999,10.74,S
2021-01-17 09:00:00,0.97999996,199.22,10.559999,S
2021-01-17 12:00:00,0.94,200.19,10.139999,S
2021-01-17 15:00:00,0.95,200.98,10.38,S
2021-01-17 18:00:00,0.95,200.98,12.7699995,S
2021-01-17 21:00:00,0.97999996,199.59,12.799999,S
2021-01-18 00:00:00,0.97999996,199.42,12.809999,S
2021-01-18 03:00:00,0.95,200.01,12.54,S
2021-01-18 06:00:00,0.95,200.4,12.889999,S
2021-01-18 09:00:00,0.95,199.94,12.9,S
2021-01-18 12:00:00,0.93,201.68,12.9,S
2021-01-18 15:00:00,0.91999996,202.69,12.889999,SW
2021-01-18 18:00:00,0.91999996,203.0,12.889999,SW
2021-01-18 21:00:00,0.95,200.33,12.9,S
2021-01-19 00:00:00,0.96,199.52,12.88,S
2021-01-19 03:00:00,0.93,199.74,12.83,S
2021-01-19 06:00:00,0.91999996,199.57,12.849999,S
2021-01-19 09:00:00,0.90999997,200.81,12.849999,S
2021-01-19 12:00:00,0.88,201.41,12.34,S
2021-01-19 15:00:00,0.9,201.76,12.719999,S
2021-01-19 18:00:00,0.90999997,200.44,12.58,S
2021-01-19 21:00:00,0.85999995,199.04,11.59,S
2021-01-20 00:00:00,0.93,197.45999,11.309999,S
2021-01-20 03:00:00,0.96,196.39,11.15,S
2021-01-20 06:00:00,0.97999996,196.20999,11.03,S
2021-01-20 09:00:00,0.98999995,196.35,10.9,S
2021-01-20 12:00:00,1.0,197.02,10.75,S
2021-01-20 15:00:00,1.0,197.68,10.57,S
2021-01-20 18:00:00,1.01,198.11,10.65,S
2021-01-20 21:00:00,1.04,197.52,12.95,S
2021-01-21 00:00:00,1.05,197.66,13.049999,S
2021-01-21 03:00:00,1.05,198.54,13.11,S
2021-01-21 06:00:00,1.05,199.59,13.139999,S
2021-01-21 09:00:00,1.05,200.62,13.139999,S
2021-01-21 12:00:00,1.05,201.54,13.13,S
2021-01-21 15:00:00,1.02,202.07,12.98,S
2021-01-21 18:00:00,1.06,202.31,13.07,S
2021-01-21 21:00:00,1.1,201.15,13.059999,S
2021-01-22 00:00:00,1.11,200.67,13.0199995,S
2021-01-22 03:00:00,1.11,201.02,13.0,S
2021-01-22 06:00:00,1.11,201.7,13.0,S
2021-01-22 09:00:00,1.11,202.65,13.009999,SW
