Datetime,VHM0,VMDR,VTPK,CardinalDirection
2013-01-01 00:00:00,0.96999997,125.51,7.62,SE
2013-01-01 03:00:00,1.04,125.34,8.04,SE
2013-01-01 06:00:00,0.98999995,117.05,7.7599998,SE
2013-01-01 09:00:00,1.02,109.5,7.68,E
2013-01-01 12:00:00,1.12,102.71,7.8599997,E
2013-01-01 15:00:00,1.1899999,99.42,7.99,E
2013-01-01 18:00:00,1.1899999,98.450005,7.99,E
2013-01-01 21:00:00,1.13,98.67,7.9199996,E
2013-01-02 00:00:00,1.0799999,99.840004,7.89,E
2013-01-02 03:00:00,1.0699999,102.04,8.05,E
2013-01-02 06:00:00,1.03,107.85,8.04,E
2013-01-02 09:00:00,1.15,127.4,7.9199996,SE
2013-01-02 12:00:00,1.65,153.14,6.6099997,SE
2013-01-02 15:00:00,2.07,163.62,7.3199997,S
2013-01-02 18:00:00,2.3799999,168.56,7.7799997,S
2013-01-02 21:00:00,2.47,169.48,7.95,S
2013-01-03 00:00:00,2.46,169.52,7.8599997,S
2013-01-03 03:00:00,2.45,170.18,12.24,S
2013-01-03 06:00:00,2.44,171.35,12.53,S
2013-01-03 09:00:00,2.4199998,172.61,12.509999,S
2013-01-03 12:00:00,2.3999999,173.54,12.74,S
2013-01-03 15:00:00,2.3899999,174.04,13.92,S
2013-01-03 18:00:00,2.3999999,172.13,14.58,S
2013-01-03 21:00:00,2.3999999,168.13,14.42,S
2013-01-04 00:00:00,2.34,164.98,14.25,S
2013-01-04 03:00:00,2.27,162.74,14.12,S
2013-01-04 06:00:00,2.28,159.88,14.04,S
2013-01-04 09:00:00,2.3999999,154.46,14.139999,SE
2013-01-04 12:00:00,2.46,150.93,14.2699995,SE
2013-01-04 15:00:00,2.4099998,150.78,14.25,SE
2013-01-04 18:00:00,2.35,150.57,14.21,SE
2013-01-04 21:00:00,2.3,149.81,14.23,SE
2013-01-05 00:00:00,2.22,149.2,14.25,SE
2013-01-05 03:00:00,2.18,148.08,14.299999,SE
2013-01-05 06:00:00,2.08,144.78,13.889999,SE
2013-01-05 09:00:00,2.05,143.24,13.88,SE
2013-01-05 12:00:00,2.1,144.20999,14.21,SE
2013-01-05 15:00:00,2.09,142.85,14.04,SE
2013-01-05 18:00:00,2.07,137.94,13.389999,SE
2013-01-05 21:00:00,1.99,131.86,12.96,SE
2013-01-06 00:00:00,1.88,127.36,12.62,SE
2013-01-06 03:00:00,1.73,128.75,12.32,SE
2013-01-06 06:00:00,1.5699999,131.07,12.12,SE
2013-01-06 09:00:00,1.4499999,129.96,11.91,SE
2013-01-06 12:00:00,1.37,127.990005,11.69,SE
2013-01-06 15:00:00,1.3199999,126.600006,11.2,SE
2013-01-06 18:00:00,1.28,125.61,7.62,SE
2013-01-06 21:00:00,1.22,125.22,7.56,SE
2013-01-07 00:00:00,1.11,124.16,7.56,SE
2013-01-07 03:00:00,1.02,123.72,7.52,SE
2013-01-07 06:00:00,0.95,123.630005,7.46,SE
2013-01-07 09:00:00,0.90999997,122.75,7.45,SE
2013-01-07 12:00:00,0.88,121.32,7.49,SE
2013-01-07 15:00:00,0.88,118.600006,7.56,SE
2013-01-07 18:00:00,0.91999996,114.770004,7.66,SE
2013-01-07 21:00:00,0.96999997,109.630005,7.7799997,E
2013-01-08 00:00:00,1.05,105.9,7.98,E
2013-01-08 03:00:00,1.03,103.91,8.04,E
2013-01-08 06:00:00,0.97999996,103.07,8.059999,E
2013-01-08 09:00:00,0.94,102.35,8.139999,E
2013-01-08 12:00:00,0.95,100.65,8.179999,E
2013-01-08 15:00:00,1.0,98.8,8.179999,E
2013-01-08 18:00:00,1.06,97.79,8.179999,E
2013-01-08 21:00:00,1.11,96.97,8.24,E
2013-01-09 00:00:00,1.12,96.23,8.309999,E
2013-01-09 03:00:00,1.1,95.64,8.309999,E
2013-01-09 06:00:00,1.09,94.83,8.34,E
2013-01-09 09:00:00,1.0799999,94.4,8.48,E
