Datetime,VHM0,VMDR,VTPK,CardinalDirection
2005-01-01 00:00:00,1.11,137.48,9.66,SE
2005-01-01 03:00:00,1.0699999,137.44,9.559999,SE
2005-01-01 06:00:00,1.05,137.02,9.429999,SE
2005-01-01 09:00:00,1.06,135.98,9.38,SE
2005-01-01 12:00:00,1.0799999,134.59,9.59,SE
2005-01-01 15:00:00,1.12,133.22,10.219999,SE
2005-01-01 18:00:00,1.15,132.51001,10.58,SE
2005-01-01 21:00:00,1.1999999,130.57,10.62,SE
2005-01-02 00:00:00,1.35,127.380005,10.969999,SE
2005-01-02 03:00:00,1.3199999,124.92,10.69,SE
2005-01-02 06:00:00,1.29,123.880005,10.53,SE
2005-01-02 09:00:00,1.26,122.81,10.5,SE
2005-01-02 12:00:00,1.24,122.56,10.559999,SE
2005-01-02 15:00:00,1.25,122.03,10.67,SE
2005-01-02 18:00:00,1.18,120.84,10.38,SE
2005-01-02 21:00:00,1.27,116.100006,10.38,SE
2005-01-03 00:00:00,1.37,110.5,10.33,E
2005-01-03 03:00:00,1.38,110.590004,10.42,E
2005-01-03 06:00:00,1.3299999,111.37,10.42,E
2005-01-03 09:00:00,1.29,111.41,10.33,E
2005-01-03 12:00:00,1.27,110.58,6.77,E
2005-01-03 15:00:00,1.26,109.24,6.8399997,E
2005-01-03 18:00:00,1.28,107.810005,6.8399997,E
2005-01-03 21:00:00,1.29,106.26,6.81,E
2005-01-04 00:00:00,1.28,107.380005,6.71,E
2005-01-04 03:00:00,1.26,109.520004,6.89,E
2005-01-04 06:00:00,1.23,109.700005,7.0299997,E
2005-01-04 09:00:00,1.25,108.97,7.2799997,E
2005-01-04 12:00:00,1.25,107.87,7.44,E
2005-01-04 15:00:00,1.22,108.01,7.48,E
2005-01-04 18:00:00,1.17,108.43,7.52,E
2005-01-04 21:00:00,1.31,103.950005,7.87,E
2005-01-05 00:00:00,1.1999999,102.37,7.7,E
2005-01-05 03:00:00,1.23,103.560005,7.94,E
2005-01-05 06:00:00,1.31,103.0,7.89,E
2005-01-05 09:00:00,1.39,102.76,7.77,E
2005-01-05 12:00:00,1.39,104.53,7.8399997,E
2005-01-05 15:00:00,1.3199999,105.98,7.8599997,E
2005-01-05 18:00:00,1.23,106.700005,7.85,E
2005-01-05 21:00:00,1.17,107.18,7.93,E
2005-01-06 00:00:00,1.12,107.94,7.97,E
2005-01-06 03:00:00,1.0699999,108.41,7.93,E
2005-01-06 06:00:00,1.03,108.020004,7.8199997,E
2005-01-06 09:00:00,1.03,106.91,7.8599997,E
2005-01-06 12:00:00,0.98999995,106.020004,7.74,E
2005-01-06 15:00:00,0.96999997,104.380005,7.75,E
2005-01-06 18:00:00,0.95,103.03,7.81,E
2005-01-06 21:00:00,0.96,99.68,7.8999996,E
2005-01-07 00:00:00,0.91999996,99.69,7.91,E
2005-01-07 03:00:00,0.85999995,100.060005,7.89,E
2005-01-07 06:00:00,0.82,100.48,7.79,E
2005-01-07 09:00:00,0.76,100.62,7.54,E
2005-01-07 12:00:00,0.77,100.490005,7.5,E
2005-01-07 15:00:00,0.78,100.89,7.46,E
2005-01-07 18:00:00,0.77,101.65,7.43,E
2005-01-07 21:00:00,0.77,102.25,7.3999996,E
2005-01-08 00:00:00,0.76,102.47,7.3599997,E
2005-01-08 03:00:00,0.76,102.68,7.35,E
2005-01-08 06:00:00,0.76,103.020004,7.3799996,E
2005-01-08 09:00:00,0.75,103.29,7.44,E
2005-01-08 12:00:00,0.72999996,103.83,7.4199996,E
2005-01-08 15:00:00,0.69,104.62,7.3199997,E
2005-01-08 18:00:00,0.66999996,105.520004,7.16,E
2005-01-08 21:00:00,0.65999997,106.44,7.0,E
2005-01-09 00:00:00,0.65999997,107.69,6.95,E
2005-01-09 03:00:00,0.65999997,107.26,7.04,E
2005-01-09 06:00:00,0.65,105.87,7.17,E
2005-01-09 09:00:00,0.71,105.32,7.5099998,E
2005-01-09 12:00:00,0.75,104.36,7.81,E
2005-01-09 15:00:00,0.76,104.19,7.8799996,E
2005-01-09 18:00:00,0.75,104.07,7.75,E
2005-01-09 21:00:00,0.76,102.880005,7.62,E
2005-01-10 00:00:00,0.78,103.060005,7.48,E
2005-01-10 03:00:00,0.77,103.880005,7.5099998,E
2005-01-10 06:00:00,0.72999996,103.840004,7.5899997,E
2005-01-10 09:00:00,0.71,103.020004,7.6499996,E
2005-01-10 12:00:00,0.7,101.86,7.6,E
2005-01-10 15:00:00,0.69,101.270004,7.5699997,E
2005-01-10 18:00:00,0.69,100.490005,7.56,E
2005-01-10 21:00:00,0.69,99.42,7.5499997,E
2005-01-11 00:00:00,0.7,99.39,7.52,E
2005-01-11 03:00:00,0.71999997,99.4,7.62,E
2005-01-11 06:00:00,0.72999996,99.11,7.69,E
2005-01-11 09:00:00,0.71999997,98.71,7.7599998,E
2005-01-11 12:00:00,0.68,97.28,7.8399997,E
2005-01-11 15:00:00,0.65999997,97.090004,7.87,E
2005-01-11 18:00:00,0.65,97.090004,7.91,E
2005-01-11 21:00:00,0.71999997,97.490005,8.389999,E
2005-01-12 00:00:00,0.68,104.0,8.08,E
2005-01-12 03:00:00,0.75,118.33,8.01,SE
2005-01-12 06:00:00,0.9,133.97,7.43,SE
2005-01-12 09:00:00,1.0799999,142.91,5.93,SE
2005-01-12 12:00:00,1.2099999,146.43,6.12,SE
2005-01-12 15:00:00,1.31,146.31,6.33,SE
2005-01-12 18:00:00,1.38,144.15,6.49,SE
2005-01-12 21:00:00,1.37,142.33,6.7,SE
2005-01-13 00:00:00,1.3199999,141.42,6.95,SE
2005-01-13 03:00:00,1.28,141.86,7.22,SE
2005-01-13 06:00:00,1.24,143.2,7.46,SE
2005-01-13 09:00:00,1.22,144.98,7.64,SE
2005-01-13 12:00:00,1.1999999,145.44,7.77,SE
2005-01-13 15:00:00,1.2099999,144.45999,7.87,SE
2005-01-13 18:00:00,1.22,142.87,7.93,SE
2005-01-13 21:00:00,1.25,140.25,8.03,SE
2005-01-14 00:00:00,1.27,136.8,8.059999,SE
2005-01-14 03:00:00,1.27,132.99,8.16,SE
2005-01-14 06:00:00,1.24,130.63,8.28,SE
2005-01-14 09:00:00,1.1999999,128.3,8.36,SE
2005-01-14 12:00:00,1.14,127.84,8.26,SE
2005-01-14 15:00:00,1.14,122.89,8.2,SE
2005-01-14 18:00:00,1.1999999,118.57,8.24,SE
2005-01-14 21:00:00,1.26,113.700005,8.2,SE
2005-01-15 00:00:00,1.3199999,108.8,8.16,E
2005-01-15 03:00:00,1.3199999,104.950005,8.05,E
2005-01-15 06:00:00,1.26,106.94,6.15,E
2005-01-15 09:00:00,1.18,110.89,6.75,E
2005-01-15 12:00:00,1.1,114.72,6.98,SE
2005-01-15 15:00:00,1.05,118.25,7.18,SE
2005-01-15 18:00:00,1.03,121.78,7.56,SE
2005-01-15 21:00:00,1.03,121.4,10.349999,SE
2005-01-16 00:00:00,1.02,121.240005,10.4,SE
2005-01-16 03:00:00,0.97999996,123.770004,10.21,SE
2005-01-16 06:00:00,0.95,125.729996,10.0199995,SE
2005-01-16 09:00:00,0.93,126.45,9.849999,SE
2005-01-16 12:00:00,0.90999997,123.84,8.889999,SE
2005-01-16 15:00:00,0.93,122.270004,8.29,SE
2005-01-16 18:00:00,0.95,120.600006,8.34,SE
2005-01-16 21:00:00,1.03,135.98,8.47,SE
2005-01-17 00:00:00,1.29,160.63,8.03,S
2005-01-17 03:00:00,1.8299999,183.92,7.89,S
2005-01-17 06:00:00,2.06,186.41,7.6,S
2005-01-17 09:00:00,2.01,183.36,7.44,S
2005-01-17 12:00:00,1.89,178.69,7.3399997,S
2005-01-17 15:00:00,1.75,176.47,7.41,S
2005-01-17 18:00:00,1.64,176.2,7.71,S
2005-01-17 21:00:00,1.5799999,175.83,8.7699995,S
2005-01-18 00:00:00,1.8499999,174.2,10.719999,S
2005-01-18 03:00:00,1.74,170.04,10.25,S
2005-01-18 06:00:00,1.62,169.97,10.139999,S
2005-01-18 09:00:00,1.49,170.94,10.01,S
2005-01-18 12:00:00,1.41,170.64,9.929999,S
