location,title,onshore,offshore,side,side_onshore,side_offshore,time_zone
JERICOACOARA,Jericoacoara/CE (Brazil),['N'],['S'],"['W', 'E']","['NE', 'NW']","['SE', 'SW']",-3
SAOSEBASTIAO,São Sebastião/SP (Brazil),"['SW', 'S']","['NE', 'N']","['W', 'E']",['SE'],['NW'],-3
CRICANORTE,Guanacaste (Costa Rica),"['W', 'SW']","['E', 'NE']","['NW', 'SE']",['S'],['N'],-6
CRICASUL,Peninsula Osa (Costa Rica),['E'],['W'],"['N', 'S']","['NE', 'SE']","['NW', 'SW']",-6
ELSALVADOR,El Tunco (El Salvador),['S'],['N'],"['W', 'E']","['SW', 'SE']","['NW', 'NE']",-6
MARROCOSKAOKI,Sidi Kaoki (Morocco),['W'],['E'],"['N', 'S']","['NW', 'SW']","['NE', 'SE']",1
MARROCOSTAGHAZOUT,Taghazout (Morocco),['W'],['E'],"['N', 'S']","['NW', 'SW']","['NE', 'SE']",1
MARROCOSMIRLEFT,Mirleft (Morocco),['NW'],['SE'],"['NE', 'SW']","['N', 'W']","['S', 'E']",1
PACASMAYO,Pacasmayo (Peru),"['NW', 'W']","['SE', 'E']","['SW', 'NE']",['N'],['S'],-5
ELMERS,Elmers Island/LA (USA),['SE'],['NW'],"['NE', 'SW']","['E', 'S']","['N', 'W']",-5
