Datetime,VHM0,VMDR,VTPK,CardinalDirection
1993-01-01 00:00:00,1.3399999,48.910004,7.81,NE
1993-01-01 03:00:00,1.15,64.12,6.35,NE
1993-01-01 06:00:00,1.15,66.28,6.2999997,NE
1993-01-01 09:00:00,1.26,72.340004,6.0499997,E
1993-01-01 12:00:00,1.53,76.61,6.69,E
1993-01-01 15:00:00,1.38,73.94,7.0099998,E
1993-01-01 18:00:00,1.25,65.26,7.04,NE
1993-01-01 21:00:00,1.1999999,58.9,6.97,NE
1993-01-02 00:00:00,1.18,56.47,6.91,NE
1993-01-02 03:00:00,1.1999999,55.410004,6.8999996,NE
1993-01-02 06:00:00,1.28,58.300003,6.89,NE
1993-01-02 09:00:00,1.41,65.600006,6.71,NE
1993-01-02 12:00:00,1.49,70.350006,6.6,E
1993-01-02 15:00:00,1.48,67.64,6.85,E
1993-01-02 18:00:00,1.41,62.340004,7.2,NE
1993-01-02 21:00:00,1.37,58.57,7.3599997,NE
1993-01-03 00:00:00,1.73,56.190002,7.87,NE
1993-01-03 03:00:00,1.73,56.29,7.75,NE
1993-01-03 06:00:00,1.73,56.200005,7.39,NE
1993-01-03 09:00:00,1.7099999,56.83,6.69,NE
1993-01-03 12:00:00,1.7199999,60.07,6.48,NE
1993-01-03 15:00:00,1.5999999,57.940002,6.6,NE
1993-01-03 18:00:00,1.4699999,52.740005,6.77,NE
1993-01-03 21:00:00,1.4599999,47.97,8.29,NE
1993-01-04 00:00:00,1.48,44.26001,8.79,NE
1993-01-04 03:00:00,1.48,43.729996,9.63,NE
1993-01-04 06:00:00,1.75,45.62001,10.849999,NE
1993-01-04 09:00:00,1.67,45.059998,10.69,NE
1993-01-04 12:00:00,1.65,42.86,10.639999,NE
1993-01-04 15:00:00,1.5,40.79001,10.179999,NE
1993-01-04 18:00:00,1.4399999,38.65001,10.05,NE
1993-01-04 21:00:00,1.4499999,39.050003,9.99,NE
1993-01-05 00:00:00,1.4699999,40.26001,9.99,NE
1993-01-05 03:00:00,1.48,42.520004,10.0199995,NE
1993-01-05 06:00:00,1.4599999,43.190002,10.04,NE
1993-01-05 09:00:00,1.42,42.770004,10.07,NE
1993-01-05 12:00:00,1.38,43.190002,10.139999,NE
1993-01-05 15:00:00,1.3399999,42.449997,10.2,NE
1993-01-05 18:00:00,1.3199999,41.25,10.309999,NE
1993-01-05 21:00:00,1.35,41.26001,10.309999,NE
1993-01-06 00:00:00,1.52,40.78,10.7699995,NE
1993-01-06 03:00:00,1.48,40.15001,10.62,NE
1993-01-06 06:00:00,1.4399999,39.28,10.51,NE
1993-01-06 09:00:00,1.37,38.490005,10.38,NE
1993-01-06 12:00:00,1.31,38.47,10.25,NE
1993-01-06 15:00:00,1.26,37.770004,10.13,NE
1993-01-06 18:00:00,1.23,37.410004,10.03,NE
1993-01-06 21:00:00,1.1999999,37.53,9.929999,NE
1993-01-07 00:00:00,1.17,37.29001,9.86,NE
1993-01-07 03:00:00,1.16,37.14,9.78,NE
1993-01-07 06:00:00,1.16,37.160004,9.74,NE
1993-01-07 09:00:00,1.15,36.65001,9.719999,NE
1993-01-07 12:00:00,1.22,36.210007,10.05,NE
1993-01-07 15:00:00,1.26,35.059998,10.24,NE
1993-01-07 18:00:00,1.23,32.37001,10.19,NE
1993-01-07 21:00:00,1.22,29.87001,11.38,NE
1993-01-08 00:00:00,1.29,29.040009,14.44,NE
1993-01-08 03:00:00,1.35,28.380005,14.53,NE
1993-01-08 06:00:00,1.37,27.330002,14.49,NE
1993-01-08 09:00:00,1.3399999,26.51001,14.299999,NE
1993-01-08 12:00:00,1.3399999,28.050003,14.08,NE
1993-01-08 15:00:00,1.3299999,29.550003,13.5,NE
1993-01-08 18:00:00,1.31,29.26001,13.099999,NE
1993-01-08 21:00:00,1.3199999,28.199997,12.799999,NE
1993-01-09 00:00:00,1.43,27.930008,12.889999,NE
1993-01-09 03:00:00,1.41,26.130005,13.04,NE
1993-01-09 06:00:00,1.38,24.440002,13.25,NE
1993-01-09 09:00:00,1.3299999,22.949997,13.12,NE
1993-01-09 12:00:00,1.28,21.809998,12.86,N
1993-01-09 15:00:00,1.25,21.36,12.65,N
1993-01-09 18:00:00,1.23,20.339996,12.509999,N
1993-01-09 21:00:00,1.24,18.800003,12.37,N
1993-01-10 00:00:00,1.24,17.630005,12.24,N
1993-01-10 03:00:00,1.24,16.520004,12.12,N
1993-01-10 06:00:00,1.22,15.190002,12.03,N
1993-01-10 09:00:00,1.18,13.980011,11.95,N
1993-01-10 12:00:00,1.14,13.270004,11.9,N
1993-01-10 15:00:00,1.0799999,12.839996,11.7,N
1993-01-10 18:00:00,1.12,11.930008,11.889999,N
