Datetime,VHM0,VMDR,VTPK,CardinalDirection
2000-01-01 00:00:00,1.22,70.16,9.65,E
2000-01-01 03:00:00,1.16,68.920006,8.96,E
2000-01-01 06:00:00,1.22,70.270004,8.79,E
2000-01-01 09:00:00,1.28,71.23,8.84,E
2000-01-01 12:00:00,1.3,70.55,9.559999,E
2000-01-01 15:00:00,1.3,70.36,9.61,E
2000-01-01 18:00:00,1.3399999,70.51,9.66,E
2000-01-01 21:00:00,1.39,70.68,9.71,E
2000-01-02 00:00:00,1.39,70.490005,9.7699995,E
2000-01-02 03:00:00,1.39,70.32,9.84,E
2000-01-02 06:00:00,1.38,70.01,9.87,E
2000-01-02 09:00:00,1.39,70.100006,9.87,E
2000-01-02 12:00:00,1.38,69.79,9.83,E
2000-01-02 15:00:00,1.4,69.770004,9.82,E
2000-01-02 18:00:00,1.42,69.670006,9.78,E
2000-01-02 21:00:00,1.4699999,69.670006,9.719999,E
2000-01-03 00:00:00,1.4699999,69.08,9.67,E
2000-01-03 03:00:00,1.4499999,68.37,9.63,E
2000-01-03 06:00:00,1.4399999,67.54,9.61,E
2000-01-03 09:00:00,1.4399999,67.28,9.57,NE
2000-01-03 12:00:00,1.48,66.770004,8.91,NE
2000-01-03 15:00:00,1.54,66.420006,8.07,NE
2000-01-03 18:00:00,1.62,65.770004,8.04,NE
2000-01-03 21:00:00,1.61,64.9,8.15,NE
2000-01-04 00:00:00,1.43,63.64,7.8599997,NE
2000-01-04 03:00:00,1.3199999,63.870003,7.62,NE
2000-01-04 06:00:00,1.41,65.670006,8.0,NE
2000-01-04 09:00:00,1.48,65.14,8.059999,NE
2000-01-04 12:00:00,1.51,63.71,8.13,NE
2000-01-04 15:00:00,1.62,63.990005,8.2699995,NE
2000-01-04 18:00:00,1.67,64.25,8.389999,NE
2000-01-04 21:00:00,1.67,64.55,8.46,NE
2000-01-05 00:00:00,1.66,64.83,8.54,NE
2000-01-05 03:00:00,1.6999999,65.700005,8.62,NE
2000-01-05 06:00:00,1.6999999,66.060005,8.7699995,NE
2000-01-05 09:00:00,1.67,66.270004,8.87,NE
2000-01-05 12:00:00,1.61,66.54,8.849999,NE
2000-01-05 15:00:00,1.5899999,68.61,8.91,E
2000-01-05 18:00:00,1.5999999,69.350006,9.059999,E
2000-01-05 21:00:00,1.5999999,69.520004,9.15,E
2000-01-06 00:00:00,1.5899999,69.600006,9.2,E
2000-01-06 03:00:00,1.55,69.16,9.26,E
2000-01-06 06:00:00,1.53,68.770004,9.32,E
2000-01-06 09:00:00,1.53,68.4,9.349999,E
2000-01-06 12:00:00,1.61,69.12,9.349999,E
2000-01-06 15:00:00,1.68,69.03,9.32,E
2000-01-06 18:00:00,1.75,69.14,9.34,E
2000-01-06 21:00:00,1.78,69.170006,9.41,E
2000-01-07 00:00:00,1.77,68.600006,9.429999,E
2000-01-07 03:00:00,1.66,68.07,8.929999,E
2000-01-07 06:00:00,1.73,68.16,8.98,E
2000-01-07 09:00:00,1.77,67.490005,9.17,NE
2000-01-07 12:00:00,1.77,66.840004,9.5199995,NE
2000-01-07 15:00:00,1.55,66.770004,8.91,NE
2000-01-07 18:00:00,1.5799999,68.310005,9.389999,E
2000-01-07 21:00:00,1.65,68.990005,9.67,E
2000-01-08 00:00:00,1.7099999,68.880005,9.78,E
2000-01-08 03:00:00,1.7099999,69.15,9.84,E
2000-01-08 06:00:00,1.7199999,69.26,9.889999,E
2000-01-08 09:00:00,1.78,70.060005,9.91,E
2000-01-08 12:00:00,1.8199999,69.25,9.94,E
2000-01-08 15:00:00,1.78,68.11,9.929999,E
2000-01-08 18:00:00,1.76,66.840004,9.9,NE
2000-01-08 21:00:00,1.7199999,65.880005,9.84,NE
2000-01-09 00:00:00,1.6999999,65.62,9.86,NE
2000-01-09 03:00:00,1.7099999,66.18,9.889999,NE
2000-01-09 06:00:00,1.74,67.11,9.929999,NE
2000-01-09 09:00:00,1.75,67.82,9.94,E
2000-01-09 12:00:00,1.74,67.670006,9.92,E
2000-01-09 15:00:00,1.75,68.25,9.88,E
2000-01-09 18:00:00,1.75,68.82,9.82,E
2000-01-09 21:00:00,1.74,69.62,9.76,E
2000-01-10 00:00:00,1.7199999,69.380005,9.71,E
2000-01-10 03:00:00,1.6899999,68.990005,9.559999,E
2000-01-10 06:00:00,1.6899999,68.62,9.53,E
2000-01-10 09:00:00,1.6999999,69.12,9.29,E
2000-01-10 12:00:00,1.6999999,68.86,9.09,E
2000-01-10 15:00:00,1.5799999,70.39,8.67,E
2000-01-10 18:00:00,1.64,71.73,8.66,E
