Datetime,VHM0,VMDR,VTPK,CardinalDirection
1998-01-01 00:00:00,1.8299999,26.190002,8.01,NE
1998-01-01 03:00:00,1.74,25.960007,6.68,NE
1998-01-01 06:00:00,1.78,27.130005,6.7,NE
1998-01-01 09:00:00,1.81,26.520004,6.7,NE
1998-01-01 12:00:00,1.8,23.740005,6.74,NE
1998-01-01 15:00:00,1.9,22.089996,6.75,N
1998-01-01 18:00:00,2.07,22.65001,6.7799997,NE
1998-01-01 21:00:00,2.22,23.449997,6.83,NE
1998-01-02 00:00:00,2.27,24.61,8.15,NE
1998-01-02 03:00:00,2.22,26.910004,8.28,NE
1998-01-02 06:00:00,2.28,26.309998,8.49,NE
1998-01-02 09:00:00,2.31,22.630005,8.69,NE
1998-01-02 12:00:00,2.4199998,19.169998,10.29,N
1998-01-02 15:00:00,2.52,18.11,10.7699995,N
1998-01-02 18:00:00,2.69,19.720001,7.45,N
1998-01-02 21:00:00,2.76,21.290009,7.6099997,N
1998-01-03 00:00:00,2.6599998,20.080002,8.84,N
1998-01-03 03:00:00,2.49,17.300003,11.19,N
1998-01-03 06:00:00,2.33,14.830002,11.219999,N
1998-01-03 09:00:00,2.19,13.309998,17.71,N
1998-01-03 12:00:00,2.11,14.059998,17.21,N
1998-01-03 15:00:00,2.04,14.830002,16.64,N
1998-01-03 18:00:00,1.9399999,14.550003,16.05,N
1998-01-03 21:00:00,1.86,15.130005,15.73,N
1998-01-04 00:00:00,1.78,16.080002,15.509999,N
1998-01-04 03:00:00,1.9,17.40001,15.78,N
1998-01-04 06:00:00,1.8,18.270004,15.589999,N
1998-01-04 09:00:00,1.77,18.800003,15.809999,N
1998-01-04 12:00:00,1.77,19.210007,16.14,N
1998-01-04 15:00:00,1.76,17.690002,16.15,N
1998-01-04 18:00:00,1.76,15.350006,16.08,N
1998-01-04 21:00:00,1.76,12.860001,15.96,N
1998-01-05 00:00:00,1.9499999,12.949997,16.15,N
1998-01-05 03:00:00,1.92,12.809998,15.74,N
1998-01-05 06:00:00,1.88,12.160004,15.42,N
1998-01-05 09:00:00,1.86,14.800003,14.98,N
1998-01-05 12:00:00,2.11,18.550003,15.839999,N
1998-01-05 15:00:00,1.86,18.75,14.78,N
1998-01-05 18:00:00,1.74,15.51001,14.5,N
1998-01-05 21:00:00,1.7099999,13.630005,14.36,N
1998-01-06 00:00:00,1.7199999,11.380005,14.2699995,N
1998-01-06 03:00:00,1.78,10.360001,14.28,N
1998-01-06 06:00:00,1.8499999,10.180008,15.45,N
1998-01-06 09:00:00,1.89,7.430008,16.529999,N
1998-01-06 12:00:00,1.9,3.3300018,16.34,N
1998-01-06 15:00:00,1.93,359.81,16.3,N
1998-01-06 18:00:00,1.93,356.47,16.22,N
1998-01-06 21:00:00,1.91,353.68,16.1,N
1998-01-07 00:00:00,1.89,351.03,15.96,N
1998-01-07 03:00:00,1.89,348.95,15.86,N
1998-01-07 06:00:00,1.87,348.34998,15.679999,N
1998-01-07 09:00:00,1.86,348.72,15.48,N
1998-01-07 12:00:00,1.8299999,348.88,15.2699995,N
1998-01-07 15:00:00,1.79,348.13,15.21,N
1998-01-07 18:00:00,1.74,347.14,15.2699995,N
1998-01-07 21:00:00,1.6999999,346.5,15.2,N
1998-01-08 00:00:00,1.89,346.06,15.99,N
1998-01-08 03:00:00,1.7099999,345.78998,14.86,N
1998-01-08 06:00:00,1.68,345.75,15.71,N
1998-01-08 09:00:00,1.73,345.58002,18.859999,N
1998-01-08 12:00:00,1.8299999,344.34998,18.6,N
1998-01-08 15:00:00,2.0,342.94,18.359999,N
1998-01-08 18:00:00,2.12,342.14,17.84,N
1998-01-08 21:00:00,2.1699998,341.91998,17.47,N
1998-01-09 00:00:00,2.1699998,341.59,17.14,N
1998-01-09 03:00:00,2.1399999,340.93,16.64,N
1998-01-09 06:00:00,2.08,340.36,16.279999,N
1998-01-09 09:00:00,2.03,340.34998,16.05,N
1998-01-09 12:00:00,2.21,340.47998,16.65,N
1998-01-09 15:00:00,2.04,340.68,15.88,N
1998-01-09 18:00:00,1.9599999,340.74,15.61,N
1998-01-09 21:00:00,1.9,341.19,15.299999,N
1998-01-10 00:00:00,1.8299999,341.99,14.91,N
1998-01-10 03:00:00,1.76,341.87,14.71,N
1998-01-10 06:00:00,1.7099999,341.68,14.549999,N
1998-01-10 09:00:00,1.6899999,343.09,14.389999,N
1998-01-10 12:00:00,1.6999999,345.22,14.2699995,N
1998-01-10 15:00:00,1.6899999,346.01,14.299999,N
1998-01-10 18:00:00,1.6999999,347.03998,14.839999,N
1998-01-10 21:00:00,1.75,348.38,15.36,N
1998-01-11 00:00:00,1.6899999,347.47,14.4,N
1998-01-11 03:00:00,1.6999999,347.89,13.469999,N
1998-01-11 06:00:00,1.9499999,347.51,13.549999,N
1998-01-11 09:00:00,2.26,344.84998,14.12,N
1998-01-11 12:00:00,2.46,343.44,14.21,N
1998-01-11 15:00:00,2.59,342.09998,14.57,N
1998-01-11 18:00:00,2.72,341.47,15.469999,N
1998-01-11 21:00:00,2.73,341.37,15.2699995,N
1998-01-12 00:00:00,2.62,341.41998,14.79,N
1998-01-12 03:00:00,2.48,341.61,14.48,N
1998-01-12 06:00:00,2.34,342.37,14.2,N
1998-01-12 09:00:00,2.26,345.34,13.86,N
1998-01-12 12:00:00,2.27,349.18,13.73,N
1998-01-12 15:00:00,2.1299999,351.38,13.38,N
