Datetime,VHM0,VMDR,VTPK,CardinalDirection
1997-01-01 00:00:00,1.91,53.4,12.12,NE
1997-01-01 03:00:00,1.9399999,53.870003,12.34,NE
1997-01-01 06:00:00,1.92,53.83,12.4,NE
1997-01-01 09:00:00,1.86,53.700005,12.19,NE
1997-01-01 12:00:00,1.79,53.280006,11.929999,NE
1997-01-01 15:00:00,1.77,51.940002,11.78,NE
1997-01-01 18:00:00,1.75,51.11,11.62,NE
1997-01-01 21:00:00,1.7199999,50.90001,11.44,NE
1997-01-02 00:00:00,1.6999999,49.809998,11.3,NE
1997-01-02 03:00:00,1.7099999,47.809998,11.219999,NE
1997-01-02 06:00:00,1.73,46.339996,11.21,NE
1997-01-02 09:00:00,1.76,45.51001,11.24,NE
1997-01-02 12:00:00,1.78,46.08,11.29,NE
1997-01-02 15:00:00,1.78,47.339996,11.38,NE
1997-01-02 18:00:00,1.78,47.83,11.469999,NE
1997-01-02 21:00:00,1.8,47.86,11.54,NE
1997-01-03 00:00:00,1.8199999,47.97,11.62,NE
1997-01-03 03:00:00,1.8199999,48.53,11.65,NE
1997-01-03 06:00:00,2.12,48.79001,12.36,NE
1997-01-03 09:00:00,1.9399999,48.90001,11.44,NE
1997-01-03 12:00:00,1.88,48.729996,10.79,NE
1997-01-03 15:00:00,1.87,49.04001,10.429999,NE
1997-01-03 18:00:00,1.8499999,49.490005,10.179999,NE
1997-01-03 21:00:00,1.8299999,49.58,10.059999,NE
1997-01-04 00:00:00,1.8199999,49.37001,10.01,NE
1997-01-04 03:00:00,2.03,48.690002,10.559999,NE
1997-01-04 06:00:00,1.9799999,47.050003,10.38,NE
1997-01-04 09:00:00,1.9399999,46.86,10.25,NE
1997-01-04 12:00:00,1.93,47.25,10.219999,NE
1997-01-04 15:00:00,1.92,47.86,10.219999,NE
1997-01-04 18:00:00,1.91,48.67,10.179999,NE
1997-01-04 21:00:00,1.9,49.630005,10.08,NE
1997-01-05 00:00:00,1.91,50.809998,9.969999,NE
1997-01-05 03:00:00,1.92,51.809998,9.849999,NE
1997-01-05 06:00:00,1.93,52.130005,9.179999,NE
1997-01-05 09:00:00,1.91,51.839996,9.07,NE
1997-01-05 12:00:00,1.88,51.89,10.559999,NE
1997-01-05 15:00:00,1.8299999,52.420006,10.599999,NE
1997-01-05 18:00:00,1.76,52.950005,18.71,NE
1997-01-05 21:00:00,1.73,52.310005,18.199999,NE
1997-01-06 00:00:00,1.75,51.020004,17.74,NE
1997-01-06 03:00:00,1.75,52.130005,17.38,NE
1997-01-06 06:00:00,1.7199999,53.760002,17.02,NE
1997-01-06 09:00:00,1.6999999,54.280006,16.58,NE
1997-01-06 12:00:00,1.6999999,54.29,10.54,NE
1997-01-06 15:00:00,1.6899999,54.15,10.5199995,NE
1997-01-06 18:00:00,1.68,53.600006,9.889999,NE
1997-01-06 21:00:00,1.6899999,52.060005,9.75,NE
1997-01-07 00:00:00,1.6999999,50.020004,8.99,NE
1997-01-07 03:00:00,1.7199999,48.0,8.92,NE
1997-01-07 06:00:00,1.6899999,46.350006,8.929999,NE
1997-01-07 09:00:00,1.66,44.339996,9.639999,NE
1997-01-07 12:00:00,1.64,42.339996,10.15,NE
1997-01-07 15:00:00,1.61,40.65001,10.54,NE
1997-01-07 18:00:00,1.5999999,39.15001,10.78,NE
1997-01-07 21:00:00,1.5699999,37.67,10.92,NE
1997-01-08 00:00:00,1.5699999,35.990005,11.07,NE
1997-01-08 03:00:00,1.5899999,34.430008,11.2,NE
1997-01-08 06:00:00,1.5899999,33.72,11.17,NE
1997-01-08 09:00:00,1.5999999,33.53,11.09,NE
1997-01-08 12:00:00,1.5999999,33.930008,11.01,NE
1997-01-08 15:00:00,1.5999999,34.740005,10.929999,NE
1997-01-08 18:00:00,1.61,35.430008,10.849999,NE
1997-01-08 21:00:00,1.61,36.0,10.8,NE
1997-01-09 00:00:00,1.61,36.199997,10.76,NE
1997-01-09 03:00:00,1.62,35.990005,10.71,NE
1997-01-09 06:00:00,1.64,35.25,10.66,NE
1997-01-09 09:00:00,1.68,34.130005,10.61,NE
1997-01-09 12:00:00,1.74,32.910004,10.62,NE
1997-01-09 15:00:00,1.86,31.990005,10.83,NE
1997-01-09 18:00:00,1.9,31.330002,10.9,NE
1997-01-09 21:00:00,1.9499999,31.37001,11.0,NE
1997-01-10 00:00:00,1.9399999,32.11,10.96,NE
1997-01-10 03:00:00,1.9,33.26001,10.84,NE
1997-01-10 06:00:00,1.8499999,34.28,10.65,NE
1997-01-10 09:00:00,1.8,34.990005,10.429999,NE
1997-01-10 12:00:00,1.76,35.39,10.29,NE
1997-01-10 15:00:00,1.73,35.380005,10.19,NE
1997-01-10 18:00:00,1.8,35.22,10.32,NE
1997-01-10 21:00:00,1.6999999,35.440002,10.05,NE
1997-01-11 00:00:00,1.63,36.37001,9.92,NE
1997-01-11 03:00:00,1.5799999,37.710007,9.83,NE
