Datetime,VHM0,VMDR,VTPK,CardinalDirection
2022-01-01 00:00:00,1.02,205.92,16.14,SW
2022-01-01 03:00:00,1.11,204.33,16.869999,SW
2022-01-01 06:00:00,1.17,201.7,17.539999,S
2022-01-01 09:00:00,1.16,200.65,16.89,S
2022-01-01 12:00:00,1.1999999,199.13,17.07,S
2022-01-01 15:00:00,1.26,198.65,16.68,S
2022-01-01 18:00:00,1.1899999,200.42,15.719999,S
2022-01-01 21:00:00,1.16,202.13,15.19,S
2022-01-02 00:00:00,1.11,205.03,14.75,SW
2022-01-02 03:00:00,1.12,204.94,14.86,SW
2022-01-02 06:00:00,1.13,205.09,14.98,SW
2022-01-02 09:00:00,1.16,204.62,14.639999,SW
2022-01-02 12:00:00,1.16,203.23,14.34,SW
2022-01-02 15:00:00,1.0799999,202.11,13.349999,S
2022-01-02 18:00:00,1.06,204.94,13.219999,SW
2022-01-02 21:00:00,1.12,204.23,13.82,SW
2022-01-03 00:00:00,1.15,200.53,13.7699995,S
2022-01-03 03:00:00,1.14,201.61,13.54,S
2022-01-03 06:00:00,1.15,202.18,13.5,S
2022-01-03 09:00:00,1.14,203.98,13.33,SW
2022-01-03 12:00:00,1.11,205.31,13.389999,SW
2022-01-03 15:00:00,1.1,207.04,13.32,SW
2022-01-03 18:00:00,1.12,211.95,13.03,SW
2022-01-03 21:00:00,1.13,213.02,12.83,SW
2022-01-04 00:00:00,1.12,209.70999,13.219999,SW
2022-01-04 03:00:00,1.15,205.95999,14.11,SW
2022-01-04 06:00:00,1.22,199.42,13.58,S
2022-01-04 09:00:00,1.22,194.39,13.299999,S
2022-01-04 12:00:00,1.2099999,198.27,13.059999,S
2022-01-04 15:00:00,1.09,203.22,12.179999,SW
2022-01-04 18:00:00,1.1,212.56,11.78,SW
2022-01-04 21:00:00,1.1,219.48,11.3,SW
2022-01-05 00:00:00,1.0699999,224.97,10.88,SW
2022-01-05 03:00:00,1.0799999,227.02,10.7,SW
2022-01-05 06:00:00,1.12,247.73999,10.599999,W
2022-01-05 09:00:00,1.15,255.6,10.599999,W
2022-01-05 12:00:00,1.1999999,253.45999,11.0,W
2022-01-05 15:00:00,1.1899999,237.62,11.099999,SW
2022-01-05 18:00:00,1.14,236.51,11.0,SW
2022-01-05 21:00:00,1.11,235.04,10.83,SW
2022-01-06 00:00:00,1.09,234.38,10.69,SW
2022-01-06 03:00:00,1.0799999,232.37,10.58,SW
2022-01-06 06:00:00,1.09,230.45999,14.7,SW
2022-01-06 09:00:00,1.09,224.86,14.589999,SW
2022-01-06 12:00:00,1.09,219.17,14.549999,SW
2022-01-06 15:00:00,1.0699999,212.38,14.589999,SW
2022-01-06 18:00:00,1.01,208.84,15.049999,SW
2022-01-06 21:00:00,1.0,204.20999,15.21,SW
2022-01-07 00:00:00,0.98999995,200.51,15.29,S
2022-01-07 03:00:00,1.0,197.78,16.369999,S
2022-01-07 06:00:00,1.04,196.59,16.289999,S
2022-01-07 09:00:00,1.05,195.52,16.01,S
2022-01-07 12:00:00,1.06,193.4,15.36,S
2022-01-07 15:00:00,1.0799999,192.02,14.929999,S
2022-01-07 18:00:00,1.16,193.14,14.889999,S
2022-01-07 21:00:00,1.1899999,193.24,14.7,S
2022-01-08 00:00:00,1.22,192.07,14.589999,S
2022-01-08 03:00:00,1.29,191.44,14.66,S
2022-01-08 06:00:00,1.4,190.21,14.7699995,S
2022-01-08 09:00:00,1.4399999,190.45,14.7,S
2022-01-08 12:00:00,1.48,189.87,14.61,S
2022-01-08 15:00:00,1.29,191.45,13.45,S
2022-01-08 18:00:00,1.3299999,190.61,13.2699995,S
2022-01-08 21:00:00,1.3299999,190.91,13.059999,S
2022-01-09 00:00:00,1.3299999,191.86,13.24,S
2022-01-09 03:00:00,1.24,187.76,15.96,S
2022-01-09 06:00:00,1.27,186.84,15.87,S
2022-01-09 09:00:00,1.25,186.38,15.87,S
2022-01-09 12:00:00,1.27,184.62,15.639999,S
2022-01-09 15:00:00,1.18,188.92,15.13,S
2022-01-09 18:00:00,1.13,192.06,14.509999,S
2022-01-09 21:00:00,1.0699999,194.8,14.19,S
