Datetime,VHM0,VMDR,VTPK,CardinalDirection
2008-01-01 00:00:00,1.15,206.12,12.5,SW
2008-01-01 03:00:00,1.22,205.77,7.3399997,SW
2008-01-01 06:00:00,1.18,205.53,7.14,SW
2008-01-01 09:00:00,1.13,206.32,13.23,SW
2008-01-01 12:00:00,1.1,206.73,15.0,SW
2008-01-01 15:00:00,1.0699999,207.11,14.889999,SW
2008-01-01 18:00:00,1.05,206.92,14.7699995,SW
2008-01-01 21:00:00,1.03,206.95,14.62,SW
2008-01-02 00:00:00,1.02,207.3,14.5199995,SW
2008-01-02 03:00:00,1.01,208.23,14.46,SW
2008-01-02 06:00:00,1.01,208.95999,14.37,SW
2008-01-02 09:00:00,1.0,209.91,14.2,SW
2008-01-02 12:00:00,0.98999995,210.69,13.969999,SW
2008-01-02 15:00:00,0.96999997,211.19,13.63,SW
2008-01-02 18:00:00,0.95,210.77,13.53,SW
2008-01-02 21:00:00,0.94,210.48,13.429999,SW
2008-01-03 00:00:00,0.91999996,210.36,13.33,SW
2008-01-03 03:00:00,0.90999997,210.52,13.19,SW
2008-01-03 06:00:00,0.89,210.75,13.0199995,SW
2008-01-03 09:00:00,0.88,210.89,12.809999,SW
2008-01-03 12:00:00,0.87,210.81,12.5,SW
2008-01-03 15:00:00,0.78,210.58,11.759999,SW
2008-01-03 18:00:00,0.76,208.92,11.29,SW
2008-01-03 21:00:00,0.75,210.44,14.44,SW
2008-01-04 00:00:00,0.78999996,213.83,14.589999,SW
2008-01-04 03:00:00,0.81,217.14,14.34,SW
2008-01-04 06:00:00,0.88,221.67,14.2,SW
2008-01-04 09:00:00,0.98999995,221.98,14.61,SW
2008-01-04 12:00:00,1.11,220.56,14.78,SW
2008-01-04 15:00:00,1.17,219.17,14.54,SW
2008-01-04 18:00:00,1.1999999,217.68,14.33,SW
2008-01-04 21:00:00,1.24,216.6,14.15,SW
2008-01-05 00:00:00,1.26,215.82,13.95,SW
2008-01-05 03:00:00,1.27,214.88,13.719999,SW
2008-01-05 06:00:00,1.26,214.29001,13.44,SW
2008-01-05 09:00:00,1.25,212.73,13.34,SW
2008-01-05 12:00:00,1.24,211.14,13.24,SW
2008-01-05 15:00:00,1.2099999,210.38,13.0199995,SW
2008-01-05 18:00:00,1.1999999,211.25,12.84,SW
2008-01-05 21:00:00,1.1899999,213.06,12.639999,SW
2008-01-06 00:00:00,1.1899999,215.45,12.36,SW
