Datetime,VHM0,VMDR,VTPK,CardinalDirection
2006-01-01 00:00:00,0.24,193.4,5.29,S
2006-01-01 03:00:00,0.22,191.26,5.2999997,S
2006-01-01 06:00:00,0.22,186.69,5.2,S
2006-01-01 09:00:00,0.34,168.56,2.44,S
2006-01-01 12:00:00,0.39,171.97,2.86,S
2006-01-01 15:00:00,0.41,176.53,2.9399998,S
2006-01-01 18:00:00,0.45,178.14,3.0,S
2006-01-01 21:00:00,0.48999998,186.73,3.12,S
2006-01-02 00:00:00,0.53999996,187.9,3.28,S
2006-01-02 03:00:00,0.53999996,189.52,3.21,S
2006-01-02 06:00:00,0.75,194.46,3.9599998,S
2006-01-02 09:00:00,0.82,197.9,4.91,S
2006-01-02 12:00:00,0.82,210.15,4.8599997,SW
2006-01-02 15:00:00,0.84,219.65,4.8399997,SW
2006-01-02 18:00:00,0.79999995,230.32,5.1,SW
2006-01-02 21:00:00,0.72999996,237.14,3.54,SW
2006-01-03 00:00:00,0.61,230.36,6.47,SW
2006-01-03 03:00:00,0.53999996,229.04,6.72,SW
2006-01-03 06:00:00,0.48,227.59,6.91,SW
2006-01-03 09:00:00,0.41,216.45,6.92,SW
2006-01-03 12:00:00,0.35,203.35,6.81,SW
2006-01-03 15:00:00,0.28,194.62,6.29,S
2006-01-03 18:00:00,0.22999999,182.81,6.14,S
2006-01-03 21:00:00,0.19999999,178.53,6.0,S
2006-01-04 00:00:00,0.17999999,176.5,5.83,S
2006-01-04 03:00:00,0.16,175.31,5.66,S
2006-01-04 06:00:00,0.14999999,174.84,5.5299997,S
2006-01-04 09:00:00,0.14,174.66,5.41,S
2006-01-04 12:00:00,0.14,174.39,5.2799997,S
2006-01-04 15:00:00,0.13,174.16,5.21,S
2006-01-04 18:00:00,0.13,173.98,5.16,S
2006-01-04 21:00:00,0.13,177.16,5.12,S
2006-01-05 00:00:00,0.28,221.5,2.03,SW
2006-01-05 03:00:00,0.28,239.42,2.3999999,SW
2006-01-05 06:00:00,0.32999998,249.54001,2.62,W
2006-01-05 09:00:00,0.34,254.08,2.8,W
2006-01-05 12:00:00,0.34,267.51,2.7,W
2006-01-05 15:00:00,0.42,316.47998,2.69,NW
2006-01-05 18:00:00,0.48,331.65,3.09,NW
2006-01-05 21:00:00,0.56,328.95,3.32,NW
2006-01-06 00:00:00,0.58,324.44,3.3999999,NW
2006-01-06 03:00:00,0.51,318.56,3.32,NW
2006-01-06 06:00:00,0.57,317.08002,3.3899999,NW
2006-01-06 09:00:00,0.58,318.51,3.4199998,NW
2006-01-06 12:00:00,0.53,320.12,3.11,NW
2006-01-06 15:00:00,0.59999996,325.45,3.3999999,NW
2006-01-06 18:00:00,0.58,324.96,3.4199998,NW
2006-01-06 21:00:00,0.58,331.51,3.3999999,NW
2006-01-07 00:00:00,0.48,344.5,3.1699998,N
2006-01-07 03:00:00,0.38,353.32,2.95,N
2006-01-07 06:00:00,0.28,359.28,2.74,N
2006-01-07 09:00:00,0.17,1.8300018,2.54,N
2006-01-07 12:00:00,0.089999996,356.52,2.45,N
2006-01-07 15:00:00,0.06,323.28998,2.4099998,NW
2006-01-07 18:00:00,0.049999997,246.37,2.3999999,SW
2006-01-07 21:00:00,0.14,229.57,1.8,SW
2006-01-08 00:00:00,0.29,231.51,2.55,SW
2006-01-08 03:00:00,0.35999998,222.51,2.83,SW
2006-01-08 06:00:00,0.52,213.51,3.21,SW
2006-01-08 09:00:00,0.58,211.55,3.6799998,SW
2006-01-08 12:00:00,0.57,211.11,4.04,SW
2006-01-08 15:00:00,0.59999996,206.84,4.0899997,SW
2006-01-08 18:00:00,0.65,202.19,4.11,S
2006-01-08 21:00:00,0.66999996,200.55,4.45,S
2006-01-09 00:00:00,0.61,200.68,5.27,S
2006-01-09 03:00:00,0.59999996,199.76,5.52,S
2006-01-09 06:00:00,0.58,199.04,5.68,S
2006-01-09 09:00:00,0.59999996,198.2,5.8599997,S
2006-01-09 12:00:00,0.52,197.24,5.67,S
2006-01-09 15:00:00,0.48,196.97,5.8799996,S
2006-01-09 18:00:00,0.42999998,196.0,6.0299997,S
2006-01-09 21:00:00,0.41,194.47,6.1299996,S
2006-01-10 00:00:00,0.42999998,190.53,6.3399997,S
2006-01-10 03:00:00,0.47,176.11,6.2799997,S
2006-01-10 06:00:00,0.55,160.44,6.15,S
2006-01-10 09:00:00,0.51,162.01,5.8399997,S
2006-01-10 12:00:00,0.47,163.46,5.98,S
2006-01-10 15:00:00,0.48999998,155.52,6.18,SE
2006-01-10 18:00:00,0.48999998,153.71,6.31,SE
2006-01-10 21:00:00,0.48,154.01,6.35,SE
2006-01-11 00:00:00,0.48,152.57,6.49,SE
2006-01-11 03:00:00,0.44,156.02,6.8199997,SE
2006-01-11 06:00:00,0.39,158.17,7.0,S
2006-01-11 09:00:00,0.42999998,162.37,7.17,S
2006-01-11 12:00:00,0.37,153.5,7.24,SE
2006-01-11 15:00:00,0.31,151.16,7.25,SE
2006-01-11 18:00:00,0.28,151.97,7.5699997,SE
2006-01-11 21:00:00,0.26,152.49,7.72,SE
2006-01-12 00:00:00,0.22999999,152.95,7.47,SE
2006-01-12 03:00:00,0.21,152.96,7.29,SE
2006-01-12 06:00:00,0.19999999,152.78,7.12,SE
2006-01-12 09:00:00,0.19,152.6,6.8999996,SE
2006-01-12 12:00:00,0.17999999,152.23,6.79,SE
