Datetime,VHM0,VMDR,VTPK,CardinalDirection
2014-01-01 00:00:00,1.0,190.76,17.119999,S
2014-01-01 03:00:00,0.96,196.49,16.82,S
2014-01-01 06:00:00,0.95,205.76,16.52,SW
2014-01-01 09:00:00,0.95,215.01,16.31,SW
2014-01-01 12:00:00,0.96999997,218.91,16.25,SW
2014-01-01 15:00:00,1.0,216.47,16.14,SW
2014-01-01 18:00:00,1.02,211.11,16.07,SW
2014-01-01 21:00:00,1.04,206.54,15.969999,SW
2014-01-02 00:00:00,1.05,206.55,15.83,SW
2014-01-02 03:00:00,1.03,212.73,15.57,SW
2014-01-02 06:00:00,1.0,219.29001,15.17,SW
2014-01-02 09:00:00,0.96999997,219.57,14.74,SW
2014-01-02 12:00:00,1.01,206.94,14.44,SW
2014-01-02 15:00:00,1.3399999,184.31,12.03,S
2014-01-02 18:00:00,1.3199999,173.24,6.75,S
2014-01-02 21:00:00,1.24,171.18,6.56,S
2014-01-03 00:00:00,1.13,175.52,6.39,S
2014-01-03 03:00:00,1.02,184.53,13.849999,S
2014-01-03 06:00:00,0.95,199.83,13.719999,S
2014-01-03 09:00:00,0.9,206.88,13.719999,SW
2014-01-03 12:00:00,0.90999997,205.62,14.049999,SW
2014-01-03 15:00:00,0.94,201.97,15.0199995,S
2014-01-03 18:00:00,0.91999996,208.49,15.94,SW
2014-01-03 21:00:00,0.91999996,216.64,16.029999,SW
2014-01-04 00:00:00,1.0,229.29,15.91,SW
2014-01-04 03:00:00,1.1,241.02,12.82,SW
2014-01-04 06:00:00,1.2099999,257.37,10.559999,W
2014-01-04 09:00:00,1.3,269.45,10.51,W
2014-01-04 12:00:00,1.31,271.58,10.42,W
2014-01-04 15:00:00,1.38,269.27,10.7699995,W
2014-01-04 18:00:00,1.31,258.33002,10.55,W
2014-01-04 21:00:00,1.22,250.53,10.54,W
2014-01-05 00:00:00,1.15,245.75,10.5,SW
2014-01-05 03:00:00,1.09,244.06,10.45,SW
2014-01-05 06:00:00,1.03,242.9,10.46,SW
2014-01-05 09:00:00,1.02,243.23,12.44,SW
2014-01-05 12:00:00,1.0,241.29,13.12,SW
2014-01-05 15:00:00,0.97999996,233.56,13.46,SW
2014-01-05 18:00:00,0.96999997,222.4,13.509999,SW
2014-01-05 21:00:00,0.96,212.7,13.179999,SW
2014-01-06 00:00:00,0.93,206.85,12.74,SW
2014-01-06 03:00:00,0.9,205.62,12.48,SW
2014-01-06 06:00:00,0.88,209.42,12.889999,SW
2014-01-06 09:00:00,0.88,217.35,13.79,SW
2014-01-06 12:00:00,0.84,219.69,13.849999,SW
2014-01-06 15:00:00,0.75,218.13,12.969999,SW
2014-01-06 18:00:00,0.7,210.0,11.759999,SW
2014-01-06 21:00:00,0.7,205.56,11.259999,SW
2014-01-07 00:00:00,0.76,203.43,12.73,SW
2014-01-07 03:00:00,0.79999995,202.15,13.309999,S
2014-01-07 06:00:00,0.79999995,202.63,13.53,SW
2014-01-07 09:00:00,0.79999995,206.66,14.07,SW
2014-01-07 12:00:00,0.85999995,221.55,12.809999,SW
2014-01-07 15:00:00,0.98999995,250.09,11.12,W
2014-01-07 18:00:00,1.15,264.27,10.98,W
2014-01-07 21:00:00,1.24,267.81,10.91,W
2014-01-08 00:00:00,1.38,284.47998,10.88,W
2014-01-08 03:00:00,1.53,313.21,10.78,NW
2014-01-08 06:00:00,1.5899999,330.76,10.69,NW
2014-01-08 09:00:00,1.54,331.5,10.57,NW
2014-01-08 12:00:00,1.54,326.46,10.679999,NW
2014-01-08 15:00:00,1.53,310.91998,11.16,NW
2014-01-08 18:00:00,1.42,291.37,11.42,W
2014-01-08 21:00:00,1.3199999,278.28,11.45,W
2014-01-09 00:00:00,1.1999999,268.34,11.25,W
2014-01-09 03:00:00,1.15,266.72998,10.92,W
2014-01-09 06:00:00,1.17,280.44,10.61,W
2014-01-09 09:00:00,1.15,282.79,10.37,W
2014-01-09 12:00:00,1.09,257.59,10.12,W
2014-01-09 15:00:00,1.05,216.62,10.05,SW
2014-01-09 18:00:00,1.01,196.24,10.12,S
2014-01-09 21:00:00,0.98999995,186.8,11.33,S
2014-01-10 00:00:00,1.0,182.51,11.5199995,S
2014-01-10 03:00:00,1.02,184.08,10.99,S
2014-01-10 06:00:00,1.02,184.84,10.7,S
2014-01-10 09:00:00,1.04,180.51,10.719999,S
2014-01-10 12:00:00,1.13,163.95,11.17,S
2014-01-10 15:00:00,1.22,152.9,11.62,SE
2014-01-10 18:00:00,1.26,151.89,11.78,SE
2014-01-10 21:00:00,1.24,153.61,11.7699995,SE
2014-01-11 00:00:00,1.17,156.56,11.57,SE
2014-01-11 03:00:00,1.12,160.45,11.32,S
2014-01-11 06:00:00,1.0799999,164.15,11.16,S
2014-01-11 09:00:00,1.05,166.58,11.05,S
2014-01-11 12:00:00,1.13,167.65,11.36,S
2014-01-11 15:00:00,1.12,162.69,11.0199995,S
2014-01-11 18:00:00,1.14,157.47,8.24,SE
2014-01-11 21:00:00,1.13,156.4,6.3199997,SE
2014-01-12 00:00:00,1.0699999,158.91,8.0,S
2014-01-12 03:00:00,1.01,163.94,10.7,S
2014-01-12 06:00:00,0.95,169.29,11.01,S
2014-01-12 09:00:00,0.9,174.08,11.38,S
2014-01-12 12:00:00,0.89,176.98,11.719999,S
