Datetime,VHM0,VMDR,VTPK,CardinalDirection
2000-01-01 00:00:00,1.81,144.2,10.98,SE
2000-01-01 03:00:00,1.67,140.8,11.0,SE
2000-01-01 06:00:00,1.6999999,141.48,11.16,SE
2000-01-01 09:00:00,1.76,141.95999,11.48,SE
2000-01-01 12:00:00,1.65,141.24,11.08,SE
2000-01-01 15:00:00,1.54,140.66,10.74,SE
2000-01-01 18:00:00,1.5,142.86,10.4,SE
2000-01-01 21:00:00,1.49,144.88,10.09,SE
2000-01-02 00:00:00,1.41,144.47,9.929999,SE
2000-01-02 03:00:00,1.3299999,143.27,9.82,SE
2000-01-02 06:00:00,1.3,141.95999,9.71,SE
2000-01-02 09:00:00,1.25,139.99,9.59,SE
2000-01-02 12:00:00,1.2099999,137.67,9.32,SE
2000-01-02 15:00:00,1.14,135.47,9.05,SE
2000-01-02 18:00:00,1.06,134.26001,8.87,SE
2000-01-02 21:00:00,1.03,133.38,8.71,SE
2000-01-03 00:00:00,1.01,132.56,8.57,SE
2000-01-03 03:00:00,0.98999995,131.84,8.47,SE
2000-01-03 06:00:00,0.96,131.43,8.389999,SE
2000-01-03 09:00:00,0.93,131.08,8.34,SE
2000-01-03 12:00:00,0.9,130.84,8.29,SE
2000-01-03 15:00:00,0.88,130.41,8.26,SE
2000-01-03 18:00:00,0.84999996,129.77,8.25,SE
2000-01-03 21:00:00,0.89,129.17,8.49,SE
2000-01-04 00:00:00,0.88,126.990005,8.54,SE
2000-01-04 03:00:00,0.87,122.490005,8.51,SE
2000-01-04 06:00:00,0.91999996,104.32,8.45,E
2000-01-04 09:00:00,0.94,91.61,8.48,E
2000-01-04 12:00:00,0.91999996,86.950005,8.47,E
2000-01-04 15:00:00,0.93,75.130005,8.49,E
2000-01-04 18:00:00,0.95,57.310005,8.76,NE
2000-01-04 21:00:00,0.93,51.92,4.56,NE
2000-01-05 00:00:00,0.90999997,60.020004,10.04,NE
2000-01-05 03:00:00,0.95,51.699997,10.48,NE
2000-01-05 06:00:00,0.96999997,50.76001,10.67,NE
2000-01-05 09:00:00,0.96999997,51.820007,6.98,NE
2000-01-05 12:00:00,1.03,71.26,7.0499997,E
2000-01-05 15:00:00,1.36,139.32,5.04,SE
2000-01-05 18:00:00,1.41,143.45999,5.65,SE
2000-01-05 21:00:00,1.38,142.4,5.8799996,SE
2000-01-06 00:00:00,1.31,139.15,5.93,SE
2000-01-06 03:00:00,1.24,136.68,5.95,SE
2000-01-06 06:00:00,1.23,138.06,8.11,SE
2000-01-06 09:00:00,1.27,140.91,8.099999,SE
2000-01-06 12:00:00,1.3199999,143.85,11.34,SE
2000-01-06 15:00:00,1.37,146.64,11.69,SE
2000-01-06 18:00:00,1.38,148.81,12.0199995,SE
2000-01-06 21:00:00,1.42,150.16,12.25,SE
2000-01-07 00:00:00,1.37,150.43,12.13,SE
2000-01-07 03:00:00,1.3199999,150.09,11.91,SE
2000-01-07 06:00:00,1.27,149.7,11.639999,SE
2000-01-07 09:00:00,1.24,149.66,11.219999,SE
2000-01-07 12:00:00,1.28,150.88,10.929999,SE
2000-01-07 15:00:00,1.37,153.87,10.69,SE
2000-01-07 18:00:00,1.5799999,157.69,10.74,S
2000-01-07 21:00:00,1.5999999,160.28,10.5199995,S
2000-01-08 00:00:00,1.54,159.91,10.48,S
2000-01-08 03:00:00,1.51,158.12,10.54,S
2000-01-08 06:00:00,1.56,156.57,7.75,SE
2000-01-08 09:00:00,1.55,156.27,7.5299997,SE
2000-01-08 12:00:00,1.49,155.78,7.47,SE
2000-01-08 15:00:00,1.38,154.85,7.33,SE
2000-01-08 18:00:00,1.3199999,155.06,7.22,SE
2000-01-08 21:00:00,1.29,156.86,7.17,SE
2000-01-09 00:00:00,1.26,155.86,7.1,SE
2000-01-09 03:00:00,1.25,152.72,8.55,SE
2000-01-09 06:00:00,1.3,149.48,6.7,SE
2000-01-09 09:00:00,1.41,146.98,6.8799996,SE
2000-01-09 12:00:00,1.4,144.05,7.0499997,SE
2000-01-09 15:00:00,1.41,142.92,7.04,SE
2000-01-09 18:00:00,1.42,143.53,8.309999,SE
2000-01-09 21:00:00,1.42,145.53,8.24,SE
2000-01-10 00:00:00,1.4,146.6,8.2,SE
2000-01-10 03:00:00,1.49,148.34,6.93,SE
2000-01-10 06:00:00,1.64,147.43,5.8199997,SE
2000-01-10 09:00:00,1.7199999,145.11,6.16,SE
2000-01-10 12:00:00,1.74,142.03,6.5099998,SE
2000-01-10 15:00:00,1.78,141.59,6.7,SE
2000-01-10 18:00:00,1.8199999,142.28,6.7799997,SE
2000-01-10 21:00:00,1.8299999,141.76001,7.3799996,SE
2000-01-11 00:00:00,1.77,140.33,7.47,SE
2000-01-11 03:00:00,1.75,139.15,7.45,SE
2000-01-11 06:00:00,1.9,139.7,6.79,SE
2000-01-11 09:00:00,1.88,140.51001,6.7599998,SE
2000-01-11 12:00:00,1.74,140.01001,7.3199997,SE
2000-01-11 15:00:00,1.64,139.19,7.27,SE
2000-01-11 18:00:00,1.6999999,137.63,7.2799997,SE
2000-01-11 21:00:00,1.8499999,137.41,7.43,SE
2000-01-12 00:00:00,1.91,137.42,7.75,SE
2000-01-12 03:00:00,2.06,139.66,8.01,SE
2000-01-12 06:00:00,2.22,140.41,8.25,SE
2000-01-12 09:00:00,2.49,138.28,8.74,SE
2000-01-12 12:00:00,2.69,133.87,9.29,SE
2000-01-12 15:00:00,2.87,131.87,9.7699995,SE
2000-01-12 18:00:00,2.9399998,131.23,9.99,SE
2000-01-12 21:00:00,3.03,130.8,10.12,SE
2000-01-13 00:00:00,2.98,129.85,10.3,SE
2000-01-13 03:00:00,2.86,130.44,10.38,SE
2000-01-13 06:00:00,2.75,133.01001,10.349999,SE
2000-01-13 09:00:00,2.6499999,135.8,10.2699995,SE
2000-01-13 12:00:00,2.46,133.72,10.2,SE
2000-01-13 15:00:00,2.3899999,133.21,10.17,SE
2000-01-13 18:00:00,2.34,132.74,10.16,SE
2000-01-13 21:00:00,2.19,131.36,10.07,SE
2000-01-14 00:00:00,2.05,129.65,10.0199995,SE
2000-01-14 03:00:00,1.93,127.15,9.98,SE
2000-01-14 06:00:00,1.9,125.65,10.12,SE
2000-01-14 09:00:00,1.92,124.55,10.559999,SE
2000-01-14 12:00:00,1.75,122.83,10.15,SE
2000-01-14 15:00:00,1.76,121.36,10.21,SE
