Datetime,VHM0,VMDR,VTPK,CardinalDirection
2022-01-01 00:00:00,0.71,66.0,3.84,NE
2022-01-01 03:00:00,0.69,58.520004,3.79,NE
2022-01-01 06:00:00,0.69,47.199997,3.78,NE
2022-01-01 09:00:00,0.62,41.520004,3.78,NE
2022-01-01 12:00:00,0.53999996,40.90001,3.6799998,NE
2022-01-01 15:00:00,0.48999998,44.62001,3.4299998,NE
2022-01-01 18:00:00,0.53,48.04001,3.3799999,NE
2022-01-01 21:00:00,0.58,51.87001,3.51,NE
2022-01-02 00:00:00,0.89,51.28,4.22,NE
2022-01-02 03:00:00,0.96,46.600006,4.62,NE
2022-01-02 06:00:00,0.84999996,44.410004,4.38,NE
2022-01-02 09:00:00,0.71,44.75,4.13,NE
2022-01-02 12:00:00,0.56,50.130005,3.82,NE
2022-01-02 15:00:00,0.45999998,55.050003,3.49,NE
2022-01-02 18:00:00,0.41,57.240005,6.41,NE
2022-01-02 21:00:00,0.42999998,47.559998,3.61,NE
2022-01-03 00:00:00,0.48999998,38.440002,3.26,NE
2022-01-03 03:00:00,0.53999996,38.690002,3.51,NE
2022-01-03 06:00:00,0.55,37.199997,3.55,NE
2022-01-03 09:00:00,0.47,40.930008,3.53,NE
2022-01-03 12:00:00,0.35999998,51.47,3.3999999,NE
2022-01-03 15:00:00,0.29,59.770004,3.21,NE
2022-01-03 18:00:00,0.32999998,34.29001,3.1499999,NE
2022-01-03 21:00:00,0.37,37.53,3.23,NE
2022-01-04 00:00:00,0.35999998,42.37001,3.28,NE
2022-01-04 03:00:00,0.35999998,37.490005,3.08,NE
2022-01-04 06:00:00,0.39999998,31.290009,2.9099998,NE
2022-01-04 09:00:00,0.37,41.690002,3.08,NE
2022-01-04 12:00:00,0.29999998,71.96,5.97,E
2022-01-04 15:00:00,0.32999998,105.26,7.0499997,E
2022-01-04 18:00:00,0.29,114.590004,6.6499996,SE
2022-01-04 21:00:00,0.29,94.82,6.33,E
2022-01-05 00:00:00,0.31,76.19,6.19,E
2022-01-05 03:00:00,0.32,62.160004,6.16,NE
2022-01-05 06:00:00,0.35,62.520004,3.24,NE
2022-01-05 09:00:00,0.32,85.26,6.3599997,E
2022-01-05 12:00:00,0.26,118.94,6.3199997,SE
2022-01-05 15:00:00,0.22,132.59,6.1099997,SE
2022-01-05 18:00:00,0.19,138.02,5.87,SE
2022-01-05 21:00:00,0.17,140.37,5.67,SE
2022-01-06 00:00:00,0.14999999,141.35,5.54,SE
2022-01-06 03:00:00,0.14,141.56,5.43,SE
2022-01-06 06:00:00,0.16,136.74,5.2599998,SE
2022-01-06 09:00:00,0.21,61.810005,2.73,NE
2022-01-06 12:00:00,0.16,98.380005,5.0899997,E
2022-01-06 15:00:00,0.13,130.5,5.08,SE
2022-01-06 18:00:00,0.11,139.68,5.04,SE
2022-01-06 21:00:00,0.11,141.44,5.0,SE
2022-01-07 00:00:00,0.11,141.24,5.0099998,SE
2022-01-07 03:00:00,0.12,140.85,5.2599998,SE
2022-01-07 06:00:00,0.11,139.98,5.22,SE
2022-01-07 09:00:00,0.12,137.12,5.04,SE
2022-01-07 12:00:00,0.11,138.62,4.9,SE
2022-01-07 15:00:00,0.099999994,140.01001,4.7999997,SE
2022-01-07 18:00:00,0.099999994,140.64,5.24,SE
2022-01-07 21:00:00,0.11,141.79001,5.81,SE
2022-01-08 00:00:00,0.17,141.99,5.97,SE
2022-01-08 03:00:00,0.28,82.270004,5.87,E
2022-01-08 06:00:00,0.29999998,109.090004,5.69,E
2022-01-08 09:00:00,0.29,127.18,5.5699997,SE
2022-01-08 12:00:00,0.28,137.12,5.47,SE
2022-01-08 15:00:00,0.26999998,140.39,5.42,SE
2022-01-08 18:00:00,0.26999998,141.39,5.5099998,SE
2022-01-08 21:00:00,0.29,141.8,6.0299997,SE
2022-01-09 00:00:00,0.32999998,141.6,6.5699997,SE
2022-01-09 03:00:00,0.32999998,141.43,6.5699997,SE
2022-01-09 06:00:00,0.32,141.05,6.3599997,SE
2022-01-09 09:00:00,0.32999998,128.06,6.1299996,SE
2022-01-09 12:00:00,0.26999998,136.75,5.87,SE
