Datetime,VHM0,VMDR,VTPK,CardinalDirection
2009-01-01 00:00:00,1.61,160.83,9.8,S
2009-01-01 03:00:00,1.52,158.58,9.78,S
2009-01-01 06:00:00,1.5,154.38,9.78,SE
2009-01-01 09:00:00,1.5799999,146.63,9.73,SE
2009-01-01 12:00:00,1.66,141.92,7.08,SE
2009-01-01 15:00:00,1.66,139.06,7.3199997,SE
2009-01-01 18:00:00,1.55,142.33,7.54,SE
2009-01-01 21:00:00,1.42,146.2,7.5699997,SE
2009-01-02 00:00:00,1.3399999,148.79001,7.54,SE
2009-01-02 03:00:00,1.35,146.87,7.5,SE
2009-01-02 06:00:00,1.31,147.35,7.5099998,SE
2009-01-02 09:00:00,1.26,148.84,7.56,SE
2009-01-02 12:00:00,1.27,148.13,7.6699996,SE
2009-01-02 15:00:00,1.4,141.86,7.8199997,SE
2009-01-02 18:00:00,1.4599999,138.43,7.6,SE
2009-01-02 21:00:00,1.42,140.59,7.83,SE
2009-01-03 00:00:00,1.29,145.84,8.0,SE
2009-01-03 03:00:00,1.18,150.58,8.11,SE
2009-01-03 06:00:00,1.17,162.74,8.28,S
2009-01-03 09:00:00,1.28,191.34,8.599999,S
2009-01-03 12:00:00,1.36,200.43,8.69,S
2009-01-03 15:00:00,1.35,195.18,8.42,S
2009-01-03 18:00:00,2.04,185.56,10.32,S
2009-01-03 21:00:00,1.92,171.18,10.05,S
2009-01-04 00:00:00,1.87,166.37,9.62,S
2009-01-04 03:00:00,1.87,164.2,9.33,S
2009-01-04 06:00:00,1.87,161.95,9.2699995,S
2009-01-04 09:00:00,1.73,159.69,8.99,S
2009-01-04 12:00:00,1.7099999,159.01,9.03,S
2009-01-04 15:00:00,1.65,158.72,8.849999,S
2009-01-04 18:00:00,1.64,156.52,8.7,SE
2009-01-04 21:00:00,1.66,153.5,8.67,SE
2009-01-05 00:00:00,1.66,150.9,8.69,SE
2009-01-05 03:00:00,1.63,149.65,8.65,SE
2009-01-05 06:00:00,1.63,146.29001,8.66,SE
2009-01-05 09:00:00,1.67,142.94,8.63,SE
2009-01-05 12:00:00,1.68,141.54001,8.65,SE
2009-01-05 15:00:00,1.74,139.02,8.62,SE
