Datetime,VHM0,VMDR,VTPK,CardinalDirection
2008-01-01 00:00:00,1.02,52.89,4.5099998,NE
2008-01-01 03:00:00,0.96999997,47.15001,4.7999997,NE
2008-01-01 06:00:00,0.91999996,43.770004,5.54,NE
2008-01-01 09:00:00,0.84,39.740005,5.66,NE
2008-01-01 12:00:00,0.75,37.47,5.6,NE
2008-01-01 15:00:00,0.75,38.40001,5.66,NE
2008-01-01 18:00:00,0.81,41.949997,5.79,NE
2008-01-01 21:00:00,0.79999995,41.89,8.26,NE
2008-01-02 00:00:00,0.74,38.75,8.21,NE
2008-01-02 03:00:00,0.71,34.839996,8.65,NE
2008-01-02 06:00:00,0.72999996,33.630005,8.53,NE
2008-01-02 09:00:00,0.72999996,33.229996,8.389999,NE
2008-01-02 12:00:00,0.66999996,31.630005,8.04,NE
2008-01-02 15:00:00,0.71999997,32.960007,8.08,NE
2008-01-02 18:00:00,0.72999996,32.490005,7.77,NE
2008-01-02 21:00:00,0.78999996,33.180008,8.21,NE
2008-01-03 00:00:00,0.83,35.050003,4.58,NE
2008-01-03 03:00:00,0.87,33.320007,10.95,NE
2008-01-03 06:00:00,0.84,29.770004,12.41,NE
2008-01-03 09:00:00,0.81,26.949997,12.44,NE
2008-01-03 12:00:00,0.81,27.449997,12.429999,NE
2008-01-03 15:00:00,0.9,35.660004,12.08,NE
2008-01-03 18:00:00,0.96999997,40.53,12.03,NE
2008-01-03 21:00:00,1.02,44.300003,11.96,NE
2008-01-04 00:00:00,1.02,40.940002,11.889999,NE
2008-01-04 03:00:00,1.0,36.01001,11.809999,NE
2008-01-04 06:00:00,0.96,31.580002,11.74,NE
2008-01-04 09:00:00,0.95,30.62001,11.679999,NE
2008-01-04 12:00:00,0.94,30.910004,11.65,NE
2008-01-04 15:00:00,1.0,32.589996,11.679999,NE
2008-01-04 18:00:00,1.1,37.51001,11.639999,NE
2008-01-04 21:00:00,1.11,38.90001,11.5,NE
2008-01-05 00:00:00,1.04,36.5,10.73,NE
2008-01-05 03:00:00,0.98999995,33.430008,10.38,NE
2008-01-05 06:00:00,0.98999995,36.5,10.16,NE
2008-01-05 09:00:00,1.01,41.37001,9.99,NE
2008-01-05 12:00:00,1.03,48.53,9.82,NE
2008-01-05 15:00:00,1.05,50.26001,9.73,NE
2008-01-05 18:00:00,1.13,50.86,9.63,NE
2008-01-05 21:00:00,1.18,54.68,9.54,NE
2008-01-06 00:00:00,1.05,55.520004,8.98,NE
2008-01-06 03:00:00,1.0799999,48.08,9.719999,NE
2008-01-06 06:00:00,1.0699999,43.990005,9.98,NE
2008-01-06 09:00:00,1.05,43.75,9.94,NE
2008-01-06 12:00:00,1.03,43.910004,9.809999,NE
2008-01-06 15:00:00,0.97999996,39.690002,9.7,NE
2008-01-06 18:00:00,1.02,37.72,9.66,NE
2008-01-06 21:00:00,1.03,36.930008,9.67,NE
2008-01-07 00:00:00,1.02,35.47,9.679999,NE
2008-01-07 03:00:00,1.01,32.83,9.639999,NE
2008-01-07 06:00:00,0.96,29.600006,9.57,NE
2008-01-07 09:00:00,0.93,28.480011,9.469999,NE
2008-01-07 12:00:00,1.01,30.01001,9.78,NE
2008-01-07 15:00:00,0.97999996,30.62001,9.54,NE
2008-01-07 18:00:00,0.98999995,31.720001,9.429999,NE
2008-01-07 21:00:00,1.0,31.830002,9.4,NE
2008-01-08 00:00:00,0.98999995,30.830002,9.4,NE
2008-01-08 03:00:00,0.95,27.740005,9.38,NE
2008-01-08 06:00:00,0.90999997,25.100006,9.38,NE
2008-01-08 09:00:00,0.9,25.309998,9.36,NE
2008-01-08 12:00:00,0.89,25.240005,9.32,NE
2008-01-08 15:00:00,0.88,24.949997,9.26,NE
2008-01-08 18:00:00,0.91999996,26.630005,9.19,NE
2008-01-08 21:00:00,0.93,27.100006,9.11,NE
2008-01-09 00:00:00,1.04,28.350006,9.65,NE
2008-01-09 03:00:00,0.98999995,30.720001,9.5,NE
2008-01-09 06:00:00,0.97999996,31.690002,11.03,NE
2008-01-09 09:00:00,0.98999995,37.79001,11.07,NE
2008-01-09 12:00:00,1.1,42.050003,11.2699995,NE
2008-01-09 15:00:00,1.06,44.47,11.74,NE
2008-01-09 18:00:00,1.15,50.42,11.759999,NE
2008-01-09 21:00:00,1.22,54.590004,11.74,NE
2008-01-10 00:00:00,1.15,52.170006,11.7,NE
2008-01-10 03:00:00,1.06,48.770004,11.639999,NE
2008-01-10 06:00:00,1.05,49.86,11.559999,NE
2008-01-10 09:00:00,1.04,50.070007,10.179999,NE
2008-01-10 12:00:00,1.02,50.070007,9.98,NE
2008-01-10 15:00:00,0.96999997,46.960007,9.8,NE
2008-01-10 18:00:00,0.93,42.710007,9.66,NE
2008-01-10 21:00:00,0.94,41.490005,10.09,NE
2008-01-11 00:00:00,0.93,39.850006,9.78,NE
2008-01-11 03:00:00,0.90999997,38.47,9.63,NE
2008-01-11 06:00:00,0.89,36.589996,9.54,NE
2008-01-11 09:00:00,0.85999995,33.490005,9.469999,NE
2008-01-11 12:00:00,0.83,32.5,9.37,NE
2008-01-11 15:00:00,0.83,33.36,9.22,NE
2008-01-11 18:00:00,0.87,36.979996,9.07,NE
2008-01-11 21:00:00,0.9,41.160004,8.97,NE
2008-01-12 00:00:00,0.95,45.430008,8.97,NE
2008-01-12 03:00:00,0.95,45.03,8.91,NE
2008-01-12 06:00:00,0.9,40.740005,8.849999,NE
2008-01-12 09:00:00,0.84999996,37.160004,8.78,NE
2008-01-12 12:00:00,0.9,39.589996,8.929999,NE
2008-01-12 15:00:00,0.90999997,41.660004,8.86,NE
2008-01-12 18:00:00,0.96999997,43.11,8.76,NE
2008-01-12 21:00:00,1.04,44.960007,8.62,NE
2008-01-13 00:00:00,1.05,45.430008,8.559999,NE
2008-01-13 03:00:00,1.06,44.430008,8.599999,NE
2008-01-13 06:00:00,1.03,42.229996,8.62,NE
2008-01-13 09:00:00,0.97999996,40.160004,8.66,NE
2008-01-13 12:00:00,0.97999996,43.270004,8.73,NE
2008-01-13 15:00:00,1.0,46.72,8.75,NE
2008-01-13 18:00:00,1.05,49.229996,8.7699995,NE
2008-01-13 21:00:00,1.06,51.559998,8.809999,NE
2008-01-14 00:00:00,1.04,51.020004,8.849999,NE
2008-01-14 03:00:00,1.0,48.92,8.88,NE
2008-01-14 06:00:00,0.96,46.29001,8.929999,NE
2008-01-14 09:00:00,0.94,44.960007,8.97,NE
2008-01-14 12:00:00,0.91999996,44.47,9.0,NE
2008-01-14 15:00:00,0.96999997,46.979996,8.99,NE
2008-01-14 18:00:00,1.06,53.79,8.95,NE
2008-01-14 21:00:00,1.11,57.030006,8.889999,NE
2008-01-15 00:00:00,1.0799999,55.120003,8.809999,NE
2008-01-15 03:00:00,1.0699999,53.86,8.74,NE
2008-01-15 06:00:00,1.01,52.18,8.59,NE
2008-01-15 09:00:00,0.96999997,50.320007,7.94,NE
2008-01-15 12:00:00,1.01,56.79,7.87,NE
2008-01-15 15:00:00,1.02,56.590004,6.16,NE
2008-01-15 18:00:00,1.11,57.420006,4.58,NE
2008-01-15 21:00:00,1.04,54.590004,5.73,NE
2008-01-16 00:00:00,0.96,51.800003,6.0,NE
2008-01-16 03:00:00,0.85999995,48.059998,6.0099998,NE
2008-01-16 06:00:00,0.84999996,47.36,5.94,NE
2008-01-16 09:00:00,0.84999996,46.710007,5.8199997,NE
2008-01-16 12:00:00,0.76,53.800003,5.45,NE
2008-01-16 15:00:00,0.9,59.300003,4.14,NE
2008-01-16 18:00:00,1.03,60.93,4.46,NE
