Datetime,VHM0,VMDR,VTPK,CardinalDirection
2018-01-01 00:00:00,1.5699999,77.16,6.48,E
2018-01-01 03:00:00,1.64,76.66,6.1099997,E
2018-01-01 06:00:00,1.62,76.08,6.19,E
2018-01-01 09:00:00,1.6999999,77.560005,6.1299996,E
2018-01-01 12:00:00,1.68,77.43,6.2599998,E
2018-01-01 15:00:00,1.67,77.98,6.27,E
2018-01-01 18:00:00,1.67,78.8,6.2999997,E
2018-01-01 21:00:00,1.67,78.57,6.3799996,E
2018-01-02 00:00:00,1.73,77.97,6.3799996,E
2018-01-02 03:00:00,1.76,76.73,6.29,E
2018-01-02 06:00:00,1.8199999,75.69,6.3999996,E
2018-01-02 09:00:00,1.89,77.170006,6.41,E
2018-01-02 12:00:00,1.76,78.76,6.5299997,E
2018-01-02 15:00:00,1.65,79.560005,6.5099998,E
2018-01-02 18:00:00,1.54,79.14,6.49,E
2018-01-02 21:00:00,1.4499999,77.100006,6.56,E
2018-01-03 00:00:00,1.4,74.75,6.52,E
2018-01-03 03:00:00,1.36,72.71,6.39,E
2018-01-03 06:00:00,1.36,72.26,6.23,E
2018-01-03 09:00:00,1.3,73.19,5.97,E
2018-01-03 12:00:00,1.31,75.32,5.81,E
2018-01-03 15:00:00,1.3,78.020004,5.7,E
2018-01-03 18:00:00,1.3,81.090004,5.68,E
2018-01-03 21:00:00,1.28,81.61,5.6299996,E
2018-01-04 00:00:00,1.3,80.020004,5.49,E
2018-01-04 03:00:00,1.3299999,78.840004,5.3399997,E
2018-01-04 06:00:00,1.48,81.28,5.5,E
2018-01-04 09:00:00,1.56,85.630005,5.79,E
2018-01-04 12:00:00,1.54,89.89,6.02,E
2018-01-04 15:00:00,1.4699999,91.55,6.08,E
2018-01-04 18:00:00,1.43,90.57,6.08,E
2018-01-04 21:00:00,1.4,88.57,5.99,E
2018-01-05 00:00:00,1.36,85.05,5.94,E
2018-01-05 03:00:00,1.39,81.990005,5.91,E
2018-01-05 06:00:00,1.5,81.98,5.7599998,E
2018-01-05 09:00:00,1.55,84.12,6.0099998,E
2018-01-05 12:00:00,1.55,85.990005,6.0899997,E
2018-01-05 15:00:00,1.5,85.990005,6.1,E
2018-01-05 18:00:00,1.42,84.75,6.08,E
2018-01-05 21:00:00,1.36,82.03,6.02,E
2018-01-06 00:00:00,1.36,79.08,5.9,E
2018-01-06 03:00:00,1.43,78.16,5.69,E
2018-01-06 06:00:00,1.4699999,78.020004,5.91,E
2018-01-06 09:00:00,1.4499999,78.05,5.96,E
2018-01-06 12:00:00,1.48,79.22,6.1,E
2018-01-06 15:00:00,1.4399999,78.16,6.23,E
2018-01-06 18:00:00,1.35,74.78,6.33,E
2018-01-06 21:00:00,1.3,69.990005,6.54,E
2018-01-07 00:00:00,1.28,66.450005,8.04,NE
2018-01-07 03:00:00,1.26,65.51,8.07,NE
2018-01-07 06:00:00,1.39,66.66,12.73,NE
2018-01-07 09:00:00,1.52,69.68,5.8599997,E
2018-01-07 12:00:00,1.5999999,72.68,6.0099998,E
2018-01-07 15:00:00,1.68,75.57,6.06,E
2018-01-07 18:00:00,1.7199999,76.53,6.23,E
2018-01-07 21:00:00,1.6899999,75.26,6.3399997,E
2018-01-08 00:00:00,1.8299999,73.22,6.8399997,E
2018-01-08 03:00:00,1.8299999,72.66,7.3799996,E
2018-01-08 06:00:00,1.89,75.91,7.2999997,E
2018-01-08 09:00:00,1.92,78.740005,7.25,E
2018-01-08 12:00:00,1.87,78.9,7.39,E
2018-01-08 15:00:00,1.8299999,78.1,7.49,E
2018-01-08 18:00:00,1.86,77.05,7.6,E
2018-01-08 21:00:00,1.8499999,76.020004,7.87,E
2018-01-09 00:00:00,1.89,74.770004,7.89,E
2018-01-09 03:00:00,2.06,73.450005,7.91,E
2018-01-09 06:00:00,1.9699999,73.61,7.79,E
2018-01-09 09:00:00,1.88,73.340004,7.66,E
2018-01-09 12:00:00,1.78,72.73,7.54,E
2018-01-09 15:00:00,1.7099999,71.37,7.5099998,E
2018-01-09 18:00:00,1.65,69.54,7.5099998,E
2018-01-09 21:00:00,1.5999999,68.57,7.62,E
2018-01-10 00:00:00,1.5799999,67.04,7.5299997,NE
2018-01-10 03:00:00,1.5999999,66.310005,6.99,NE
2018-01-10 06:00:00,1.63,66.62,6.5,NE
2018-01-10 09:00:00,1.63,67.810005,6.41,E
2018-01-10 12:00:00,1.62,70.200005,6.3799996,E
2018-01-10 15:00:00,1.61,71.340004,6.44,E
2018-01-10 18:00:00,1.63,74.54,6.3399997,E
2018-01-10 21:00:00,1.56,76.380005,6.24,E
2018-01-11 00:00:00,1.5999999,75.32,6.1099997,E
2018-01-11 03:00:00,1.64,76.3,6.0699997,E
2018-01-11 06:00:00,1.76,80.670006,6.3599997,E
2018-01-11 09:00:00,1.8199999,84.39,6.71,E
2018-01-11 12:00:00,1.8299999,87.770004,7.02,E
2018-01-11 15:00:00,1.81,89.380005,7.2599998,E
2018-01-11 18:00:00,1.77,88.64,7.31,E
2018-01-11 21:00:00,1.8199999,85.78,7.2,E
2018-01-12 00:00:00,1.8499999,82.46,6.66,E
2018-01-12 03:00:00,1.93,81.54,6.64,E
2018-01-12 06:00:00,1.91,81.8,6.79,E
2018-01-12 09:00:00,1.8399999,81.41,6.81,E
2018-01-12 12:00:00,1.8299999,80.950005,6.81,E
2018-01-12 15:00:00,1.93,80.64,7.1299996,E
2018-01-12 18:00:00,1.88,80.020004,7.37,E
2018-01-12 21:00:00,1.86,77.68,7.54,E
2018-01-13 00:00:00,1.89,75.73,7.6,E
2018-01-13 03:00:00,2.0,73.93,7.7799997,E
2018-01-13 06:00:00,1.87,71.9,7.75,E
2018-01-13 09:00:00,1.77,69.78,7.6699996,E
2018-01-13 12:00:00,1.6899999,68.060005,7.6299996,E
2018-01-13 15:00:00,1.62,66.97,7.56,NE
2018-01-13 18:00:00,1.55,66.39,7.47,NE
2018-01-13 21:00:00,1.5,65.55,7.29,NE
2018-01-14 00:00:00,1.41,64.450005,6.96,NE
2018-01-14 03:00:00,1.4,63.380005,6.8399997,NE
2018-01-14 06:00:00,1.39,63.43,6.66,NE
2018-01-14 09:00:00,1.37,63.200005,6.5699997,NE
2018-01-14 12:00:00,1.3399999,62.57,6.8599997,NE
2018-01-14 15:00:00,1.4699999,63.230003,7.19,NE
2018-01-14 18:00:00,1.51,61.980003,7.31,NE
2018-01-14 21:00:00,1.49,59.810005,7.6699996,NE
2018-01-15 00:00:00,1.4599999,57.440002,7.8999996,NE
2018-01-15 03:00:00,1.31,57.010002,7.3999996,NE
2018-01-15 06:00:00,1.35,59.65,7.6499996,NE
2018-01-15 09:00:00,1.39,62.700005,7.17,NE
2018-01-15 12:00:00,1.48,65.19,6.2,NE
2018-01-15 15:00:00,1.54,67.4,6.27,NE
2018-01-15 18:00:00,1.52,68.18,6.2599998,E
2018-01-15 21:00:00,1.49,66.200005,6.2799997,NE
2018-01-16 00:00:00,1.51,64.53,6.19,NE
2018-01-16 03:00:00,1.5699999,64.62,6.0,NE
2018-01-16 06:00:00,1.62,66.73,5.96,NE
2018-01-16 09:00:00,1.5899999,68.98,6.04,E
2018-01-16 12:00:00,1.56,69.990005,6.1299996,E
2018-01-16 15:00:00,1.6899999,71.270004,6.3199997,E
2018-01-16 18:00:00,1.65,71.37,6.3199997,E
2018-01-16 21:00:00,1.62,70.23,6.37,E
2018-01-17 00:00:00,1.5699999,67.86,6.33,E
2018-01-17 03:00:00,1.5799999,66.350006,6.25,NE
2018-01-17 06:00:00,1.61,67.340004,6.14,NE
2018-01-17 09:00:00,1.5999999,68.380005,6.21,E
2018-01-17 12:00:00,1.56,69.560005,6.23,E
2018-01-17 15:00:00,1.53,71.770004,6.2,E
2018-01-17 18:00:00,1.4699999,71.71,6.15,E
2018-01-17 21:00:00,1.41,69.21,6.3199997,E
2018-01-18 00:00:00,1.39,67.69,6.35,E
2018-01-18 03:00:00,1.39,66.97,6.2799997,NE
2018-01-18 06:00:00,1.39,66.57,6.23,NE
2018-01-18 09:00:00,1.42,67.090004,6.2,NE
2018-01-18 12:00:00,1.5899999,66.73,6.75,NE
2018-01-18 15:00:00,1.4399999,66.76,6.7,NE
2018-01-18 18:00:00,1.3399999,65.920006,6.64,NE
2018-01-18 21:00:00,1.29,64.950005,6.5699997,NE
2018-01-19 00:00:00,1.25,64.420006,6.45,NE
2018-01-19 03:00:00,1.17,65.82,6.0299997,NE
2018-01-19 06:00:00,1.1999999,67.23,5.41,NE
2018-01-19 09:00:00,1.3199999,68.33,5.6299996,E
2018-01-19 12:00:00,1.31,70.810005,5.71,E
2018-01-19 15:00:00,1.3199999,73.53,5.67,E
2018-01-19 18:00:00,1.3399999,74.58,5.79,E
2018-01-19 21:00:00,1.36,74.19,5.97,E
2018-01-20 00:00:00,1.4,72.880005,6.0,E
2018-01-20 03:00:00,1.49,72.65,5.96,E
2018-01-20 06:00:00,1.56,72.93,6.02,E
2018-01-20 09:00:00,1.67,74.79,6.1,E
2018-01-20 12:00:00,1.74,75.740005,6.41,E
2018-01-20 15:00:00,1.65,76.82,6.39,E
2018-01-20 18:00:00,1.63,76.3,6.35,E
2018-01-20 21:00:00,1.6899999,73.490005,6.3799996,E
2018-01-21 00:00:00,1.77,71.240005,6.48,E
2018-01-21 03:00:00,1.8299999,69.9,6.6099997,E
2018-01-21 06:00:00,1.88,69.0,6.7,E
2018-01-21 09:00:00,1.9,68.71,6.75,E
2018-01-21 12:00:00,1.92,67.83,6.77,E
2018-01-21 15:00:00,1.91,66.69,6.8599997,NE
2018-01-21 18:00:00,1.86,64.62,7.0,NE
2018-01-21 21:00:00,1.8499999,64.73,7.12,NE
2018-01-22 00:00:00,1.91,67.01,7.1,NE
2018-01-22 03:00:00,1.9599999,67.53,7.0299997,E
2018-01-22 06:00:00,2.03,67.48,7.22,NE
2018-01-22 09:00:00,2.06,69.12,7.33,E
2018-01-22 12:00:00,2.25,70.66,7.75,E
2018-01-22 15:00:00,2.11,70.57,7.74,E
2018-01-22 18:00:00,2.02,71.18,7.71,E
2018-01-22 21:00:00,1.99,71.62,7.69,E
2018-01-23 00:00:00,1.9,70.43,7.62,E
2018-01-23 03:00:00,1.8299999,69.270004,7.5099998,E
2018-01-23 06:00:00,1.79,69.05,7.3399997,E
2018-01-23 09:00:00,1.74,69.89,7.1,E
2018-01-23 12:00:00,1.68,71.170006,6.8799996,E
2018-01-23 15:00:00,1.56,73.0,6.58,E
2018-01-23 18:00:00,1.53,76.060005,6.45,E
2018-01-23 21:00:00,1.4699999,77.670006,6.3799996,E
2018-01-24 00:00:00,1.4399999,75.57,6.35,E
2018-01-24 03:00:00,1.48,71.93,6.3399997,E
2018-01-24 06:00:00,1.54,70.560005,6.19,E
2018-01-24 09:00:00,1.42,70.9,6.04,E
2018-01-24 12:00:00,1.4599999,71.700005,6.17,E
2018-01-24 15:00:00,1.5699999,72.0,6.16,E
2018-01-24 18:00:00,1.62,72.39,6.2999997,E
2018-01-24 21:00:00,1.5699999,72.600006,6.3999996,E
2018-01-25 00:00:00,1.54,71.670006,6.48,E
2018-01-25 03:00:00,1.5699999,69.310005,6.52,E
2018-01-25 06:00:00,1.68,67.69,6.43,E
2018-01-25 09:00:00,1.76,69.03,6.49,E
2018-01-25 12:00:00,1.79,71.66,6.67,E
2018-01-25 15:00:00,1.78,73.05,6.71,E
2018-01-25 18:00:00,1.76,73.41,6.71,E
2018-01-25 21:00:00,1.6899999,73.450005,6.71,E
2018-01-26 00:00:00,1.61,72.08,6.7799997,E
2018-01-26 03:00:00,1.51,68.86,6.7599998,E
2018-01-26 06:00:00,1.5799999,66.01,6.71,NE
2018-01-26 09:00:00,1.61,64.420006,6.66,NE
2018-01-26 12:00:00,1.66,62.590004,6.83,NE
2018-01-26 15:00:00,1.62,61.22,6.8599997,NE
2018-01-26 18:00:00,1.55,60.68,6.83,NE
2018-01-26 21:00:00,1.5,60.440002,6.8199997,NE
2018-01-27 00:00:00,1.4399999,59.86,6.74,NE
2018-01-27 03:00:00,1.39,58.83,6.56,NE
2018-01-27 06:00:00,1.42,58.46,6.2599998,NE
2018-01-27 09:00:00,1.4599999,58.530006,6.1099997,NE
2018-01-27 12:00:00,1.54,58.590004,6.21,NE
2018-01-27 15:00:00,1.4699999,58.9,6.22,NE
2018-01-27 18:00:00,1.5699999,56.740005,6.68,NE
2018-01-27 21:00:00,1.68,57.870003,6.91,NE
2018-01-28 00:00:00,1.8199999,59.630005,6.97,NE
2018-01-28 03:00:00,1.9699999,60.97,6.96,NE
2018-01-28 06:00:00,2.08,61.550003,7.04,NE
2018-01-28 09:00:00,2.09,61.940002,7.19,NE
2018-01-28 12:00:00,2.12,62.14,7.33,NE
2018-01-28 15:00:00,2.1599998,61.350006,7.46,NE
2018-01-28 18:00:00,2.1599998,58.870003,7.66,NE
2018-01-28 21:00:00,2.22,56.97,7.95,NE
2018-01-29 00:00:00,2.28,54.620003,8.099999,NE
2018-01-29 03:00:00,2.3799999,53.9,8.21,NE
2018-01-29 06:00:00,2.47,54.68,8.2699995,NE
2018-01-29 09:00:00,2.49,54.870003,8.36,NE
2018-01-29 12:00:00,2.44,54.68,8.44,NE
2018-01-29 15:00:00,2.4199998,54.630005,8.5,NE
2018-01-29 18:00:00,2.4099998,54.54,8.53,NE
2018-01-29 21:00:00,2.4199998,53.940002,8.61,NE
2018-01-30 00:00:00,2.5,55.450005,8.65,NE
2018-01-30 03:00:00,2.58,60.660004,8.429999,NE
2018-01-30 06:00:00,2.54,62.440002,8.23,NE
2018-01-30 09:00:00,2.45,62.920006,8.3,NE
2018-01-30 12:00:00,2.3799999,62.58,8.33,NE
2018-01-30 15:00:00,2.32,61.71,8.36,NE
2018-01-30 18:00:00,2.24,61.990005,8.38,NE
2018-01-30 21:00:00,2.12,60.72,8.41,NE
2018-01-31 00:00:00,2.02,58.560005,8.429999,NE
2018-01-31 03:00:00,2.02,57.670006,8.41,NE
2018-01-31 06:00:00,2.02,57.920006,8.32,NE
2018-01-31 09:00:00,2.03,59.590004,8.21,NE
2018-01-31 12:00:00,2.03,60.270004,8.04,NE
2018-01-31 15:00:00,1.9499999,60.410004,7.6699996,NE
2018-01-31 18:00:00,1.9599999,60.660004,7.6499996,NE
2018-01-31 21:00:00,2.0,60.89,7.6299996,NE
2018-02-01 00:00:00,2.05,62.240005,7.5699997,NE
2018-02-01 03:00:00,2.1,62.36,7.3399997,NE
2018-02-01 06:00:00,2.11,60.18,7.22,NE
2018-02-01 09:00:00,2.1,58.32,7.0899997,NE
2018-02-01 12:00:00,2.1,57.72,6.99,NE
2018-02-01 15:00:00,2.1,58.850006,6.92,NE
2018-02-01 18:00:00,2.06,60.670006,6.92,NE
2018-02-01 21:00:00,1.9799999,62.240005,6.92,NE
2018-02-02 00:00:00,1.81,62.590004,6.74,NE
2018-02-02 03:00:00,1.81,62.050003,6.67,NE
2018-02-02 06:00:00,1.86,62.160004,6.5299997,NE
2018-02-02 09:00:00,1.86,62.240005,6.6,NE
2018-02-02 12:00:00,1.77,61.350006,6.71,NE
2018-02-02 15:00:00,1.66,59.920006,6.7799997,NE
2018-02-02 18:00:00,1.5699999,58.68,6.8199997,NE
2018-02-02 21:00:00,1.5,57.97,6.83,NE
2018-02-03 00:00:00,1.4599999,57.36,6.8399997,NE
2018-02-03 03:00:00,1.28,56.11,6.5099998,NE
2018-02-03 06:00:00,1.39,56.410004,6.75,NE
2018-02-03 09:00:00,1.43,55.520004,7.17,NE
2018-02-03 12:00:00,1.48,54.300003,7.43,NE
2018-02-03 15:00:00,1.4599999,53.350006,7.43,NE
2018-02-03 18:00:00,1.43,53.440002,7.35,NE
2018-02-03 21:00:00,1.36,53.97,7.16,NE
2018-02-04 00:00:00,1.3399999,54.170006,6.8799996,NE
2018-02-04 03:00:00,1.38,53.89,6.2799997,NE
2018-02-04 06:00:00,1.41,53.480003,5.97,NE
2018-02-04 09:00:00,1.3299999,53.310005,5.73,NE
2018-02-04 12:00:00,1.41,51.630005,6.0,NE
2018-02-04 15:00:00,1.4,50.960007,6.2,NE
