Datetime,VHM0,VMDR,VTPK,CardinalDirection
1994-01-01 00:00:00,2.81,315.33002,15.509999,NW
1994-01-01 03:00:00,2.71,315.31,15.139999,NW
1994-01-01 06:00:00,2.6499999,315.74,14.889999,NW
1994-01-01 09:00:00,2.62,316.53,14.7699995,NW
1994-01-01 12:00:00,2.6299999,317.32,14.74,NW
1994-01-01 15:00:00,2.6699998,318.21,14.719999,NW
1994-01-01 18:00:00,2.74,319.22998,14.82,NW
1994-01-01 21:00:00,2.8799999,320.39,15.37,NW
1994-01-02 00:00:00,2.87,321.41998,15.32,NW
1994-01-02 03:00:00,2.8899999,322.06,15.2699995,NW
1994-01-02 06:00:00,2.9199998,322.53998,15.29,NW
1994-01-02 09:00:00,2.9099998,323.19,15.37,NW
1994-01-02 12:00:00,2.82,323.81,15.29,NW
1994-01-02 15:00:00,2.6799998,324.3,15.07,NW
1994-01-02 18:00:00,2.53,324.72998,14.92,NW
1994-01-02 21:00:00,2.3799999,324.82,15.0199995,NW
1994-01-03 00:00:00,2.27,324.71,15.42,NW
1994-01-03 03:00:00,2.25,324.05,15.469999,NW
1994-01-03 06:00:00,2.3899999,322.41998,20.96,NW
1994-01-03 09:00:00,2.7,320.53,20.58,NW
1994-01-03 12:00:00,3.06,319.08002,19.65,NW
1994-01-03 15:00:00,3.34,318.12,19.08,NW
1994-01-03 18:00:00,3.48,317.55,18.42,NW
1994-01-03 21:00:00,3.47,317.22,17.75,NW
1994-01-04 00:00:00,3.57,316.7,17.66,NW
1994-01-04 03:00:00,3.54,316.13,17.49,NW
1994-01-04 06:00:00,3.24,316.24,16.52,NW
1994-01-04 09:00:00,3.09,316.51,16.0,NW
1994-01-04 12:00:00,3.04,317.09998,15.71,NW
1994-01-04 15:00:00,3.01,318.53,15.4,NW
1994-01-04 18:00:00,3.07,321.31,15.139999,NW
1994-01-04 21:00:00,3.23,324.45,15.099999,NW
1994-01-05 00:00:00,3.31,326.69,14.96,NW
1994-01-05 03:00:00,3.47,328.81,14.99,NW
1994-01-05 06:00:00,3.5,330.16998,14.92,NW
1994-01-05 09:00:00,3.61,331.2,15.04,NW
1994-01-05 12:00:00,3.6499999,331.59,15.12,NW
1994-01-05 15:00:00,3.59,331.09,14.99,NW
1994-01-05 18:00:00,3.48,330.47998,14.74,NW
1994-01-05 21:00:00,3.32,329.84998,14.49,NW
1994-01-06 00:00:00,3.09,328.3,14.23,NW
1994-01-06 03:00:00,2.83,326.39,13.849999,NW
1994-01-06 06:00:00,2.61,325.08002,13.469999,NW
1994-01-06 09:00:00,2.44,323.97998,13.25,NW
1994-01-06 12:00:00,2.4299998,319.64,13.11,NW
1994-01-06 15:00:00,2.6399999,312.71,13.04,NW
1994-01-06 18:00:00,2.99,313.33002,13.03,NW
1994-01-06 21:00:00,3.9199998,322.78998,13.33,NW
1994-01-07 00:00:00,4.5899997,329.34,14.179999,NW
1994-01-07 03:00:00,4.99,331.56,15.04,NW
1994-01-07 06:00:00,5.13,331.41,15.53,NW
1994-01-07 09:00:00,5.24,331.39,15.7699995,NW
1994-01-07 12:00:00,5.3399997,331.63,15.88,NW
1994-01-07 15:00:00,5.27,332.28,15.73,NW
1994-01-07 18:00:00,5.12,333.11,15.45,NW
1994-01-07 21:00:00,4.9,333.51,15.089999,NW
1994-01-08 00:00:00,4.62,333.16998,14.849999,NW
1994-01-08 03:00:00,4.2999997,332.76,14.63,NW
1994-01-08 06:00:00,4.0,332.44,14.45,NW
1994-01-08 09:00:00,3.77,332.84,14.299999,NW
1994-01-08 12:00:00,3.59,333.91998,14.15,NW
1994-01-08 15:00:00,3.4299998,335.43,13.92,NW
1994-01-08 18:00:00,3.25,336.74,13.639999,NW
1994-01-08 21:00:00,3.03,337.46,13.44,NW
1994-01-09 00:00:00,2.78,337.43,13.28,NW
1994-01-09 03:00:00,2.52,336.65,13.13,NW
1994-01-09 06:00:00,2.28,335.37,12.95,NW
1994-01-09 09:00:00,2.07,334.13,12.74,NW
1994-01-09 12:00:00,1.9,332.87,12.42,NW
1994-01-09 15:00:00,1.78,331.34,12.2,NW
1994-01-09 18:00:00,1.6899999,329.12,12.04,NW
1994-01-09 21:00:00,1.66,326.06,11.94,NW
1994-01-10 00:00:00,1.6899999,322.53,13.67,NW
1994-01-10 03:00:00,1.79,319.47998,16.609999,NW
1994-01-10 06:00:00,2.0,317.3,16.56,NW
1994-01-10 09:00:00,2.4099998,316.33002,17.23,NW
1994-01-10 12:00:00,2.96,316.51,17.49,NW
1994-01-10 15:00:00,3.77,317.24,17.66,NW
1994-01-10 18:00:00,4.63,317.88,17.89,NW
1994-01-10 21:00:00,5.21,317.83002,17.81,NW
1994-01-11 00:00:00,5.3199997,317.75,17.539999,NW
1994-01-11 03:00:00,5.23,317.77002,17.279999,NW
1994-01-11 06:00:00,5.06,317.84998,17.08,NW
1994-01-11 09:00:00,4.74,318.94,16.57,NW
1994-01-11 12:00:00,4.39,320.57,15.99,NW
1994-01-11 15:00:00,4.1,321.45,15.62,NW
1994-01-11 18:00:00,3.9299998,323.27002,15.19,NW
1994-01-11 21:00:00,3.72,324.93,14.78,NW
1994-01-12 00:00:00,3.4399998,324.62,14.49,NW
1994-01-12 03:00:00,3.1899998,324.53998,14.25,NW
1994-01-12 06:00:00,2.96,324.5,14.03,NW
1994-01-12 09:00:00,2.76,324.28998,13.75,NW
1994-01-12 12:00:00,2.6,324.63,13.509999,NW
1994-01-12 15:00:00,2.47,325.38,13.299999,NW
1994-01-12 18:00:00,2.35,326.16998,13.13,NW
1994-01-12 21:00:00,2.25,326.84998,12.95,NW
1994-01-13 00:00:00,2.1499999,327.33002,12.7699995,NW
1994-01-13 03:00:00,2.08,327.28998,12.62,NW
1994-01-13 06:00:00,2.03,326.84998,12.62,NW
1994-01-13 09:00:00,2.01,326.12,12.83,NW
1994-01-13 12:00:00,2.04,325.05,13.24,NW
1994-01-13 15:00:00,2.12,324.06,13.92,NW
1994-01-13 18:00:00,2.28,322.62,14.41,NW
1994-01-13 21:00:00,2.5,321.49,14.929999,NW
1994-01-14 00:00:00,2.52,320.51,14.929999,NW
1994-01-14 03:00:00,2.4199998,319.94,14.71,NW
1994-01-14 06:00:00,2.49,319.01,15.139999,NW
1994-01-14 09:00:00,2.6299999,318.56,15.41,NW
1994-01-14 12:00:00,2.6699998,318.14,15.179999,NW
1994-01-14 15:00:00,2.6599998,318.09,14.88,NW
1994-01-14 18:00:00,2.6299999,318.38,14.69,NW
1994-01-14 21:00:00,2.6299999,319.34998,14.679999,NW
1994-01-15 00:00:00,2.6399999,320.83002,14.88,NW
1994-01-15 03:00:00,2.6299999,322.14,15.03,NW
1994-01-15 06:00:00,2.6,323.97,14.91,NW
1994-01-15 09:00:00,2.57,325.45,14.69,NW
1994-01-15 12:00:00,2.56,328.34,14.469999,NW
1994-01-15 15:00:00,2.58,331.59998,14.28,NW
1994-01-15 18:00:00,2.59,334.44,14.04,NW
1994-01-15 21:00:00,2.56,337.03998,13.74,NW
1994-01-16 00:00:00,2.5,338.72,13.559999,N
1994-01-16 03:00:00,2.47,338.74,13.59,N
1994-01-16 06:00:00,2.51,337.81,13.929999,N
1994-01-16 09:00:00,2.57,335.58002,14.23,NW
1994-01-16 12:00:00,2.6599998,334.02,14.17,NW
1994-01-16 15:00:00,2.82,333.93,13.98,NW
1994-01-16 18:00:00,2.82,332.78998,13.599999,NW
1994-01-16 21:00:00,2.74,331.09,13.37,NW
1994-01-17 00:00:00,2.73,329.66998,13.28,NW
1994-01-17 03:00:00,2.59,327.8,13.03,NW
1994-01-17 06:00:00,2.73,324.8,12.65,NW
1994-01-17 09:00:00,3.53,323.59,12.599999,NW
1994-01-17 12:00:00,4.13,329.11,12.7699995,NW
1994-01-17 15:00:00,4.27,336.59,12.509999,NW
1994-01-17 18:00:00,4.33,342.66998,12.16,N
1994-01-17 21:00:00,4.36,347.91998,11.889999,N
1994-01-18 00:00:00,4.3399997,350.66,11.759999,N
1994-01-18 03:00:00,4.24,352.53,11.69,N
1994-01-18 06:00:00,4.0899997,353.88,11.66,N
1994-01-18 09:00:00,4.04,354.4,11.65,N
1994-01-18 12:00:00,4.11,355.09998,11.65,N
1994-01-18 15:00:00,4.27,355.34,11.61,N
1994-01-18 18:00:00,4.36,355.99,11.46,N
1994-01-18 21:00:00,4.15,355.68,11.41,N
1994-01-19 00:00:00,3.79,354.53998,11.37,N
1994-01-19 03:00:00,3.52,354.39,11.29,N
1994-01-19 06:00:00,3.37,354.75,11.2,N
1994-01-19 09:00:00,3.26,355.55,11.08,N
1994-01-19 12:00:00,3.1999998,357.03,10.99,N
1994-01-19 15:00:00,3.08,356.21,10.679999,N
1994-01-19 18:00:00,3.01,355.13,10.19,N
1994-01-19 21:00:00,2.8899999,353.76,9.83,N
1994-01-20 00:00:00,2.58,351.25,9.37,N
1994-01-20 03:00:00,2.46,349.22998,9.36,N
1994-01-20 06:00:00,2.26,347.66,9.13,N
1994-01-20 09:00:00,2.33,347.27,9.22,N
1994-01-20 12:00:00,2.54,343.55,10.099999,N
1994-01-20 15:00:00,2.97,340.01,11.86,N
1994-01-20 18:00:00,3.34,338.59,12.49,N
1994-01-20 21:00:00,3.6599998,338.38,13.0,N
1994-01-21 00:00:00,3.76,337.21,13.219999,NW
1994-01-21 03:00:00,3.86,336.45,20.33,NW
1994-01-21 06:00:00,3.9199998,336.24,19.439999,NW
1994-01-21 09:00:00,3.9199998,335.52,18.939999,NW
1994-01-21 12:00:00,3.87,334.83002,18.21,NW
1994-01-21 15:00:00,3.79,334.71,17.539999,NW
1994-01-21 18:00:00,3.6899998,335.33002,17.15,NW
1994-01-21 21:00:00,3.52,336.03,16.609999,NW
1994-01-22 00:00:00,3.35,336.44,16.109999,NW
1994-01-22 03:00:00,3.1599998,336.33002,15.799999,NW
1994-01-22 06:00:00,2.99,336.5,15.469999,NW
1994-01-22 09:00:00,2.82,336.07,14.9,NW
1994-01-22 12:00:00,2.83,335.78,14.78,NW
