Datetime,VHM0,VMDR,VTPK,CardinalDirection
2005-01-01 00:00:00,1.9,339.03,15.17,N
2005-01-01 03:00:00,1.8,338.47998,15.2,N
2005-01-01 06:00:00,1.6899999,336.91998,15.259999,NW
2005-01-01 09:00:00,1.53,335.2,14.91,NW
2005-01-01 12:00:00,1.48,334.39,14.839999,NW
2005-01-01 15:00:00,1.43,333.15,14.7,NW
2005-01-01 18:00:00,1.4,332.25,14.549999,NW
2005-01-01 21:00:00,1.3299999,330.72998,14.29,NW
2005-01-02 00:00:00,1.29,329.41998,14.099999,NW
2005-01-02 03:00:00,1.23,328.41,13.71,NW
2005-01-02 06:00:00,1.1899999,328.05,13.36,NW
2005-01-02 09:00:00,1.16,327.8,13.17,NW
2005-01-02 12:00:00,1.14,327.24,13.0199995,NW
2005-01-02 15:00:00,1.12,326.66998,12.87,NW
2005-01-02 18:00:00,1.1,326.3,12.66,NW
2005-01-02 21:00:00,1.1,326.15,12.46,NW
2005-01-03 00:00:00,1.1,326.08002,12.389999,NW
2005-01-03 03:00:00,1.12,326.55,12.469999,NW
2005-01-03 06:00:00,1.15,327.95,12.809999,NW
2005-01-03 09:00:00,1.17,329.52002,13.049999,NW
2005-01-03 12:00:00,1.1899999,330.84,12.96,NW
2005-01-03 15:00:00,1.22,331.89,12.91,NW
2005-01-03 18:00:00,1.22,332.74,15.46,NW
2005-01-03 21:00:00,1.3,333.3,15.42,NW
2005-01-04 00:00:00,1.4599999,333.45,15.42,NW
2005-01-04 03:00:00,1.6899999,333.41,15.5199995,NW
2005-01-04 06:00:00,1.86,333.34,15.41,NW
2005-01-04 09:00:00,1.9399999,333.15,15.03,NW
2005-01-04 12:00:00,2.07,333.06,15.11,NW
2005-01-04 15:00:00,2.01,333.16,14.75,NW
2005-01-04 18:00:00,1.9399999,333.52,14.49,NW
2005-01-04 21:00:00,1.8299999,334.41,14.23,NW
2005-01-05 00:00:00,1.73,335.02,13.92,NW
2005-01-05 03:00:00,1.5999999,335.87,13.429999,NW
2005-01-05 06:00:00,1.49,336.66,13.13,NW
2005-01-05 09:00:00,1.4,337.25,12.84,NW
2005-01-05 12:00:00,1.3,337.2,12.36,NW
2005-01-05 15:00:00,1.24,337.57,12.0199995,N
2005-01-05 18:00:00,1.2099999,338.44,11.7699995,N
2005-01-05 21:00:00,1.14,338.52,11.55,N
2005-01-06 00:00:00,1.0699999,337.16,11.23,NW
2005-01-06 03:00:00,1.01,336.21,10.98,NW
2005-01-06 06:00:00,0.97999996,335.16998,10.79,NW
2005-01-06 09:00:00,1.03,331.61,16.199999,NW
2005-01-06 12:00:00,1.1999999,326.68,17.119999,NW
2005-01-06 15:00:00,1.4599999,324.01,16.65,NW
2005-01-06 18:00:00,1.3,323.94,14.219999,NW
2005-01-06 21:00:00,1.61,324.69,14.66,NW
2005-01-07 00:00:00,1.8399999,326.11,15.25,NW
2005-01-07 03:00:00,2.0,327.15,15.809999,NW
2005-01-07 06:00:00,2.1,328.4,16.38,NW
2005-01-07 09:00:00,2.1599998,329.12,16.47,NW
2005-01-07 12:00:00,2.27,329.52002,16.55,NW
2005-01-07 15:00:00,2.29,329.62,16.4,NW
2005-01-07 18:00:00,2.27,330.0,16.23,NW
2005-01-07 21:00:00,2.27,330.91998,16.23,NW
2005-01-08 00:00:00,2.18,331.83002,15.99,NW
2005-01-08 03:00:00,1.9399999,332.96,15.12,NW
2005-01-08 06:00:00,1.77,333.78998,14.54,NW
2005-01-08 09:00:00,1.6999999,334.28,14.38,NW
2005-01-08 12:00:00,1.56,334.2,13.87,NW
2005-01-08 15:00:00,1.4599999,334.41,13.469999,NW
2005-01-08 18:00:00,1.38,334.82,13.33,NW
2005-01-08 21:00:00,1.29,335.37,13.179999,NW
2005-01-09 00:00:00,1.2099999,335.82,13.049999,NW
2005-01-09 03:00:00,1.13,336.03998,12.889999,NW
2005-01-09 06:00:00,1.06,335.97998,12.73,NW
2005-01-09 09:00:00,1.01,335.34,12.62,NW
2005-01-09 12:00:00,0.97999996,334.09,12.84,NW
2005-01-09 15:00:00,0.98999995,332.34,13.42,NW
2005-01-09 18:00:00,1.02,330.76,13.95,NW
2005-01-09 21:00:00,1.0699999,329.22,14.37,NW
2005-01-10 00:00:00,1.15,327.59998,14.509999,NW
2005-01-10 03:00:00,1.27,326.91,14.599999,NW
2005-01-10 06:00:00,1.4,326.78998,14.599999,NW
2005-01-10 09:00:00,1.48,326.76,14.44,NW
2005-01-10 12:00:00,1.51,326.78,14.139999,NW
2005-01-10 15:00:00,1.52,326.94,13.82,NW
2005-01-10 18:00:00,1.5,327.22,13.66,NW
2005-01-10 21:00:00,1.52,327.45,13.86,NW
2005-01-11 00:00:00,1.5,327.57,13.84,NW
2005-01-11 03:00:00,1.41,327.72998,13.5199995,NW
2005-01-11 06:00:00,1.49,327.49,14.059999,NW
2005-01-11 09:00:00,1.51,326.46,14.71,NW
2005-01-11 12:00:00,1.51,325.19,15.48,NW
2005-01-11 15:00:00,1.5899999,323.71,15.21,NW
2005-01-11 18:00:00,1.5999999,322.47,14.549999,NW
2005-01-11 21:00:00,1.64,320.97998,14.32,NW
2005-01-12 00:00:00,1.64,319.84998,14.0,NW
2005-01-12 03:00:00,1.65,319.4,13.719999,NW
2005-01-12 06:00:00,1.65,319.43,13.58,NW
2005-01-12 09:00:00,1.61,319.22998,13.37,NW
2005-01-12 12:00:00,1.56,318.84,13.17,NW
2005-01-12 15:00:00,1.5,318.22998,12.99,NW
2005-01-12 18:00:00,1.4399999,317.47998,12.7699995,NW
