Datetime,VHM0,VMDR,VTPK,CardinalDirection
2011-01-01 00:00:00,1.73,302.95,10.54,NW
2011-01-01 03:00:00,1.76,302.75,18.66,NW
2011-01-01 06:00:00,1.8,300.13,18.359999,NW
2011-01-01 09:00:00,1.88,297.41,18.07,NW
2011-01-01 12:00:00,1.9699999,295.13,17.789999,NW
2011-01-01 15:00:00,2.05,293.61,17.539999,NW
2011-01-01 18:00:00,2.1399999,292.4,17.34,W
2011-01-01 21:00:00,2.21,292.29,17.15,W
2011-01-02 00:00:00,2.21,292.52,16.91,NW
2011-01-02 03:00:00,2.24,292.41998,16.96,W
2011-01-02 06:00:00,2.19,291.99,16.779999,W
2011-01-02 09:00:00,2.07,291.01,16.42,W
2011-01-02 12:00:00,2.02,290.35,16.33,W
2011-01-02 15:00:00,1.93,289.79,16.08,W
2011-01-02 18:00:00,1.8499999,289.15,15.809999,W
2011-01-02 21:00:00,1.75,288.81,15.509999,W
2011-01-03 00:00:00,2.07,289.06,16.949999,W
2011-01-03 03:00:00,1.7099999,289.64,15.65,W
2011-01-03 06:00:00,1.54,289.91998,14.86,W
2011-01-03 09:00:00,1.41,289.96,14.46,W
2011-01-03 12:00:00,1.37,289.72998,14.32,W
2011-01-03 15:00:00,1.29,289.62,13.96,W
2011-01-03 18:00:00,1.22,289.33,13.41,W
2011-01-03 21:00:00,1.18,288.45,13.17,W
2011-01-04 00:00:00,1.16,287.81,13.03,W
2011-01-04 03:00:00,1.14,287.64,12.889999,W
2011-01-04 06:00:00,1.12,287.61,12.7,W
2011-01-04 09:00:00,1.12,287.49,12.4,W
2011-01-04 12:00:00,1.12,287.29,12.179999,W
2011-01-04 15:00:00,1.12,286.95,12.059999,W
2011-01-04 18:00:00,1.18,285.95,12.15,W
2011-01-04 21:00:00,1.17,285.21,12.08,W
2011-01-05 00:00:00,1.14,285.33,11.99,W
2011-01-05 03:00:00,1.11,285.91998,11.88,W
2011-01-05 06:00:00,1.0699999,286.79,11.71,W
2011-01-05 09:00:00,1.02,287.58,11.46,W
2011-01-05 12:00:00,1.01,288.27,11.23,W
2011-01-05 15:00:00,0.96,288.57,10.99,W
2011-01-05 18:00:00,0.90999997,288.36,10.76,W
2011-01-05 21:00:00,0.87,287.6,10.53,W
2011-01-06 00:00:00,0.85999995,286.83,10.5199995,W
2011-01-06 03:00:00,0.89,285.96,10.91,W
2011-01-06 06:00:00,0.91999996,286.13,11.44,W
2011-01-06 09:00:00,0.94,286.41998,11.38,W
2011-01-06 12:00:00,1.05,286.93,14.679999,W
2011-01-06 15:00:00,1.23,287.29,15.19,W
2011-01-06 18:00:00,1.52,286.82,15.13,W
2011-01-06 21:00:00,1.64,286.51,14.45,W
2011-01-07 00:00:00,1.68,286.57,14.0199995,W
