Datetime,VHM0,VMDR,VTPK,CardinalDirection
2001-01-01 00:00:00,1.3399999,246.19,13.98,SW
2001-01-01 03:00:00,1.36,245.18,14.04,SW
2001-01-01 06:00:00,1.3199999,246.23999,16.99,SW
2001-01-01 09:00:00,1.29,247.15,17.23,SW
2001-01-01 12:00:00,1.26,248.39,17.19,W
2001-01-01 15:00:00,1.22,250.93,17.029999,W
2001-01-01 18:00:00,1.1899999,254.18,16.92,W
2001-01-01 21:00:00,1.16,257.18,16.93,W
2001-01-02 00:00:00,1.15,258.91998,16.82,W
2001-01-02 03:00:00,1.1999999,259.77,17.1,W
2001-01-02 06:00:00,1.13,259.04,16.26,W
2001-01-02 09:00:00,1.1,261.24,16.07,W
2001-01-02 12:00:00,1.1,262.77,16.029999,W
2001-01-02 15:00:00,1.11,263.51,16.01,W
2001-01-02 18:00:00,1.12,265.83002,16.13,W
2001-01-02 21:00:00,1.09,265.5,18.63,W
2001-01-03 00:00:00,1.09,263.41998,19.779999,W
2001-01-03 03:00:00,1.1,260.89,19.279999,W
2001-01-03 06:00:00,1.11,260.05,19.25,W
2001-01-03 09:00:00,1.11,261.24,19.21,W
2001-01-03 12:00:00,1.09,264.15,19.119999,W
2001-01-03 15:00:00,1.0699999,267.21,18.96,W
2001-01-03 18:00:00,1.1,267.71,18.75,W
2001-01-03 21:00:00,1.13,265.65,18.359999,W
2001-01-04 00:00:00,1.13,265.81,17.98,W
2001-01-04 03:00:00,1.0799999,267.62,17.529999,W
2001-01-04 06:00:00,1.0699999,268.64,17.38,W
2001-01-04 09:00:00,1.09,269.69,17.58,W
2001-01-04 12:00:00,1.1,268.38,17.31,W
2001-01-04 15:00:00,1.12,265.82,16.97,W
2001-01-04 18:00:00,1.2099999,260.26,16.59,W
2001-01-04 21:00:00,1.3199999,255.2,16.43,W
2001-01-05 00:00:00,1.39,252.58,16.23,W
2001-01-05 03:00:00,1.42,251.33,16.0,W
