Datetime,VHM0,VMDR,VTPK,CardinalDirection
1996-01-01 00:00:00,1.1899999,206.99,14.24,SW
1996-01-01 03:00:00,1.3199999,206.31,14.509999,SW
1996-01-01 06:00:00,1.31,206.8,14.24,SW
1996-01-01 09:00:00,1.28,207.4,13.88,SW
1996-01-01 12:00:00,1.26,207.85,13.45,SW
1996-01-01 15:00:00,1.35,208.07,13.719999,SW
1996-01-01 18:00:00,1.37,206.01,13.44,SW
1996-01-01 21:00:00,1.38,204.92,19.67,SW
1996-01-02 00:00:00,1.38,204.53,19.24,SW
1996-01-02 03:00:00,1.39,205.07,18.82,SW
1996-01-02 06:00:00,1.4,205.78,18.21,SW
1996-01-02 09:00:00,1.41,206.05,17.69,SW
1996-01-02 12:00:00,1.43,205.92,17.26,SW
1996-01-02 15:00:00,1.3199999,205.38,15.92,SW
1996-01-02 18:00:00,1.4,204.75,16.01,SW
1996-01-02 21:00:00,1.4499999,203.42,15.9,SW
1996-01-03 00:00:00,1.54,201.55,15.86,S
1996-01-03 03:00:00,1.54,200.76,15.5199995,S
1996-01-03 06:00:00,1.52,199.94,15.059999,S
1996-01-03 09:00:00,1.51,199.81,14.79,S
1996-01-03 12:00:00,1.49,200.09,14.599999,S
1996-01-03 15:00:00,1.4399999,199.99,14.299999,S
1996-01-03 18:00:00,1.4,199.72,14.009999,S
1996-01-03 21:00:00,1.36,199.09,13.71,S
1996-01-04 00:00:00,1.3299999,198.86,13.45,S
1996-01-04 03:00:00,1.51,199.43,14.28,S
1996-01-04 06:00:00,1.48,201.66,14.179999,S
1996-01-04 09:00:00,1.41,202.19,13.679999,S
1996-01-04 12:00:00,1.3399999,201.25,13.17,S
1996-01-04 15:00:00,1.27,200.20999,12.74,S
1996-01-04 18:00:00,1.26,199.35,12.509999,S
1996-01-04 21:00:00,1.29,198.74,12.509999,S
1996-01-05 00:00:00,1.29,198.62,17.23,S
1996-01-05 03:00:00,1.28,199.76,16.33,S
1996-01-05 06:00:00,1.26,199.69,15.96,S
1996-01-05 09:00:00,1.28,200.52,15.86,S
1996-01-05 12:00:00,1.31,201.15,15.71,S
1996-01-05 15:00:00,1.5,200.04,16.42,S
1996-01-05 18:00:00,1.61,199.12,16.99,S
1996-01-05 21:00:00,1.67,198.64,16.97,S
1996-01-06 00:00:00,1.64,199.24,15.98,S
1996-01-06 03:00:00,1.76,197.76,16.49,S
1996-01-06 06:00:00,1.75,197.92,15.99,S
1996-01-06 09:00:00,1.6999999,199.22,15.469999,S
1996-01-06 12:00:00,1.6899999,200.9,14.87,S
1996-01-06 15:00:00,1.64,201.66,14.49,S
1996-01-06 18:00:00,1.5899999,202.20999,14.219999,S
1996-01-06 21:00:00,1.51,201.72,13.84,S
1996-01-07 00:00:00,1.4499999,201.4,13.46,S
1996-01-07 03:00:00,1.4,201.69,13.179999,S
1996-01-07 06:00:00,1.35,201.12,12.96,S
1996-01-07 09:00:00,1.3,200.55,12.75,S
1996-01-07 12:00:00,1.26,199.57,12.429999,S
1996-01-07 15:00:00,1.26,198.76,12.2699995,S
1996-01-07 18:00:00,1.24,198.9,12.0199995,S
1996-01-07 21:00:00,1.22,198.88,11.759999,S
1996-01-08 00:00:00,1.1999999,198.32,11.41,S
1996-01-08 03:00:00,1.2099999,197.61,16.06,S
1996-01-08 06:00:00,1.22,196.68,15.88,S
1996-01-08 09:00:00,1.23,194.89,15.82,S
1996-01-08 12:00:00,1.25,193.72,15.71,S
1996-01-08 15:00:00,1.24,192.97,15.21,S
1996-01-08 18:00:00,1.23,192.15,14.74,S
1996-01-08 21:00:00,1.26,191.29,14.559999,S
1996-01-09 00:00:00,1.28,190.37,14.41,S
1996-01-09 03:00:00,1.29,190.12,14.2,S
1996-01-09 06:00:00,1.3,189.94,13.929999,S
1996-01-09 09:00:00,1.3,189.73,13.469999,S
1996-01-09 12:00:00,1.1999999,189.35,12.65,S
1996-01-09 15:00:00,1.23,188.94,12.44,S
1996-01-09 18:00:00,1.24,188.64,12.13,S
1996-01-09 21:00:00,1.24,188.49,11.86,S
1996-01-10 00:00:00,1.23,188.11,11.639999,S
1996-01-10 03:00:00,1.23,187.5,11.32,S
1996-01-10 06:00:00,1.22,187.27,11.0199995,S
1996-01-10 09:00:00,1.2099999,187.8,10.7699995,S
1996-01-10 12:00:00,1.1999999,188.32,10.55,S
1996-01-10 15:00:00,1.18,188.56,10.309999,S
1996-01-10 18:00:00,1.18,188.62,10.25,S
1996-01-10 21:00:00,1.17,188.73,10.24,S
1996-01-11 00:00:00,1.16,188.95,10.179999,S
1996-01-11 03:00:00,1.16,189.25,10.099999,S
1996-01-11 06:00:00,1.16,189.74,9.98,S
1996-01-11 09:00:00,1.17,190.67,9.889999,S
1996-01-11 12:00:00,1.1899999,190.65,9.88,S
