Datetime,VHM0,VMDR,VTPK,CardinalDirection
1995-01-01 00:00:00,2.57,337.76,17.91,N
1995-01-01 03:00:00,2.8,335.78,17.51,NW
1995-01-01 06:00:00,2.98,334.09998,17.16,NW
1995-01-01 09:00:00,3.12,332.84,16.99,NW
1995-01-01 12:00:00,3.1599998,332.19,16.81,NW
1995-01-01 15:00:00,3.1399999,332.28998,16.6,NW
1995-01-01 18:00:00,3.1,332.37,16.24,NW
1995-01-01 21:00:00,3.1499999,332.71,16.01,NW
1995-01-02 00:00:00,3.08,333.09,15.57,NW
1995-01-02 03:00:00,3.03,333.61,15.0,NW
1995-01-02 06:00:00,3.02,334.84,14.639999,NW
1995-01-02 09:00:00,3.09,337.49,14.45,NW
1995-01-02 12:00:00,3.1599998,338.87,14.469999,N
1995-01-02 15:00:00,3.1599998,339.34998,14.61,N
1995-01-02 18:00:00,3.12,339.61,14.53,N
1995-01-02 21:00:00,4.0499997,339.8,16.3,N
1995-01-03 00:00:00,3.6499999,340.61,15.42,N
1995-01-03 03:00:00,3.21,341.63,14.46,N
1995-01-03 06:00:00,2.8899999,342.37,13.679999,N
1995-01-03 09:00:00,2.62,342.66,13.13,N
1995-01-03 12:00:00,2.37,342.83002,12.63,N
1995-01-03 15:00:00,2.1399999,343.16,12.179999,N
1995-01-03 18:00:00,1.9399999,343.86,11.88,N
1995-01-03 21:00:00,1.77,343.44,11.49,N
1995-01-04 00:00:00,1.6899999,341.59,11.16,N
1995-01-04 03:00:00,1.7199999,337.65,22.01,N
1995-01-04 06:00:00,1.86,332.78,20.14,NW
1995-01-04 09:00:00,2.07,328.69,19.26,NW
1995-01-04 12:00:00,2.33,325.84,18.619999,NW
1995-01-04 15:00:00,2.59,324.46,17.859999,NW
1995-01-04 18:00:00,2.72,323.57,17.21,NW
1995-01-04 21:00:00,2.78,322.56,16.48,NW
1995-01-05 00:00:00,2.8,321.9,16.0,NW
1995-01-05 03:00:00,2.81,321.39,15.69,NW
1995-01-05 06:00:00,2.84,321.28,15.469999,NW
1995-01-05 09:00:00,2.8999999,321.72,15.28,NW
1995-01-05 12:00:00,2.99,322.32,15.2,NW
1995-01-05 15:00:00,3.1499999,322.99,15.339999,NW
1995-01-05 18:00:00,3.4399998,324.52002,16.25,NW
1995-01-05 21:00:00,3.6599998,327.34,16.869999,NW
1995-01-06 00:00:00,3.86,329.74,17.08,NW
1995-01-06 03:00:00,3.9399998,331.19,17.07,NW
1995-01-06 06:00:00,4.0299997,332.63,16.93,NW
1995-01-06 09:00:00,4.11,333.71,16.539999,NW
1995-01-06 12:00:00,4.13,333.97998,16.119999,NW
1995-01-06 15:00:00,4.16,333.39,15.78,NW
1995-01-06 18:00:00,4.16,333.89,15.5,NW
1995-01-06 21:00:00,4.0699997,334.41,15.179999,NW
1995-01-07 00:00:00,3.87,334.51,14.839999,NW
1995-01-07 03:00:00,3.6499999,334.55,14.559999,NW
1995-01-07 06:00:00,3.72,334.01,14.71,NW
1995-01-07 09:00:00,3.61,333.69,14.62,NW
1995-01-07 12:00:00,3.53,334.51,14.589999,NW
1995-01-07 15:00:00,3.35,335.26,14.349999,NW
1995-01-07 18:00:00,3.11,335.2,14.04,NW
1995-01-07 21:00:00,2.9299998,335.52,13.63,NW
1995-01-08 00:00:00,2.79,335.8,13.41,NW
1995-01-08 03:00:00,2.72,335.96,13.38,NW
1995-01-08 06:00:00,2.73,336.02,13.509999,NW
1995-01-08 09:00:00,2.73,335.8,13.57,NW
1995-01-08 12:00:00,2.73,335.47998,13.469999,NW
1995-01-08 15:00:00,2.75,335.07,13.33,NW
1995-01-08 18:00:00,2.84,334.89,13.28,NW
1995-01-08 21:00:00,2.9099998,334.97998,13.28,NW
1995-01-09 00:00:00,2.98,335.15,16.07,NW
1995-01-09 03:00:00,3.02,335.16998,15.7,NW
1995-01-09 06:00:00,3.03,334.84,15.11,NW
1995-01-09 09:00:00,3.1,334.44,14.69,NW
1995-01-09 12:00:00,3.11,333.65,14.389999,NW
1995-01-09 15:00:00,3.1299999,333.08002,14.15,NW
1995-01-09 18:00:00,3.28,332.9,14.03,NW
1995-01-09 21:00:00,3.6699998,333.03998,14.34,NW
1995-01-10 00:00:00,3.9199998,332.32,20.67,NW
1995-01-10 03:00:00,4.41,331.97998,19.609999,NW
1995-01-10 06:00:00,4.74,331.72,19.039999,NW
1995-01-10 09:00:00,4.85,331.43,18.609999,NW
1995-01-10 12:00:00,4.74,331.28,17.859999,NW
1995-01-10 15:00:00,4.45,331.21,17.3,NW
1995-01-10 18:00:00,4.1,330.93,16.56,NW
1995-01-10 21:00:00,3.75,330.47998,15.95,NW
1995-01-11 00:00:00,3.4199998,329.66998,15.48,NW
1995-01-11 03:00:00,3.1,329.19,14.7699995,NW
1995-01-11 06:00:00,2.87,328.99,14.4,NW
1995-01-11 09:00:00,2.62,328.34,13.98,NW
1995-01-11 12:00:00,2.4299998,326.51,13.389999,NW
1995-01-11 15:00:00,2.32,323.34,13.049999,NW
1995-01-11 18:00:00,2.28,320.4,12.71,NW
1995-01-11 21:00:00,2.34,316.47998,12.2699995,NW
1995-01-12 00:00:00,2.52,313.55,12.08,NW
1995-01-12 03:00:00,2.82,314.15,17.1,NW
1995-01-12 06:00:00,3.1799998,316.24,16.32,NW
1995-01-12 09:00:00,3.58,318.59998,16.02,NW
1995-01-12 12:00:00,3.82,319.84,15.889999,NW
1995-01-12 15:00:00,3.85,322.06,15.469999,NW
1995-01-12 18:00:00,4.11,324.19,15.36,NW
1995-01-12 21:00:00,4.74,325.72,16.06,NW
1995-01-13 00:00:00,4.2,326.3,14.9,NW
1995-01-13 03:00:00,4.0099998,327.34998,14.549999,NW
1995-01-13 06:00:00,3.8999999,328.91,14.36,NW
1995-01-13 09:00:00,3.8,330.16,14.24,NW
1995-01-13 12:00:00,3.6899998,331.47998,14.17,NW
1995-01-13 15:00:00,3.6,332.61,14.15,NW
1995-01-13 18:00:00,3.52,333.86,14.12,NW
1995-01-13 21:00:00,3.4399998,335.45,14.03,NW
1995-01-14 00:00:00,3.3799999,337.47998,13.849999,NW
1995-01-14 03:00:00,3.31,340.05,13.61,N
1995-01-14 06:00:00,3.4399998,343.87,13.7699995,N
1995-01-14 09:00:00,3.24,347.31,13.42,N
1995-01-14 12:00:00,3.05,351.32,13.16,N
1995-01-14 15:00:00,2.9299998,354.01,13.04,N
1995-01-14 18:00:00,2.83,356.9,12.94,N
1995-01-14 21:00:00,2.73,0.16999817,12.7699995,N
1995-01-15 00:00:00,2.6299999,4.4400024,12.469999,N
1995-01-15 03:00:00,2.56,9.9900055,12.21,N
1995-01-15 06:00:00,2.51,16.449997,12.03,N
1995-01-15 09:00:00,2.76,22.020004,12.53,N
1995-01-15 12:00:00,2.57,26.100006,12.04,NE
1995-01-15 15:00:00,2.49,33.229996,11.719999,NE
1995-01-15 18:00:00,2.53,41.210007,10.889999,NE
1995-01-15 21:00:00,2.57,46.25,10.679999,NE
1995-01-16 00:00:00,2.45,48.67,8.44,NE
1995-01-16 03:00:00,2.4299998,52.32,8.63,NE
1995-01-16 06:00:00,2.4299998,55.83,8.63,NE
1995-01-16 09:00:00,2.3899999,58.43,8.51,NE
1995-01-16 12:00:00,2.28,59.440002,8.5,NE
1995-01-16 15:00:00,2.1499999,60.920006,8.559999,NE
1995-01-16 18:00:00,2.04,62.090004,8.679999,NE
1995-01-16 21:00:00,1.9799999,63.850006,8.7699995,NE
1995-01-17 00:00:00,1.9599999,64.060005,8.83,NE
1995-01-17 03:00:00,1.99,64.060005,8.98,NE
1995-01-17 06:00:00,1.99,64.0,9.09,NE
1995-01-17 09:00:00,1.99,63.65,9.23,NE
