Datetime,VHM0,VMDR,VTPK,CardinalDirection
1993-01-01 00:00:00,1.09,194.85,11.73,S
1993-01-01 03:00:00,0.81,180.95,6.21,S
1993-01-01 06:00:00,0.78,182.42,6.31,S
1993-01-01 09:00:00,0.75,184.26,6.39,S
1993-01-01 12:00:00,0.74,185.22,6.5099998,S
1993-01-01 15:00:00,0.72999996,185.19,6.68,S
1993-01-01 18:00:00,0.88,184.9,7.3199997,S
1993-01-01 21:00:00,0.90999997,183.95,7.3199997,S
1993-01-02 00:00:00,0.9,184.25,7.2999997,S
1993-01-02 03:00:00,0.84999996,183.38,7.31,S
1993-01-02 06:00:00,0.79999995,182.1,7.2999997,S
1993-01-02 09:00:00,1.0,180.43,8.29,S
1993-01-02 12:00:00,0.94,180.03,8.12,S
1993-01-02 15:00:00,0.91999996,179.0,8.08,S
1993-01-02 18:00:00,0.94,178.34,8.16,S
1993-01-02 21:00:00,0.93,177.7,8.12,S
1993-01-03 00:00:00,0.9,176.23,8.03,S
1993-01-03 03:00:00,0.84999996,174.92,8.0,S
1993-01-03 06:00:00,0.82,173.97,7.95,S
1993-01-03 09:00:00,0.79999995,173.7,7.91,S
1993-01-03 12:00:00,0.78,173.57,7.87,S
1993-01-03 15:00:00,0.78999996,173.99,7.85,S
1993-01-03 18:00:00,0.84,175.2,8.0199995,S
1993-01-03 21:00:00,0.95,176.36,8.32,S
1993-01-04 00:00:00,1.0,175.94,8.639999,S
1993-01-04 03:00:00,1.03,175.86,9.03,S
1993-01-04 06:00:00,0.98999995,176.17,9.13,S
1993-01-04 09:00:00,0.95,176.34,9.11,S
1993-01-04 12:00:00,0.93,176.44,9.05,S
1993-01-04 15:00:00,0.91999996,177.23,9.0,S
1993-01-04 18:00:00,0.97999996,177.92,9.059999,S
1993-01-04 21:00:00,1.06,177.94,9.099999,S
1993-01-05 00:00:00,1.11,177.55,9.059999,S
1993-01-05 03:00:00,1.11,177.45,9.099999,S
1993-01-05 06:00:00,1.09,178.01,9.01,S
1993-01-05 09:00:00,1.04,178.48,8.78,S
1993-01-05 12:00:00,0.98999995,179.05,8.53,S
1993-01-05 15:00:00,0.96,179.26,8.349999,S
1993-01-05 18:00:00,0.93,180.56,8.28,S
1993-01-05 21:00:00,0.93,182.07,8.2699995,S
1993-01-06 00:00:00,0.95,182.22,8.809999,S
1993-01-06 03:00:00,0.93,182.59,12.49,S
1993-01-06 06:00:00,0.9,183.51,12.099999,S
1993-01-06 09:00:00,0.87,184.84,11.86,S
1993-01-06 12:00:00,0.85999995,186.36,11.67,S
1993-01-06 15:00:00,0.90999997,187.77,11.679999,S
1993-01-06 18:00:00,0.89,188.02,11.309999,S
1993-01-06 21:00:00,0.89,189.01,11.11,S
1993-01-07 00:00:00,0.87,190.19,10.79,S
1993-01-07 03:00:00,0.84,190.59,10.559999,S
1993-01-07 06:00:00,0.79999995,191.41,10.53,S
1993-01-07 09:00:00,0.76,192.2,10.45,S
1993-01-07 12:00:00,0.71999997,192.9,10.2,S
1993-01-07 15:00:00,0.69,193.58,10.03,S
1993-01-07 18:00:00,0.69,194.3,9.94,S
1993-01-07 21:00:00,0.71,194.9,9.849999,S
1993-01-08 00:00:00,0.71,195.72,9.8,S
1993-01-08 03:00:00,0.69,196.45999,9.8,S
1993-01-08 06:00:00,0.66999996,198.11,9.849999,S
1993-01-08 09:00:00,0.65,200.05,9.94,S
1993-01-08 12:00:00,0.65,201.63,10.03,S
1993-01-08 15:00:00,0.66999996,201.74,12.42,S
1993-01-08 18:00:00,0.68,202.2,12.2,S
1993-01-08 21:00:00,0.69,202.42,12.0199995,S
1993-01-09 00:00:00,0.71999997,201.66,11.94,S
