Datetime,VHM0,VMDR,VTPK,CardinalDirection
2010-01-01 00:00:00,1.88,216.1,10.28,SW
2010-01-01 03:00:00,2.01,215.69,10.86,SW
2010-01-01 06:00:00,2.19,214.17,11.059999,SW
2010-01-01 09:00:00,2.32,212.23999,10.929999,SW
2010-01-01 12:00:00,2.4099998,211.83,11.01,SW
2010-01-01 15:00:00,2.49,211.89,11.32,SW
2010-01-01 18:00:00,2.54,213.34,11.809999,SW
2010-01-01 21:00:00,2.58,213.95999,12.21,SW
2010-01-02 00:00:00,2.7,214.41,12.73,SW
2010-01-02 03:00:00,2.76,215.08,12.91,SW
2010-01-02 06:00:00,2.81,213.33,12.86,SW
2010-01-02 09:00:00,2.86,210.70999,12.79,SW
2010-01-02 12:00:00,2.81,209.62,12.84,SW
2010-01-02 15:00:00,2.79,210.36,12.96,SW
2010-01-02 18:00:00,2.69,212.20999,12.99,SW
2010-01-02 21:00:00,2.55,213.48999,12.91,SW
2010-01-03 00:00:00,2.4299998,213.58,12.7,SW
2010-01-03 03:00:00,2.59,213.58,13.16,SW
2010-01-03 06:00:00,2.6799998,208.95,13.049999,SW
2010-01-03 09:00:00,2.6499999,203.73,12.57,SW
2010-01-03 12:00:00,2.62,199.01,12.11,S
2010-01-03 15:00:00,2.57,195.95,11.83,S
2010-01-03 18:00:00,2.46,194.98,11.65,S
2010-01-03 21:00:00,2.31,195.19,11.429999,S
2010-01-04 00:00:00,2.25,193.76,11.24,S
2010-01-04 03:00:00,2.21,193.21,11.04,S
2010-01-04 06:00:00,2.32,188.47,9.91,S
2010-01-04 09:00:00,2.4199998,185.23,9.929999,S
2010-01-04 12:00:00,2.35,185.1,9.92,S
2010-01-04 15:00:00,2.24,185.71,9.96,S
2010-01-04 18:00:00,2.1499999,187.58,10.92,S
2010-01-04 21:00:00,2.09,190.95,10.98,S
2010-01-05 00:00:00,2.01,193.62,10.91,S
2010-01-05 03:00:00,2.12,197.76,11.62,S
2010-01-05 06:00:00,2.1599998,201.05,12.349999,S
2010-01-05 09:00:00,2.36,197.44,12.5199995,S
2010-01-05 12:00:00,2.3899999,196.6,12.4,S
2010-01-05 15:00:00,2.33,199.07,12.38,S
2010-01-05 18:00:00,2.18,203.29,12.29,SW
2010-01-05 21:00:00,2.02,207.61,12.139999,SW
2010-01-06 00:00:00,1.87,210.73,12.009999,SW
2010-01-06 03:00:00,1.8299999,213.44,12.0,SW
2010-01-06 06:00:00,1.79,216.98,11.82,SW
2010-01-06 09:00:00,1.7199999,219.8,11.42,SW
2010-01-06 12:00:00,1.62,222.39,10.94,SW
2010-01-06 15:00:00,1.55,224.01,10.65,SW
2010-01-06 18:00:00,1.51,225.39,10.51,SW
2010-01-06 21:00:00,1.51,227.63,10.5199995,SW
2010-01-07 00:00:00,1.42,228.72,10.33,SW
2010-01-07 03:00:00,1.5799999,230.32,11.19,SW
2010-01-07 06:00:00,1.8,232.06,11.45,SW
2010-01-07 09:00:00,2.1299999,232.88,11.719999,SW
2010-01-07 12:00:00,2.44,233.86,11.95,SW
2010-01-07 15:00:00,2.6299999,234.92,12.08,SW
2010-01-07 18:00:00,2.73,236.03,12.2,SW
2010-01-07 21:00:00,2.8,236.88,12.4,SW
2010-01-08 00:00:00,2.87,237.20999,12.719999,SW
2010-01-08 03:00:00,2.8799999,237.4,12.94,SW
2010-01-08 06:00:00,2.8799999,236.45999,12.929999,SW
2010-01-08 09:00:00,2.9399998,234.58,12.99,SW
2010-01-08 12:00:00,3.04,233.57,13.34,SW
2010-01-08 15:00:00,2.9299998,232.31,13.19,SW
2010-01-08 18:00:00,2.73,231.73,12.87,SW
2010-01-08 21:00:00,2.55,231.81,12.559999,SW
2010-01-09 00:00:00,2.45,231.87,12.38,SW
2010-01-09 03:00:00,2.36,232.32,12.16,SW
2010-01-09 06:00:00,2.33,232.92,11.969999,SW
2010-01-09 09:00:00,2.3799999,233.68,11.809999,SW
2010-01-09 12:00:00,2.32,234.54,11.63,SW
2010-01-09 15:00:00,2.22,234.12,11.309999,SW
2010-01-09 18:00:00,2.23,229.94,11.04,SW
2010-01-09 21:00:00,2.1299999,227.48999,10.349999,SW
2010-01-10 00:00:00,2.23,226.8,10.37,SW
2010-01-10 03:00:00,2.48,227.01,10.91,SW
2010-01-10 06:00:00,2.8,227.44,11.4,SW
2010-01-10 09:00:00,3.07,228.14,11.83,SW
