Datetime,VHM0,VMDR,VTPK,CardinalDirection
2003-01-01 00:00:00,1.1999999,232.0,16.039999,SW
2003-01-01 03:00:00,1.16,231.58,15.099999,SW
2003-01-01 06:00:00,1.16,230.59,14.57,SW
2003-01-01 09:00:00,1.11,231.19,14.2699995,SW
2003-01-01 12:00:00,1.04,232.23999,14.03,SW
2003-01-01 15:00:00,0.98999995,233.08,13.679999,SW
2003-01-01 18:00:00,0.94,233.7,13.389999,SW
2003-01-01 21:00:00,0.9,234.2,13.19,SW
2003-01-02 00:00:00,0.85999995,234.53,13.04,SW
2003-01-02 03:00:00,0.84,234.66,12.98,SW
2003-01-02 06:00:00,0.83,234.45999,12.9,SW
2003-01-02 09:00:00,0.77,234.48,12.69,SW
2003-01-02 12:00:00,0.84,234.86,13.389999,SW
2003-01-02 15:00:00,0.75,235.04,12.96,SW
2003-01-02 18:00:00,0.64,236.31,12.0199995,SW
2003-01-02 21:00:00,0.57,237.39,11.509999,SW
2003-01-03 00:00:00,0.66999996,237.79,12.54,SW
2003-01-03 03:00:00,0.57,239.44,11.78,SW
2003-01-03 06:00:00,0.52,236.75,10.9,SW
2003-01-03 09:00:00,0.45,237.16,10.67,SW
2003-01-03 12:00:00,0.41,238.58,10.71,SW
2003-01-03 15:00:00,0.5,239.51,12.49,SW
2003-01-03 18:00:00,0.44,239.8,12.04,SW
2003-01-03 21:00:00,0.38,240.94,11.309999,SW
2003-01-04 00:00:00,0.35999998,243.6,11.059999,SW
2003-01-04 03:00:00,0.34,245.1,11.0199995,SW
2003-01-04 06:00:00,0.34,245.56,11.04,SW
2003-01-04 09:00:00,0.32999998,245.78,11.13,SW
2003-01-04 12:00:00,0.32999998,245.98,11.23,SW
2003-01-04 15:00:00,0.35,246.82,11.17,SW
2003-01-04 18:00:00,0.42999998,264.72,10.99,W
2003-01-04 21:00:00,0.45999998,269.53,10.78,W
2003-01-05 00:00:00,0.51,268.53,10.5199995,W
2003-01-05 03:00:00,0.52,263.68,10.179999,W
2003-01-05 06:00:00,0.53,257.79,9.929999,W
2003-01-05 09:00:00,0.53999996,252.79999,9.66,W
2003-01-05 12:00:00,0.57,249.15,9.33,W
2003-01-05 15:00:00,0.61,245.41,15.679999,SW
2003-01-05 18:00:00,0.71,241.34,15.94,SW
2003-01-05 21:00:00,0.88,238.73,15.44,SW
2003-01-06 00:00:00,1.0699999,236.79,14.86,SW
2003-01-06 03:00:00,1.3199999,234.54,14.469999,SW
2003-01-06 06:00:00,1.52,235.0,14.28,SW
2003-01-06 09:00:00,1.64,236.17,14.08,SW
2003-01-06 12:00:00,1.73,236.7,13.639999,SW
2003-01-06 15:00:00,1.8199999,236.77,13.32,SW
2003-01-06 18:00:00,1.86,236.77,13.059999,SW
2003-01-06 21:00:00,1.8499999,236.88,12.84,SW
2003-01-07 00:00:00,1.8399999,237.05,12.67,SW
2003-01-07 03:00:00,1.8199999,237.11,12.509999,SW
2003-01-07 06:00:00,1.79,236.98,12.469999,SW
2003-01-07 09:00:00,1.74,236.8,12.5,SW
2003-01-07 12:00:00,1.73,235.72,12.559999,SW
2003-01-07 15:00:00,1.73,232.15,12.62,SW
2003-01-07 18:00:00,1.7199999,229.81,12.65,SW
2003-01-07 21:00:00,1.68,228.0,12.67,SW
2003-01-08 00:00:00,1.68,226.63,12.79,SW
2003-01-08 03:00:00,1.5799999,229.5,12.78,SW
2003-01-08 06:00:00,1.54,229.03,12.82,SW
2003-01-08 09:00:00,1.52,224.73,12.78,SW
2003-01-08 12:00:00,1.67,199.29,12.809999,S
2003-01-08 15:00:00,1.8499999,144.85,12.57,SE
2003-01-08 18:00:00,1.89,101.35,5.47,E
2003-01-08 21:00:00,1.6899999,85.87,5.46,E
2003-01-09 00:00:00,1.64,74.37,5.35,E
2003-01-09 03:00:00,1.4599999,76.380005,5.16,E
2003-01-09 06:00:00,1.42,90.090004,4.99,E
2003-01-09 09:00:00,1.4699999,98.75,4.99,E
2003-01-09 12:00:00,1.25,97.950005,17.73,E
2003-01-09 15:00:00,1.0799999,223.64,17.13,SW
2003-01-09 18:00:00,1.01,232.27,16.449999,SW
2003-01-09 21:00:00,1.15,215.05,15.96,SW
2003-01-10 00:00:00,1.3,196.31,15.49,S
2003-01-10 03:00:00,1.4,214.84,15.13,SW
2003-01-10 06:00:00,1.5,212.1,15.13,SW
2003-01-10 09:00:00,1.51,217.06,14.9,SW
2003-01-10 12:00:00,1.5799999,227.39,15.03,SW
