Datetime,VHM0,VMDR,VTPK,CardinalDirection
2018-01-01 00:00:00,1.14,55.39,5.77,NE
2018-01-01 03:00:00,0.95,67.270004,6.0099998,NE
2018-01-01 06:00:00,0.96999997,62.780006,6.04,NE
2018-01-01 09:00:00,0.97999996,54.840004,6.0299997,NE
2018-01-01 12:00:00,0.95,51.570007,6.0,NE
2018-01-01 15:00:00,0.88,54.72,6.0099998,NE
2018-01-01 18:00:00,0.90999997,55.18,6.0299997,NE
2018-01-01 21:00:00,0.93,54.780006,5.98,NE
2018-01-02 00:00:00,0.9,56.61,5.91,NE
2018-01-02 03:00:00,0.83,59.96,5.96,NE
2018-01-02 06:00:00,0.79999995,60.350006,5.96,NE
2018-01-02 09:00:00,0.79999995,57.810005,5.94,NE
2018-01-02 12:00:00,0.87,54.33,6.02,NE
2018-01-02 15:00:00,0.94,49.130005,5.93,NE
2018-01-02 18:00:00,1.05,48.059998,5.7799997,NE
2018-01-02 21:00:00,1.11,49.08,5.77,NE
2018-01-03 00:00:00,1.12,49.240005,5.7999997,NE
2018-01-03 03:00:00,1.15,49.0,5.89,NE
2018-01-03 06:00:00,1.24,45.42,6.0299997,NE
2018-01-03 09:00:00,1.27,44.690002,6.2,NE
2018-01-03 12:00:00,1.29,42.79001,6.31,NE
2018-01-03 15:00:00,1.4,41.01001,6.31,NE
2018-01-03 18:00:00,1.42,41.67,6.3599997,NE
2018-01-03 21:00:00,1.4,42.660004,6.33,NE
2018-01-04 00:00:00,1.55,43.729996,6.87,NE
2018-01-04 03:00:00,1.4,46.12001,6.99,NE
2018-01-04 06:00:00,1.17,51.89,7.22,NE
2018-01-04 09:00:00,1.05,55.600006,7.1099997,NE
2018-01-04 12:00:00,0.98999995,56.5,6.8999996,NE
2018-01-04 15:00:00,0.95,57.350006,6.73,NE
2018-01-04 18:00:00,0.89,59.590004,6.6299996,NE
2018-01-04 21:00:00,0.87,68.630005,6.52,E
2018-01-05 00:00:00,0.82,73.26,6.41,E
2018-01-05 03:00:00,0.77,74.57,6.3399997,E
2018-01-05 06:00:00,0.74,76.07,6.29,E
2018-01-05 09:00:00,0.71999997,78.41,6.25,E
2018-01-05 12:00:00,0.71999997,81.54,6.21,E
2018-01-05 15:00:00,0.79999995,76.5,6.18,E
2018-01-05 18:00:00,0.95,67.4,6.14,NE
2018-01-05 21:00:00,1.06,63.600006,6.0,NE
2018-01-06 00:00:00,1.1,61.920006,5.65,NE
2018-01-06 03:00:00,1.0699999,61.82,5.85,NE
2018-01-06 06:00:00,1.04,61.050003,5.94,NE
2018-01-06 09:00:00,1.0,59.310005,5.97,NE
2018-01-06 12:00:00,0.95,58.47,5.97,NE
2018-01-06 15:00:00,0.93,56.64,5.99,NE
2018-01-06 18:00:00,0.95,55.700005,5.97,NE
2018-01-06 21:00:00,0.96999997,56.670006,5.93,NE
2018-01-07 00:00:00,1.0,59.370003,5.89,NE
2018-01-07 03:00:00,1.02,60.0,5.7,NE
2018-01-07 06:00:00,1.0,61.300003,5.81,NE
2018-01-07 09:00:00,0.95,63.32,5.91,NE
2018-01-07 12:00:00,0.9,65.53,5.96,NE
2018-01-07 15:00:00,0.84,67.33,6.0099998,NE
2018-01-07 18:00:00,0.82,68.310005,6.0899997,E
2018-01-07 21:00:00,0.85999995,68.36,6.19,E
2018-01-08 00:00:00,0.89,70.53,6.24,E
2018-01-08 03:00:00,0.90999997,71.58,6.19,E
2018-01-08 06:00:00,0.90999997,72.65,6.12,E
2018-01-08 09:00:00,0.87,74.600006,6.21,E
2018-01-08 12:00:00,0.82,77.170006,6.3599997,E
2018-01-08 15:00:00,0.78999996,80.090004,6.5,E
2018-01-08 18:00:00,0.78999996,81.78,6.6099997,E
2018-01-08 21:00:00,0.78999996,83.810005,6.75,E
2018-01-09 00:00:00,0.81,86.57,6.98,E
2018-01-09 03:00:00,0.84999996,88.87,7.4199996,E
2018-01-09 06:00:00,0.89,90.590004,7.62,E
2018-01-09 09:00:00,0.90999997,93.310005,7.75,E
2018-01-09 12:00:00,0.9,96.53,7.6499996,E
2018-01-09 15:00:00,0.94,97.840004,7.74,E
2018-01-09 18:00:00,0.96999997,99.520004,7.6,E
2018-01-09 21:00:00,1.0,102.23,7.5099998,E
2018-01-10 00:00:00,1.0,104.89,7.3599997,E
2018-01-10 03:00:00,1.06,104.92,7.47,E
2018-01-10 06:00:00,1.11,103.78,7.5,E
2018-01-10 09:00:00,1.16,102.89,7.49,E
2018-01-10 12:00:00,1.23,101.58,7.48,E
2018-01-10 15:00:00,1.22,101.58,7.52,E
2018-01-10 18:00:00,1.1899999,102.25,7.56,E
2018-01-10 21:00:00,1.16,103.560005,7.6299996,E
2018-01-11 00:00:00,1.16,104.58,7.62,E
2018-01-11 03:00:00,1.16,104.8,7.6499996,E
2018-01-11 06:00:00,1.14,105.5,7.6299996,E
2018-01-11 09:00:00,1.1,107.700005,7.5899997,E
2018-01-11 12:00:00,1.04,108.630005,7.49,E
2018-01-11 15:00:00,0.98999995,110.29,7.37,E
2018-01-11 18:00:00,0.96,111.65,7.21,E
2018-01-11 21:00:00,0.96999997,112.03,7.25,E
2018-01-12 00:00:00,0.96,112.060005,7.21,E
2018-01-12 03:00:00,0.95,113.23,7.14,SE
2018-01-12 06:00:00,0.93,115.11,7.1,SE
2018-01-12 09:00:00,0.90999997,117.33,7.1099997,SE
2018-01-12 12:00:00,0.89,120.59,7.1099997,SE
2018-01-12 15:00:00,0.89,123.34,7.16,SE
2018-01-12 18:00:00,0.95,117.630005,7.3199997,SE
2018-01-12 21:00:00,1.0,110.67,7.44,E
2018-01-13 00:00:00,1.0,105.3,7.6,E
2018-01-13 03:00:00,0.98999995,105.91,7.77,E
2018-01-13 06:00:00,0.96,108.090004,7.85,E
2018-01-13 09:00:00,0.94,108.020004,7.83,E
2018-01-13 12:00:00,0.78,107.46,7.22,E
2018-01-13 15:00:00,0.79999995,102.71,7.0699997,E
2018-01-13 18:00:00,0.90999997,86.85,7.1299996,E
2018-01-13 21:00:00,1.02,79.060005,5.1,E
2018-01-14 00:00:00,1.09,77.590004,4.8199997,E
2018-01-14 03:00:00,1.06,77.4,5.0899997,E
2018-01-14 06:00:00,1.02,77.560005,5.3199997,E
2018-01-14 09:00:00,0.96,78.26,5.56,E
2018-01-14 12:00:00,0.94,77.98,5.75,E
2018-01-14 15:00:00,0.94,77.12,5.8399997,E
2018-01-14 18:00:00,1.0,73.39,5.91,E
2018-01-14 21:00:00,1.1,68.310005,4.58,E
2018-01-15 00:00:00,1.12,64.770004,5.18,NE
2018-01-15 03:00:00,1.05,65.090004,5.47,NE
2018-01-15 06:00:00,0.95,68.15,5.7,E
2018-01-15 09:00:00,0.87,70.8,5.97,E
2018-01-15 12:00:00,0.84999996,71.28,6.1099997,E
2018-01-15 15:00:00,0.88,65.73,6.18,NE
2018-01-15 18:00:00,0.91999996,62.47,6.19,NE
2018-01-15 21:00:00,0.96,62.130005,6.06,NE
2018-01-16 00:00:00,0.98999995,60.690002,5.06,NE
2018-01-16 03:00:00,0.96999997,61.33,5.6299996,NE
2018-01-16 06:00:00,0.94,63.75,5.98,NE
2018-01-16 09:00:00,0.88,66.62,6.17,NE
2018-01-16 12:00:00,0.9,68.380005,6.5699997,E
2018-01-16 15:00:00,0.9,70.62,6.92,E
2018-01-16 18:00:00,0.93,71.740005,7.39,E
2018-01-16 21:00:00,0.96999997,70.66,7.54,E
2018-01-17 00:00:00,1.03,65.48,7.6,NE
2018-01-17 03:00:00,1.02,64.65,7.5699997,NE
2018-01-17 06:00:00,0.97999996,65.14,7.45,NE
2018-01-17 09:00:00,0.94,65.51,7.0,NE
2018-01-17 12:00:00,0.82,66.78,6.56,NE
2018-01-17 15:00:00,0.78999996,66.86,6.37,NE
2018-01-17 18:00:00,0.83,65.37,6.35,NE
2018-01-17 21:00:00,0.85999995,65.44,6.5099998,NE
2018-01-18 00:00:00,0.78,66.79,6.48,NE
2018-01-18 03:00:00,0.84999996,64.75,4.14,NE
2018-01-18 06:00:00,0.93,65.240005,4.69,NE
2018-01-18 09:00:00,0.97999996,69.72,5.1099997,E
2018-01-18 12:00:00,1.03,74.04,9.71,E
2018-01-18 15:00:00,1.06,78.21,9.49,E
2018-01-18 18:00:00,1.15,77.39,9.469999,E
2018-01-18 21:00:00,1.2099999,78.48,9.48,E
2018-01-19 00:00:00,1.22,80.72,9.559999,E
2018-01-19 03:00:00,1.1899999,83.8,9.53,E
2018-01-19 06:00:00,1.16,86.37,9.49,E
2018-01-19 09:00:00,1.12,89.46,9.46,E
2018-01-19 12:00:00,1.11,87.53,9.349999,E
2018-01-19 15:00:00,1.09,85.37,9.23,E
2018-01-19 18:00:00,1.14,77.25,9.13,E
2018-01-19 21:00:00,1.17,75.75,9.04,E
2018-01-20 00:00:00,1.16,78.68,9.099999,E
2018-01-20 03:00:00,1.11,80.0,9.13,E
2018-01-20 06:00:00,1.1,78.28,9.099999,E
2018-01-20 09:00:00,1.06,79.380005,9.059999,E
2018-01-20 12:00:00,1.11,83.57,9.389999,E
2018-01-20 15:00:00,1.05,88.920006,9.28,E
2018-01-20 18:00:00,1.04,87.08,9.08,E
2018-01-20 21:00:00,1.04,85.36,8.94,E
2018-01-21 00:00:00,1.01,84.450005,8.87,E
2018-01-21 03:00:00,0.96999997,84.090004,8.82,E
2018-01-21 06:00:00,0.93,85.15,8.8,E
2018-01-21 09:00:00,0.89,86.46,8.75,E
2018-01-21 12:00:00,0.78999996,87.200005,8.29,E
2018-01-21 15:00:00,0.74,87.71,7.8999996,E
2018-01-21 18:00:00,0.76,83.73,7.6099997,E
2018-01-21 21:00:00,0.81,82.48,7.47,E
2018-01-22 00:00:00,0.78999996,83.93,7.3599997,E
2018-01-22 03:00:00,0.77,86.740005,7.37,E
2018-01-22 06:00:00,0.77,91.16,7.6499996,E
2018-01-22 09:00:00,0.78999996,92.76,8.03,E
2018-01-22 12:00:00,0.93,92.3,8.73,E
2018-01-22 15:00:00,0.9,88.310005,8.37,E
2018-01-22 18:00:00,0.96999997,80.18,8.25,E
2018-01-22 21:00:00,1.04,74.91,8.19,E
2018-01-23 00:00:00,1.09,72.0,8.17,E
2018-01-23 03:00:00,1.0799999,71.600006,7.29,E
2018-01-23 06:00:00,1.03,72.22,7.3199997,E
2018-01-23 09:00:00,0.97999996,73.73,7.2599998,E
2018-01-23 12:00:00,0.96999997,72.920006,7.5,E
2018-01-23 15:00:00,1.04,68.240005,7.3199997,E
2018-01-23 18:00:00,1.15,67.37,6.98,NE
2018-01-23 21:00:00,1.18,68.83,6.97,E
2018-01-24 00:00:00,1.25,70.33,7.0299997,E
