Datetime,VHM0,VMDR,VTPK,CardinalDirection
1996-01-01 00:00:00,0.82,94.66,5.75,E
1996-01-01 03:00:00,0.77,102.91,5.79,E
1996-01-01 06:00:00,0.76,106.0,11.11,E
1996-01-01 09:00:00,0.72999996,111.69,11.36,E
1996-01-01 12:00:00,0.71,116.37,11.179999,SE
1996-01-01 15:00:00,0.7,119.5,11.03,SE
1996-01-01 18:00:00,0.72999996,120.55,10.94,SE
1996-01-01 21:00:00,0.78,118.72,10.88,SE
1996-01-02 00:00:00,0.78,117.97,10.83,SE
1996-01-02 03:00:00,0.72999996,119.83,10.76,SE
1996-01-02 06:00:00,0.69,120.71001,10.639999,SE
1996-01-02 09:00:00,0.66999996,120.55,10.48,SE
1996-01-02 12:00:00,0.74,120.240005,10.929999,SE
1996-01-02 15:00:00,0.69,121.0,10.639999,SE
1996-01-02 18:00:00,0.66999996,120.880005,10.19,SE
1996-01-02 21:00:00,0.68,119.740005,9.9,SE
1996-01-03 00:00:00,0.68,117.06,9.7,SE
1996-01-03 03:00:00,0.65999997,115.61,9.5,SE
1996-01-03 06:00:00,0.63,115.130005,9.179999,SE
1996-01-03 09:00:00,0.61,114.270004,8.94,SE
1996-01-03 12:00:00,0.65999997,112.880005,8.82,SE
1996-01-03 15:00:00,0.64,112.48,8.19,E
1996-01-03 18:00:00,0.66999996,111.6,7.87,E
1996-01-03 21:00:00,0.71,109.39,7.5,E
1996-01-04 00:00:00,0.77,104.630005,7.3599997,E
1996-01-04 03:00:00,0.78,103.490005,7.2599998,E
1996-01-04 06:00:00,0.71999997,105.450005,7.14,E
1996-01-04 09:00:00,0.65999997,107.26,7.06,E
1996-01-04 12:00:00,0.63,107.67,7.0499997,E
1996-01-04 15:00:00,0.62,107.67,7.02,E
1996-01-04 18:00:00,0.63,110.200005,6.98,E
1996-01-04 21:00:00,0.66999996,112.39,6.97,E
1996-01-05 00:00:00,0.68,111.950005,6.97,E
1996-01-05 03:00:00,0.65999997,111.72,7.0099998,E
1996-01-05 06:00:00,0.63,111.9,7.0499997,E
1996-01-05 09:00:00,0.55,112.19,6.67,E
1996-01-05 12:00:00,0.56,111.36,6.7999997,E
1996-01-05 15:00:00,0.59999996,113.78,6.95,SE
1996-01-05 18:00:00,0.64,116.07,7.02,SE
1996-01-05 21:00:00,0.66999996,117.28,7.02,SE
1996-01-06 00:00:00,0.69,118.350006,6.98,SE
1996-01-06 03:00:00,0.69,119.490005,6.97,SE
