Datetime,VHM0,VMDR,VTPK,CardinalDirection
2011-01-01 00:00:00,1.16,149.0,8.12,SE
2011-01-01 03:00:00,1.18,148.65,8.179999,SE
2011-01-01 06:00:00,1.1899999,146.68,8.2699995,SE
2011-01-01 09:00:00,1.22,145.05,8.44,SE
2011-01-01 12:00:00,1.27,144.15,8.84,SE
2011-01-01 15:00:00,1.31,142.52,9.09,SE
2011-01-01 18:00:00,1.37,139.56,9.24,SE
2011-01-01 21:00:00,1.41,138.59,9.34,SE
2011-01-02 00:00:00,1.42,138.15,9.37,SE
2011-01-02 03:00:00,1.41,138.37,9.36,SE
2011-01-02 06:00:00,1.41,139.22,9.37,SE
2011-01-02 09:00:00,1.51,142.13,9.639999,SE
2011-01-02 12:00:00,1.5,141.14,9.58,SE
2011-01-02 15:00:00,1.51,141.37,9.45,SE
2011-01-02 18:00:00,1.66,147.2,9.51,SE
2011-01-02 21:00:00,1.79,150.03,7.5,SE
2011-01-03 00:00:00,1.77,149.29001,7.2599998,SE
2011-01-03 03:00:00,1.68,147.53,7.73,SE
2011-01-03 06:00:00,1.54,144.7,7.8399997,SE
2011-01-03 09:00:00,1.41,140.55,7.87,SE
2011-01-03 12:00:00,1.3299999,134.4,7.9199996,SE
2011-01-03 15:00:00,1.31,127.41,7.95,SE
2011-01-03 18:00:00,1.28,122.5,8.0,SE
2011-01-03 21:00:00,1.23,119.33,8.059999,SE
2011-01-04 00:00:00,1.26,116.600006,8.2699995,SE
2011-01-04 03:00:00,1.17,112.72,8.11,SE
2011-01-04 06:00:00,1.15,110.01,8.099999,E
2011-01-04 09:00:00,1.18,106.76,7.95,E
2011-01-04 12:00:00,1.26,103.44,7.6699996,E
2011-01-04 15:00:00,1.37,100.62,7.58,E
2011-01-04 18:00:00,1.4499999,98.64,7.46,E
2011-01-04 21:00:00,1.55,97.98,7.48,E
2011-01-05 00:00:00,1.65,97.200005,7.48,E
2011-01-05 03:00:00,1.64,98.85,7.62,E
2011-01-05 06:00:00,1.66,100.5,7.95,E
2011-01-05 09:00:00,1.66,101.1,8.22,E
2011-01-05 12:00:00,1.64,101.26,8.4,E
2011-01-05 15:00:00,1.61,101.41,8.559999,E
2011-01-05 18:00:00,1.64,100.26,8.66,E
2011-01-05 21:00:00,1.65,99.66,8.7,E
2011-01-06 00:00:00,1.63,100.060005,8.59,E
2011-01-06 03:00:00,1.65,100.9,8.3,E
2011-01-06 06:00:00,1.6899999,101.64,8.21,E
2011-01-06 09:00:00,1.66,102.060005,8.2699995,E
2011-01-06 12:00:00,1.62,102.91,8.34,E
2011-01-06 15:00:00,1.5699999,105.07,8.349999,E
2011-01-06 18:00:00,1.67,106.17,8.62,E
2011-01-06 21:00:00,1.62,106.9,8.54,E
2011-01-07 00:00:00,1.63,107.71,8.61,E
2011-01-07 03:00:00,1.66,107.82,8.639999,E
2011-01-07 06:00:00,1.9499999,107.020004,9.22,E
2011-01-07 09:00:00,1.8399999,106.57,8.92,E
2011-01-07 12:00:00,1.77,106.93,8.88,E
2011-01-07 15:00:00,1.6999999,107.78,8.88,E
2011-01-07 18:00:00,1.63,108.76,8.92,E
