Datetime,VHM0,VMDR,VTPK,CardinalDirection
1998-01-01 00:00:00,0.74,167.71,10.849999,S
1998-01-01 03:00:00,0.82,170.98,11.79,S
1998-01-01 06:00:00,0.78,172.11,11.599999,S
1998-01-01 09:00:00,0.72999996,170.86,11.07,S
1998-01-01 12:00:00,0.7,170.11,10.82,S
1998-01-01 15:00:00,0.68,171.83,10.53,S
1998-01-01 18:00:00,0.7,175.38,10.08,S
1998-01-01 21:00:00,0.76,178.67,9.76,S
1998-01-02 00:00:00,0.83,180.66,9.61,S
1998-01-02 03:00:00,0.90999997,181.49,9.79,S
1998-01-02 06:00:00,1.02,181.74,10.639999,S
1998-01-02 09:00:00,1.13,181.31,11.259999,S
1998-01-02 12:00:00,1.22,180.65,11.41,S
1998-01-02 15:00:00,1.27,180.3,11.2699995,S
1998-01-02 18:00:00,1.3,177.69,11.11,S
1998-01-02 21:00:00,1.29,176.22,10.92,S
1998-01-03 00:00:00,1.29,175.0,10.79,S
1998-01-03 03:00:00,1.31,173.85,10.69,S
1998-01-03 06:00:00,1.36,172.42,10.92,S
1998-01-03 09:00:00,1.42,170.82,12.92,S
1998-01-03 12:00:00,1.4699999,169.35,12.79,S
1998-01-03 15:00:00,1.5,168.0,12.38,S
1998-01-03 18:00:00,1.8299999,167.06,13.139999,S
1998-01-03 21:00:00,1.74,165.87,12.12,S
1998-01-04 00:00:00,1.6899999,164.76,11.59,S
1998-01-04 03:00:00,1.67,164.13,10.88,S
1998-01-04 06:00:00,1.6999999,163.71,10.49,S
1998-01-04 09:00:00,1.75,162.8,10.09,S
1998-01-04 12:00:00,1.8,161.31,9.96,S
1998-01-04 15:00:00,1.8299999,159.7,9.84,S
1998-01-04 18:00:00,1.8399999,157.51,9.719999,S
1998-01-04 21:00:00,1.8399999,155.92,9.61,SE
1998-01-05 00:00:00,1.8199999,155.62,9.45,SE
1998-01-05 03:00:00,1.79,155.69,9.38,SE
1998-01-05 06:00:00,1.8,155.9,9.429999,SE
1998-01-05 09:00:00,1.78,155.17,9.5,SE
1998-01-05 12:00:00,1.73,154.55,9.65,SE
1998-01-05 15:00:00,1.67,153.89,9.809999,SE
1998-01-05 18:00:00,1.62,152.12,9.92,SE
1998-01-05 21:00:00,1.5799999,150.14,9.98,SE
1998-01-06 00:00:00,1.53,148.01,9.99,SE
1998-01-06 03:00:00,1.49,146.06,9.96,SE
1998-01-06 06:00:00,1.4499999,144.53,9.91,SE
1998-01-06 09:00:00,1.41,143.70999,9.84,SE
1998-01-06 12:00:00,1.38,143.04001,9.74,SE
1998-01-06 15:00:00,1.36,142.33,9.639999,SE
1998-01-06 18:00:00,1.3199999,140.70999,9.49,SE
1998-01-06 21:00:00,1.29,137.72,9.389999,SE
1998-01-07 00:00:00,1.23,134.98,9.36,SE
1998-01-07 03:00:00,1.17,133.04001,9.41,SE
1998-01-07 06:00:00,1.1,131.69,9.45,SE
1998-01-07 09:00:00,1.03,130.53,9.48,SE
1998-01-07 12:00:00,0.90999997,129.51001,9.08,SE
1998-01-07 15:00:00,0.87,128.99,9.01,SE
1998-01-07 18:00:00,0.84,129.47,9.099999,SE
1998-01-07 21:00:00,0.83,130.52,9.24,SE
1998-01-08 00:00:00,0.85999995,136.02,9.429999,SE
1998-01-08 03:00:00,0.96,139.67,9.9,SE
1998-01-08 06:00:00,0.95,144.54001,9.7,SE
1998-01-08 09:00:00,0.94,147.92,9.67,SE
1998-01-08 12:00:00,0.97999996,154.29001,9.7,SE
1998-01-08 15:00:00,1.25,172.78,9.13,S
1998-01-08 18:00:00,1.8199999,177.75,8.309999,S
1998-01-08 21:00:00,2.61,178.49,7.45,S
1998-01-09 00:00:00,2.78,179.33,8.309999,S
1998-01-09 03:00:00,2.6799998,177.97,8.92,S
1998-01-09 06:00:00,2.55,176.67,9.07,S
1998-01-09 09:00:00,2.3899999,174.42,9.059999,S
1998-01-09 12:00:00,2.26,171.79,8.99,S
1998-01-09 15:00:00,2.2,168.26,8.92,S
1998-01-09 18:00:00,2.1699998,164.28,8.86,S
1998-01-09 21:00:00,2.1599998,160.7,8.809999,S
1998-01-10 00:00:00,2.1299999,157.67,8.78,S
1998-01-10 03:00:00,2.07,155.44,8.79,SE
1998-01-10 06:00:00,2.01,154.08,8.82,SE
1998-01-10 09:00:00,1.9499999,153.22,8.87,SE
1998-01-10 12:00:00,1.92,152.58,8.94,SE
1998-01-10 15:00:00,1.93,152.64,9.059999,SE
1998-01-10 18:00:00,1.9399999,152.55,9.179999,SE
1998-01-10 21:00:00,1.9599999,152.1,9.34,SE
1998-01-11 00:00:00,2.03,151.72,9.7,SE
1998-01-11 03:00:00,2.0,151.33,9.809999,SE
1998-01-11 06:00:00,1.93,151.37,9.83,SE
1998-01-11 09:00:00,1.8399999,151.79001,9.76,SE
1998-01-11 12:00:00,1.74,152.6,9.639999,SE
1998-01-11 15:00:00,1.68,153.21,9.49,SE
1998-01-11 18:00:00,1.62,153.38,9.4,SE
1998-01-11 21:00:00,1.56,153.6,9.37,SE
1998-01-12 00:00:00,1.51,153.33,9.38,SE
1998-01-12 03:00:00,1.4699999,152.34,9.54,SE
1998-01-12 06:00:00,1.43,151.21,9.69,SE
1998-01-12 09:00:00,1.39,150.44,9.74,SE
1998-01-12 12:00:00,1.3299999,149.94,9.76,SE
1998-01-12 15:00:00,1.27,149.66,9.719999,SE
1998-01-12 18:00:00,1.23,147.92,9.61,SE
1998-01-12 21:00:00,1.1999999,145.31,9.51,SE
1998-01-13 00:00:00,1.14,144.42,9.38,SE
1998-01-13 03:00:00,1.09,143.85,9.26,SE
1998-01-13 06:00:00,1.05,143.51001,9.19,SE
1998-01-13 09:00:00,1.02,142.68,9.16,SE
1998-01-13 12:00:00,1.1899999,142.74,10.179999,SE
1998-01-13 15:00:00,1.01,143.18,9.65,SE
1998-01-13 18:00:00,0.97999996,142.72,9.58,SE
1998-01-13 21:00:00,0.96,142.94,9.62,SE
1998-01-14 00:00:00,0.93,142.05,9.58,SE
1998-01-14 03:00:00,1.09,140.26001,10.42,SE
1998-01-14 06:00:00,0.96,137.20999,9.67,SE
1998-01-14 09:00:00,0.89,140.09,9.48,SE
1998-01-14 12:00:00,0.84,140.23,9.28,SE
1998-01-14 15:00:00,0.78999996,139.35,9.05,SE
1998-01-14 18:00:00,0.76,138.13,8.83,SE
1998-01-14 21:00:00,0.71999997,137.57,8.65,SE
1998-01-15 00:00:00,0.7,138.41,8.47,SE
1998-01-15 03:00:00,0.68,139.24,8.33,SE
1998-01-15 06:00:00,0.66999996,141.01001,8.28,SE
1998-01-15 09:00:00,0.66999996,143.61,8.309999,SE
1998-01-15 12:00:00,0.68,147.68,8.46,SE
1998-01-15 15:00:00,0.71,151.92,9.23,SE
1998-01-15 18:00:00,0.74,156.51,10.88,SE
1998-01-15 21:00:00,0.77,160.63,10.849999,S
1998-01-16 00:00:00,0.79999995,164.97,10.73,S
