Datetime,VHM0,VMDR,VTPK,CardinalDirection
2005-01-01 00:00:00,1.3399999,223.17,7.44,SW
2005-01-01 03:00:00,1.36,224.48999,12.38,SW
2005-01-01 06:00:00,1.51,225.51,5.5499997,SW
2005-01-01 09:00:00,1.61,224.65,6.04,SW
2005-01-01 12:00:00,1.76,223.45,6.6299996,SW
2005-01-01 15:00:00,1.7199999,222.53,6.77,SW
2005-01-01 18:00:00,1.75,222.73,7.6499996,SW
2005-01-01 21:00:00,1.8,222.54001,7.7999997,SW
2005-01-02 00:00:00,1.8399999,221.78,10.849999,SW
2005-01-02 03:00:00,1.86,221.06,14.13,SW
2005-01-02 06:00:00,1.86,221.04001,14.179999,SW
2005-01-02 09:00:00,1.8399999,220.89,14.009999,SW
2005-01-02 12:00:00,1.79,219.45,13.42,SW
2005-01-02 15:00:00,1.7099999,218.04001,12.95,SW
2005-01-02 18:00:00,1.63,216.78,12.559999,SW
2005-01-02 21:00:00,1.5699999,216.28,12.179999,SW
2005-01-03 00:00:00,1.53,216.0,12.009999,SW
2005-01-03 03:00:00,1.5,216.0,11.809999,SW
2005-01-03 06:00:00,1.4699999,216.16,11.46,SW
2005-01-03 09:00:00,1.4399999,216.01,11.0,SW
2005-01-03 12:00:00,1.4,215.63,10.71,SW
2005-01-03 15:00:00,1.31,215.93,10.05,SW
2005-01-03 18:00:00,1.3399999,217.08,10.0,SW
2005-01-03 21:00:00,1.36,217.19,9.88,SW
2005-01-04 00:00:00,1.37,216.27,9.71,SW
2005-01-04 03:00:00,1.43,215.54001,20.439999,SW
2005-01-04 06:00:00,1.52,215.44,19.609999,SW
2005-01-04 09:00:00,1.62,215.62,19.0,SW
2005-01-04 12:00:00,1.68,214.4,18.3,SW
2005-01-04 15:00:00,1.73,213.78,17.75,SW
2005-01-04 18:00:00,1.79,213.68,17.38,SW
2005-01-04 21:00:00,1.8399999,213.85,16.98,SW
2005-01-05 00:00:00,1.88,213.97,16.43,SW
2005-01-05 03:00:00,1.93,214.41,16.09,SW
2005-01-05 06:00:00,1.9499999,215.12,15.759999,SW
2005-01-05 09:00:00,1.9499999,215.86,15.38,SW
2005-01-05 12:00:00,1.9599999,216.25,14.94,SW
2005-01-05 15:00:00,1.9699999,216.41,14.62,SW
