Datetime,u,v,temp,prec,int,dir,CardinalDirection
2020-01-01 00:00:00,-2.6192627,-3.2724152,12.450653,0.0,8.147737,51.32599,NE
2020-01-01 01:00:00,-2.6744995,-2.9129333,12.3714905,0.0,7.6869297,47.443512,NE
2020-01-01 02:00:00,-2.8679657,-2.466339,12.218231,0.0,7.3527675,40.694244,NE
2020-01-01 03:00:00,-3.0073242,-1.9893494,11.978424,0.0,7.0090218,33.48468,NE
2020-01-01 04:00:00,-3.1338806,-1.6373596,11.290497,0.0,6.8731046,27.585724,NE
2020-01-01 05:00:00,-3.2441864,-1.3760834,10.676178,0.0,6.85003,22.985138,NE
2020-01-01 06:00:00,-3.335312,-1.1019135,10.116974,4.7683716e-07,6.8279767,18.28241,N
2020-01-01 07:00:00,-3.4103699,-0.66252136,9.695831,0.0,6.7531466,10.993713,N
2020-01-01 08:00:00,-3.3339233,-0.26412964,9.148956,0.0,6.50092,4.529785,N
2020-01-01 09:00:00,-3.2742004,0.17855835,8.89151,0.0,6.373979,356.87848,N
2020-01-01 10:00:00,-2.984192,0.50502014,9.208099,0.0,5.8832707,350.39474,N
2020-01-01 11:00:00,-2.806549,0.9550781,9.363007,0.0,5.762721,341.2064,N
2020-01-01 12:00:00,-2.276474,1.2520447,10.089783,0.0,5.0502257,331.1895,NW
2020-01-01 13:00:00,-1.6396484,1.2501831,11.060577,0.0,4.007991,322.67557,NW
2020-01-01 14:00:00,-0.8987732,1.1687622,12.056061,0.0,2.8659601,307.56012,NW
2020-01-01 15:00:00,-0.1542511,0.9481354,12.659088,0.0,1.8672545,279.24042,W
2020-01-01 16:00:00,0.27296448,0.5722046,12.991425,0.0,1.2323513,244.49701,SW
2020-01-01 17:00:00,0.41845703,0.17263794,13.104218,0.0,0.8799181,202.419,S
2020-01-01 18:00:00,0.41264343,-0.21499634,13.112335,0.0,0.9044561,152.47949,SE
2020-01-01 19:00:00,0.106155396,-0.3344574,13.100128,2.3841858e-06,0.6820932,107.60922,E
2020-01-01 20:00:00,-0.20321655,-0.17176819,13.107391,9.536743e-07,0.5172269,40.206055,NE
2020-01-01 21:00:00,-0.47096252,0.24700928,13.129364,0.0,1.0337489,332.324,NW
2020-01-01 22:00:00,-0.6499176,1.0776062,11.54007,9.536743e-07,2.4461727,301.0947,NW
2020-01-01 23:00:00,-0.18611145,1.2194977,10.291748,3.8146973e-06,2.397955,278.67712,W
2020-01-02 00:00:00,0.071777344,1.2875061,10.41626,8.106232e-06,2.5065918,266.8091,W
2020-01-02 01:00:00,0.25473022,1.3578186,10.513214,2.002716e-05,2.6854267,259.37466,W
2020-01-02 02:00:00,0.30741882,1.5378723,10.553131,1.9073486e-05,3.0485196,258.69565,W
2020-01-02 03:00:00,0.45663452,1.8173828,10.756866,1.8119812e-05,3.642507,255.89587,W
2020-01-02 04:00:00,1.0129089,2.3669586,10.877167,1.5258789e-05,5.0045776,246.83214,SW
2020-01-02 05:00:00,1.0587463,2.628418,11.401764,5.4359436e-05,5.508146,248.06006,W
2020-01-02 06:00:00,0.7341461,2.5127716,11.687744,3.71933e-05,5.088627,253.71344,W
2020-01-02 07:00:00,0.52970886,2.607544,12.052887,4.5776367e-05,5.172177,258.5169,W
2020-01-02 08:00:00,-0.60572815,2.4961243,12.019196,3.385544e-05,4.9928856,283.64017,W
2020-01-02 09:00:00,-1.5597382,2.7013092,12.099091,3.862381e-05,6.063365,300.00217,NW
2020-01-02 10:00:00,-0.9472656,2.9959717,11.883575,2.193451e-05,6.107853,287.5459,W
2020-01-02 11:00:00,-1.370163,3.3140259,12.030609,1.9550323e-05,6.9708047,292.46234,W
2020-01-02 12:00:00,-1.1825562,3.6779327,12.436127,4.720688e-05,7.5097737,287.82404,W
2020-01-02 13:00:00,-0.27760315,4.011902,12.623444,6.67572e-05,7.8171415,273.95828,W
2020-01-02 14:00:00,0.4806671,3.86438,12.796112,7.724762e-05,7.569622,262.90973,W
2020-01-02 15:00:00,1.0995026,3.4880219,12.91684,7.343292e-05,7.1090355,252.504,W
2020-01-02 16:00:00,1.4717407,2.9733582,13.05127,4.5776367e-05,6.4490037,243.6657,SW
2020-01-02 17:00:00,1.0550232,2.7732544,13.138916,4.196167e-05,5.7676764,249.1718,W
2020-01-02 18:00:00,0.25941467,2.9499512,13.202545,1.335144e-05,5.756363,264.97443,W
2020-01-02 19:00:00,-0.56288147,3.0973969,13.216522,1.7166138e-05,6.119455,280.2998,W
2020-01-02 20:00:00,-1.2955475,3.3665771,13.159973,2.861023e-06,7.0119257,291.04803,W
2020-01-02 21:00:00,-1.8174438,3.5313873,13.050751,5.722046e-06,7.720202,297.23282,NW
2020-01-02 22:00:00,-1.4160156,4.2514343,13.155029,4.7683716e-06,8.710441,288.42126,W
2020-01-02 23:00:00,-1.6969147,4.2445526,13.10141,3.8146973e-06,8.885655,291.79086,W
2020-01-03 00:00:00,-1.7989655,4.188568,13.0121155,1.9073486e-06,8.861093,293.24326,NW
2020-01-03 01:00:00,-1.978653,3.967453,12.943268,1.9073486e-06,8.617977,296.5064,NW
2020-01-03 02:00:00,-2.019394,3.7998047,12.906891,1.4305115e-06,8.364492,297.98828,NW
2020-01-03 03:00:00,-2.1369019,3.657013,12.898865,9.536743e-07,8.233279,300.299,NW
2020-01-03 04:00:00,-2.307785,3.6156616,12.861053,2.861023e-06,8.337891,302.54907,NW
2020-01-03 05:00:00,-2.4960938,3.4882812,12.591522,4.7683716e-06,8.337825,305.5862,NW
2020-01-03 06:00:00,-2.612381,3.377533,12.1388855,8.583069e-06,8.300053,307.72046,NW
2020-01-03 07:00:00,-2.7496948,3.282425,11.925018,0.0,8.323434,309.953,NW
2020-01-03 08:00:00,-2.8230286,3.2247314,11.866699,0.0,8.330978,311.1999,NW
2020-01-03 09:00:00,-2.8325348,3.1735382,11.923981,0.0,8.268658,311.75043,NW
2020-01-03 10:00:00,-1.8800812,3.103714,12.955536,0.0,7.053688,301.20547,NW
2020-01-03 11:00:00,-1.5187836,3.130844,13.169891,0.0,6.764141,295.8782,NW
2020-01-03 12:00:00,-0.84536743,2.9916382,13.436218,0.0,6.042981,285.77905,W
2020-01-03 13:00:00,-0.24249268,2.978653,13.664032,0.0,5.8091803,274.6542,W
2020-01-03 14:00:00,0.32421875,2.9470062,13.789185,0.0,5.763072,263.72177,W
2020-01-03 15:00:00,0.85494995,2.3600159,13.87204,0.0,4.8792377,250.08636,W
2020-01-03 16:00:00,1.0354614,1.5287018,13.891022,9.536743e-07,3.5890622,235.88838,SW
2020-01-03 17:00:00,0.90838623,1.1147461,13.855011,3.8146973e-06,2.7952287,230.82404,SW
2020-01-03 18:00:00,0.44308472,0.7522278,13.829193,9.536743e-07,1.6970187,239.50064,SW
2020-01-03 19:00:00,-0.1330719,0.5315552,13.829132,0.0,1.0651445,284.0548,W
2020-01-03 20:00:00,-0.55545044,0.53730774,13.815979,0.0,1.5022058,315.95117,NW
2020-01-03 21:00:00,-0.35697937,0.60543823,13.821442,0.0,1.3662163,300.52454,NW
2020-01-03 22:00:00,-0.16014099,1.0674438,13.828644,0.0,2.0981605,278.53204,W
2020-01-03 23:00:00,0.2379303,0.85975647,13.89566,0.0,1.7340447,254.53104,W
2020-01-04 00:00:00,0.66630554,0.48431396,13.886261,0.0,1.6011899,216.0121,SW
2020-01-04 01:00:00,0.7770233,-0.046203613,13.814972,0.0,1.513077,176.59705,S
2020-01-04 02:00:00,0.5703583,-0.4741516,13.673737,0.0,1.4417585,140.26251,SE
2020-01-04 03:00:00,-0.040618896,-0.8702698,13.57019,0.0,1.6935068,87.3277,E
2020-01-04 04:00:00,-0.47151184,-1.4651794,13.495514,0.0,2.991919,72.161224,E
2020-01-04 05:00:00,-1.1119385,-1.7482147,13.354736,0.0,4.0273914,57.5419,NE
2020-01-04 06:00:00,-1.4644928,-1.9941864,13.245178,0.0,4.809391,53.707153,NE
2020-01-04 07:00:00,-2.0697784,-2.0139313,12.921478,8.583069e-06,5.613594,44.21649,NE
2020-01-04 08:00:00,-2.6651,-2.087799,12.770874,2.861023e-06,6.5808854,38.074615,NE
2020-01-04 09:00:00,-3.0508728,-1.86586,12.328644,1.4305115e-06,6.9515753,31.449219,NE
2020-01-04 10:00:00,-3.0704956,-2.7318878,10.65097,4.7683716e-07,7.9889593,41.660187,NE
2020-01-04 11:00:00,-3.2704773,-2.6022491,11.209625,0.0,8.124164,38.508514,NE
2020-01-04 12:00:00,-3.2064056,-2.3799744,11.988678,0.0,7.7620616,36.58487,NE
2020-01-04 13:00:00,-3.0140533,-2.2589722,12.775116,0.0,7.321719,36.85083,NE
2020-01-04 14:00:00,-2.40596,-2.2107391,13.283905,0.0,6.3513355,42.578644,NE
2020-01-04 15:00:00,-1.5474701,-2.3716736,13.611664,0.0,5.504706,56.876343,NE
2020-01-04 16:00:00,-0.9645386,-2.783249,13.751984,0.0,5.7258577,70.88617,E
2020-01-04 17:00:00,-0.74328613,-3.1755981,13.739288,0.0,6.3396897,76.826416,E
2020-01-04 18:00:00,-0.8934479,-3.6604156,13.625397,0.0,7.324149,76.28323,E
2020-01-04 19:00:00,-1.3539886,-3.9939423,13.515045,0.0,8.197581,71.2728,E
2020-01-04 20:00:00,-1.8654022,-3.7995453,13.409027,0.0,8.227811,63.851074,NE
2020-01-04 21:00:00,-2.2295074,-3.3936157,13.313507,0.0,7.892884,56.696228,NE
2020-01-04 22:00:00,-2.931488,-2.3486938,13.117401,0.0,7.301697,38.701538,NE
2020-01-04 23:00:00,-3.3815002,-1.7171631,12.847107,0.0,7.3720484,26.921967,NE
2020-01-05 00:00:00,-3.539688,-1.2962341,12.583954,0.0,7.32743,20.112732,N
2020-01-05 01:00:00,-3.7845306,-0.97161865,12.291901,0.0,7.595097,14.398804,N
2020-01-05 02:00:00,-4.1918488,-0.5731964,11.943359,0.0,8.224109,7.786377,N
2020-01-05 03:00:00,-4.3790655,-0.28955078,11.572754,0.0,8.53079,3.7829895,N
2020-01-05 04:00:00,-4.292877,-0.04345703,11.2326355,0.0,8.345094,0.5799866,N
2020-01-05 05:00:00,-4.252136,-0.25271606,10.911591,0.0,8.280057,3.401245,N
2020-01-05 06:00:00,-4.284607,-0.70643616,10.651642,0.0,8.441037,9.362549,N
2020-01-05 07:00:00,-4.4553833,-1.0413666,10.443817,0.0,8.893973,13.155701,N
2020-01-05 08:00:00,-4.7356873,-0.94047546,10.274628,0.0,9.385191,11.232422,N
2020-01-05 09:00:00,-4.9618683,-0.6379852,10.157471,0.0,9.724478,7.3267517,N
2020-01-05 10:00:00,-5.0534515,-0.04145813,9.811432,0.0,9.823432,0.47003174,N
2020-01-05 11:00:00,-4.4994507,-0.3807068,10.253998,0.0,8.777465,4.8363953,N
2020-01-05 12:00:00,-3.9932556,-0.5207672,10.928192,0.0,7.827979,7.4301147,N
2020-01-05 13:00:00,-3.4407196,-0.8347626,11.631012,0.0,6.8822317,13.637207,N
2020-01-05 14:00:00,-3.0253296,-0.8954773,12.248322,0.0,6.1329613,16.488403,N
2020-01-05 15:00:00,-2.7032623,-0.79829407,12.7211,0.0,5.4790435,16.45227,N
2020-01-05 16:00:00,-2.1557922,-0.73773193,13.026581,0.0,4.4290934,18.891418,N
2020-01-05 17:00:00,-1.639679,-0.8757019,13.178986,0.0,3.6133475,28.105286,NE
2020-01-05 18:00:00,-1.2627258,-1.1178284,13.234894,0.0,3.2781332,41.516876,NE
2020-01-05 19:00:00,-1.0788727,-1.6405792,13.163208,0.0,3.8167963,56.67041,NE
2020-01-05 20:00:00,-1.2602692,-2.0080872,13.046814,0.0,4.608456,57.887756,NE
2020-01-05 21:00:00,-1.7574005,-1.9561157,12.953766,0.0,5.11154,48.06305,NE
2020-01-05 22:00:00,-1.980484,-1.6513519,12.684937,0.0,5.0124245,39.821747,NE
2020-01-05 23:00:00,-1.9350433,-1.4766998,12.613861,0.0,4.731578,37.34851,NE
2020-01-06 00:00:00,-1.4892578,-1.3390045,12.524017,0.0,3.8929355,41.958984,NE
2020-01-06 01:00:00,-1.0187683,-1.625,12.458649,0.0,3.7281787,57.914978,NE
2020-01-06 02:00:00,-1.1100616,-1.9672241,12.411652,0.0,4.390759,60.56491,NE
2020-01-06 03:00:00,-1.9163666,-1.5909729,12.2221985,0.0,4.8415494,39.699554,NE
2020-01-06 04:00:00,-2.6418457,-0.8363037,11.956207,0.0,5.38649,17.565735,N
2020-01-06 05:00:00,-2.159851,-0.73065186,11.200104,0.0,4.4321294,18.690063,N
2020-01-06 06:00:00,-0.81266785,-1.886734,10.567535,9.536743e-07,3.9932525,66.69714,NE
2020-01-06 07:00:00,-1.9854279,-1.6131134,10.813934,9.536743e-07,4.9726067,39.09305,NE
2020-01-06 08:00:00,-3.723938,-0.21138,10.467926,0.0,7.2503915,3.2487793,N
2020-01-06 09:00:00,-3.1818695,0.16374207,9.786896,0.0,6.1932297,357.0541,N
2020-01-06 10:00:00,-1.5312195,0.6496887,8.99469,0.0,3.2332838,337.00873,NW
2020-01-06 11:00:00,-0.73617554,0.045669556,9.324799,0.0,1.4337584,356.45013,N
2020-01-06 12:00:00,-0.73587036,-0.72398376,10.081024,0.0,2.0066397,44.533478,NE
2020-01-06 13:00:00,-0.5853119,-1.6595612,10.922455,0.0,3.4206798,70.57272,E
2020-01-06 14:00:00,-0.37808228,-2.701828,11.498199,0.0,5.303094,82.034,E
2020-01-06 15:00:00,-0.37249756,-3.2987976,11.890411,0.0,6.453087,83.557495,E
2020-01-06 16:00:00,-0.18754578,-4.064682,12.191406,0.0,7.9094977,87.358215,E
2020-01-06 17:00:00,-0.6266632,-4.4821014,12.3909,0.0,8.797233,82.0408,E
2020-01-06 18:00:00,-1.3231354,-4.1671143,12.39978,0.0,8.498723,72.3844,E
2020-01-06 19:00:00,-1.634079,-4.026947,12.34906,0.0,8.44766,67.91336,E
2020-01-06 20:00:00,-1.5455475,-4.3384857,12.270874,0.0,8.952471,70.392,E
2020-01-06 21:00:00,-1.7003479,-4.600891,12.209442,0.0,9.534606,69.717224,E
2020-01-06 22:00:00,-2.0166168,-3.6116638,12.20755,0.0,8.040748,60.822662,NE
2020-01-06 23:00:00,-1.8118134,-3.8106232,12.144104,0.0,8.20188,64.57062,NE
