Datetime,u,v,temp,prec,int,dir,CardinalDirection
1993-01-01 00:00:00,-2.2132416,-0.73947144,15.212189,0.0,4.535965,18.475098,N
1993-01-01 01:00:00,-2.8374176,-0.57829285,15.52182,0.0,5.6288724,11.519653,N
1993-01-01 02:00:00,-3.3458405,-0.31018066,15.266907,0.0,6.5316677,5.2965393,N
1993-01-01 03:00:00,-3.8967438,0.020050049,15.247467,0.0,7.574747,359.7052,N
1993-01-01 04:00:00,-4.5209503,0.056045532,15.152557,0.0,8.78868,359.28976,N
1993-01-01 05:00:00,-5.0630493,0.14860535,15.356689,0.0,9.845996,358.3188,N
1993-01-01 06:00:00,-5.3684387,0.27137756,15.15213,0.0,10.448711,357.10614,N
1993-01-01 07:00:00,-5.4946136,0.36761475,15.243683,0.0,10.704528,356.17236,N
1993-01-01 08:00:00,-5.686493,0.40786743,15.428955,0.0,11.082029,355.89746,N
1993-01-01 09:00:00,-6.0639343,0.6770325,15.43277,0.0,11.8605585,353.62936,N
1993-01-01 10:00:00,-5.7910614,1.0482941,18.329681,0.0,11.439843,349.73947,N
1993-01-01 11:00:00,-5.7885284,2.0411682,18.817963,0.0,11.931034,340.57617,N
1993-01-01 12:00:00,-5.034851,2.786972,19.423523,0.0,11.186278,331.03387,NW
1993-01-01 13:00:00,-3.7205048,3.0601196,19.744904,0.0,9.364082,320.56265,NW
1993-01-01 14:00:00,-1.9404144,3.1869507,20.398956,0.0,7.252858,301.33566,NW
1993-01-01 15:00:00,0.21257019,2.7064972,20.512665,0.0,5.2771993,265.50916,W
1993-01-01 16:00:00,1.9199677,1.4305878,20.362549,0.0,4.6542106,216.69019,SW
1993-01-01 17:00:00,2.5430908,-0.9838562,19.600433,0.0,5.3004084,158.84985,S
1993-01-01 18:00:00,2.3716888,-2.75766,18.590912,0.0,7.0702343,130.69672,SE
1993-01-01 19:00:00,0.8453369,-3.3535461,17.88211,0.0,6.722671,104.14795,E
1993-01-01 20:00:00,-0.350235,-3.0039215,16.39978,0.0,5.8786974,83.34976,E
1993-01-01 21:00:00,-1.0886841,-2.462082,16.110382,0.0,5.2328954,66.145935,NE
1993-01-01 22:00:00,-1.10289,-2.1821442,16.385956,0.0,4.752726,63.187256,NE
1993-01-01 23:00:00,-1.7536469,-1.494278,16.68863,0.0,4.4784923,40.434235,NE
1993-01-02 00:00:00,-2.7218933,-0.6894989,17.05185,0.0,5.4580426,14.214905,N
1993-01-02 01:00:00,-3.5049896,0.013885498,16.90689,0.0,6.8131924,359.773,N
1993-01-02 02:00:00,-4.1075745,0.4759369,16.373444,0.0,8.037887,353.39072,N
1993-01-02 03:00:00,-4.52092,0.5995178,16.246399,0.0,8.864877,352.4461,N
1993-01-02 04:00:00,-4.770462,0.5442047,16.465363,0.0,9.3331585,353.49194,N
1993-01-02 05:00:00,-4.799591,0.5357666,16.38913,0.0,9.387584,353.63058,N
1993-01-02 06:00:00,-4.6234894,0.506073,16.660126,0.0,9.041001,353.75345,N
1993-01-02 07:00:00,-4.373474,0.4906006,16.232086,0.0,8.554655,353.59952,N
1993-01-02 08:00:00,-4.104248,0.39546204,16.381348,0.0,8.014951,354.4963,N
1993-01-02 09:00:00,-3.9788818,0.517807,16.258942,0.0,7.799529,352.58527,N
1993-01-02 10:00:00,-2.4233093,1.0056,17.691498,0.0,5.1000004,337.46304,NW
1993-01-02 11:00:00,-1.1356812,2.1921692,17.874237,0.0,4.7991114,297.387,NW
1993-01-02 12:00:00,0.564209,2.7458038,17.92218,0.0,5.448917,258.38846,W
1993-01-02 13:00:00,2.5466309,1.5786896,17.866455,0.0,5.824255,211.79532,SW
1993-01-02 14:00:00,3.457611,-1.3715973,17.908112,0.0,7.2305503,158.3623,S
1993-01-02 15:00:00,2.645111,-1.8823547,17.343475,1.9073486e-06,6.3107095,144.56299,SE
1993-01-02 16:00:00,2.0155792,-2.0726624,16.894745,0.0,5.619846,134.20004,SE
1993-01-02 17:00:00,1.903717,-3.0232697,16.421295,0.0,6.944788,122.19812,SE
1993-01-02 18:00:00,1.2606201,-3.8615417,15.858398,0.0,7.8960752,108.07953,E
1993-01-02 19:00:00,0.7949219,-4.951233,15.709991,0.0,9.747657,99.121,E
1993-01-02 20:00:00,0.41299438,-5.600342,15.007904,0.0,10.9157295,94.21762,E
1993-01-02 21:00:00,-0.106674194,-5.6015778,14.813141,0.0,10.890545,88.909,E
1993-01-02 22:00:00,-0.031173706,-5.039444,14.284851,0.0,9.7960615,89.64557,E
1993-01-02 23:00:00,0.16778564,-5.3678436,14.217621,0.0,10.439325,91.790344,E
1993-01-03 00:00:00,-0.042816162,-6.0585785,14.186096,0.0,11.777203,89.59509,E
1993-01-03 01:00:00,-0.039474487,-6.0767975,14.097107,0.0,11.812572,89.62781,E
1993-01-03 02:00:00,0.2699585,-6.034683,13.670197,0.0,11.742189,92.5614,E
1993-01-03 03:00:00,0.2551422,-6.475342,13.487152,0.0,12.596795,92.25641,E
1993-01-03 04:00:00,0.030776978,-6.8253937,13.379944,0.0,13.267608,90.25836,E
1993-01-03 05:00:00,-0.23365784,-6.9233093,12.540741,0.0,13.465468,88.06702,E
1993-01-03 06:00:00,-0.343338,-6.7094574,12.592865,0.0,13.059176,87.07059,E
1993-01-03 07:00:00,-0.20169067,-6.386032,12.506622,0.0,12.419615,88.19101,E
